physics_phase,count,run_count,baseline_rmse_nm,corrected_rmse_nm,baseline_mae_nm,corrected_mae_nm,baseline_median_abs_nm,corrected_median_abs_nm,baseline_signed_median_nm,corrected_signed_median_nm,rmse_improvement_pct
entry,26089,49,0.061513173127838466,0.032465098435859104,0.04472595919283989,0.021512770507657458,0.030098967,0.013446977683602812,6.7215e-05,-2.3719376832284297e-05,47.222526842520075
exit,27109,49,0.054677627739610137,0.032188766943151946,0.04160580569637389,0.021775277123188493,0.03225434,0.013928401339954788,0.000492607,-0.0005828484037402033,41.129913140263355
plateau,65382,49,0.03137791068912442,0.01666969760424947,0.018767463587348203,0.01040071564707962,0.0082492415,0.005967874067809254,0.000202943,4.7875920042463234e-05,46.87441821922456
