run_id,present,dataset_split,family,count,run_count,baseline_rmse_nm,corrected_rmse_nm,baseline_mae_nm,corrected_mae_nm,baseline_median_abs_nm,corrected_median_abs_nm,baseline_signed_median_nm,corrected_signed_median_nm,rmse_improvement_pct,compact_c_force_only_corrected_rmse_nm
2026-05-04_20-35-47,True,open_floor_fit_downweighted,open_floor,3456,1,0.035845955637305665,0.019099255138510005,0.028876796463541667,0.013843150817272824,0.025485003,0.009928256577796474,0.0093600005,0.001699606958961456,46.718521520924405,0.016131512287084888
2026-05-04_16-57-53,True,open_floor_validation_only,open_floor,1761,1,0.023277853453219116,0.014976741374356436,0.017940518580919933,0.01144308297637615,0.013238941,0.008983560079001682,-0.000686103,-0.000847899424536197,35.66098607650918,0.013215329838062891
2026-04-22_12-10-34,True,open_floor_fit_downweighted,open_floor,2187,1,0.016217132966177106,0.013103562342747267,0.013081637973022406,0.010918987078624763,0.011327229,0.010179593262166949,-0.003115615,-0.0017746247074117982,19.199266787314297,0.01271009328722312
2026-04-22_01-06-32,True,primary_open_floor_fit_authoritative,open_floor,1031,1,0.04497527944035794,0.015500642864236613,0.033356145290009694,0.012418654318806772,0.026813516,0.01092060969986186,0.009991152,0.0012556123145453998,65.53519387290937,0.015435329253493583
2026-04-21_05-32-06,True,primary_open_floor_fit_authoritative,open_floor,8880,1,0.04258417382836224,0.017309222377210255,0.0365598928268018,0.014054531182407718,0.034704941,0.01238135022036832,0.0121550075,0.0013573864698027214,59.35292194002403,0.017654707538153555
2026-04-21_00-16-10,True,primary_open_floor_fit_authoritative,open_floor,3757,1,0.039823975586254654,0.022723044656394405,0.02832533189938781,0.01630663815277057,0.019252263,0.011602728933777758,0.008941154,0.000666559632151501,42.94129523262031,0.022692440200953238
2026-04-20_12-10-58,True,primary_open_floor_fit_authoritative,open_floor,2925,1,0.04035482301988178,0.023115884896477288,0.027066004325470086,0.01627143866615163,0.015359407,0.010631767560625578,0.003674954,0.0009669069253945006,42.718408441318935,0.023048757311715684
2026-04-20_08-38-39,True,open_floor_fit_downweighted,open_floor,7284,1,0.05622535775152191,0.03948457178525715,0.04229161872130697,0.030360643726704738,0.036814327499999994,0.02746086309955093,0.0001673695,5.522391209162843e-05,29.77444099199462,0.03934879623100571
diag003,True,diag_validation_only,competition_diag,5580,1,0.08523812922205401,0.02937333764855651,0.07495094215232975,0.022054459079472722,0.085086003,0.015816304643810664,-0.0124400895,-0.0038968013939495835,65.5396734810592,0.01954998343870441
