role,form,smoothstep,transition_variable,v0_mps,v1_mps,rel_weight,util_k,launch_activation,k_launch_nm,k_unconstrained_nm,k_gate_min_nm,primary_rmse_nm,validation_non_authoritative_rmse_nm,open_floor_validation_rmse_nm,high_transition_rmse_nm,low_speed_yaw_rmse_nm,straightish_rmse_nm,in_place_left_command,in_place_right_command,in_place_extra_opposing_nm,score
selected,partition_low_ref_same_window,cubic,speed_hypot,0.0,0.08,1.0,0.55,cubic,0.05771872812904492,0.05736224124965836,0.05771872812904492,0.018340962145958675,0.028488509193164188,0.010491392588553741,0.0454022990381,0.03461490963209472,0.0139787688086555,0.6,-0.6,0.05771872812904492,0.043071257644571787
non_additive_grid_top,partition_low_ref_same_window,cubic,speed_hypot,0.0,0.08,1.0,0.55,cubic,0.05771872812904492,0.05736224124965836,0.05771872812904492,0.018340962145958675,0.028488509193164188,0.010491392588553741,0.0454022990381,0.03461490963209472,0.0139787688086555,0.6,-0.6,0.05771872812904492,0.043071257644571787
non_additive_grid_top,partition_low_ref_same_window,cubic,speed_hypot,0.0,0.08,1.0,0.55,quintic,0.05771872812904492,0.05565140516095916,0.05771872812904492,0.0183647431676304,0.028521435462233548,0.010686604762386606,0.0454022990381,0.03465389939755689,0.014040490222935879,0.6,-0.6,0.05771872812904492,0.043111318220142664
non_additive_grid_top,partition_low_ref_same_window,cubic,speed_hypot,0.0,0.08,1.0,0.4,cubic,0.05771872812904492,0.0471122724598377,0.05771872812904492,0.018357089748353244,0.028555293742532826,0.010615115824982996,0.0454022990381,0.03474687584982735,0.014037496071688938,0.6,-0.6,0.05771872812904492,0.04314288047465879
non_additive_grid_top,partition_low_ref_same_window,cubic,speed_hypot,0.0,0.08,1.0,0.4,quintic,0.05771872812904492,0.046048720177867965,0.05771872812904492,0.01838247279136435,0.028583686378062207,0.010762185497367495,0.0454022990381,0.03477785804735587,0.014092782697917116,0.6,-0.6,0.05771872812904492,0.04317888802309151
non_additive_grid_top,partition_low_ref_same_window,cubic,speed_hypot,0.0,0.08,1.0,0.3,cubic,0.05771872812904492,0.04180060563462087,0.05771872812904492,0.01848067318851556,0.028694458066597567,0.011320793033153162,0.0454022990381,0.03489460835835385,0.01431204665841131,0.6,-0.6,0.05771872812904492,0.04331911983077223
non_additive_grid_top,partition_low_ref_same_window,cubic,speed_hypot,0.0,0.08,1.0,0.3,quintic,0.05771872812904492,0.041163859197085664,0.05771872812904492,0.018509561197465323,0.02872133367281084,0.011471212499183482,0.0454022990381,0.03492061159472099,0.014362822185633735,0.6,-0.6,0.05771872812904492,0.04335466183967043
non_additive_grid_top,partition_low_ref_same_window,quintic,speed_hypot,0.0,0.08,1.0,0.55,cubic,0.05824566039323684,0.05824566039323684,0.05771872812904492,0.018448842906385512,0.028761085289473437,0.01062643017763073,0.0454022990381,0.034962381063842994,0.014140951019096279,0.6030880446553639,-0.6030880446553639,0.05824566039323684,0.043376197969009087
non_additive_grid_top,partition_low_ref_same_window,quintic,speed_hypot,0.0,0.08,1.0,0.55,quintic,0.05771872812904492,0.05651073091591632,0.05771872812904492,0.018475592656470804,0.028793782470401912,0.010825861115799647,0.0454022990381,0.0349988372001429,0.014204950842090485,0.6,-0.6,0.05771872812904492,0.04341692007496316
non_additive_grid_top,partition_low_ref_same_window,quintic,speed_hypot,0.0,0.08,1.0,0.4,cubic,0.05771872812904492,0.047712654756931115,0.05771872812904492,0.018473151368355437,0.028825891872572704,0.01075843969352532,0.0454022990381,0.0350823113097791,0.014206639669415844,0.6,-0.6,0.05771872812904492,0.043448297090699334
non_additive_grid_top,partition_low_ref_same_window,quintic,speed_hypot,0.0,0.08,1.0,0.4,quintic,0.05771872812904492,0.04663232577023436,0.05771872812904492,0.018500744491219426,0.028854757390105124,0.010908899883716553,0.0454022990381,0.03511410236698728,0.014262935374627422,0.6,-0.6,0.05771872812904492,0.04348544054509096
non_additive_grid_top,partition_low_ref_same_window,cubic,speed_hypot,0.0,0.08,0.75,0.55,cubic,0.05797600643129943,0.05797600643129943,0.05771872812904492,0.01834658502809608,0.02897616052081393,0.010553476431375199,0.0454022990381,0.03568657364418037,0.014051467917410422,0.6015077590426856,-0.6015077590426856,0.05797600643129943,0.04356059583686275
non_additive_grid_top,partition_low_ref_same_window,cubic,speed_hypot,0.0,0.08,0.75,0.55,quintic,0.05771872812904492,0.05630119440534682,0.05771872812904492,0.01837242488959708,0.02900820327016426,0.010751361280670073,0.0454022990381,0.035723458319243645,0.014114646919378361,0.6,-0.6,0.05771872812904492,0.04360039054466339
non_additive_grid_top,partition_low_ref_same_window,quintic,speed_hypot,0.0,0.08,1.0,0.3,cubic,0.05771872812904492,0.042283727594008655,0.05771872812904492,0.0186086661925596,0.028967566328101216,0.011492263922663204,0.0454022990381,0.035230578294176945,0.014489087192390556,0.6,-0.6,0.05771872812904492,0.0436306259934891
non_additive_grid_top,partition_low_ref_same_window,cubic,speed_hypot,0.0,0.08,0.75,0.4,cubic,0.05771872812904492,0.047660509383895,0.05771872812904492,0.018370192838579713,0.029052147201015056,0.010679010001563828,0.0454022990381,0.03584578150348946,0.014118340107676064,0.6,-0.6,0.05771872812904492,0.04364366486020897
non_additive_grid_top,partition_low_ref_same_window,cubic,speed_hypot,0.0,0.08,1.0,0.2,cubic,0.05771872812904492,0.03810606753241442,0.05771872812904492,0.018640533802634574,0.028993564617135616,0.013037563933190987,0.0454022990381,0.0351341556106469,0.014976520409880248,0.6,-0.6,0.05771872812904492,0.043666184565545996
