vf_mps,yaw_rate_radps,transition_speed_mps,h,launch_extra_only_opposing_nm,left_command,right_command,lr_delta_command,note
0.0,0.2,0.00295,0.00397901416015625,0.05748906449251324,0.5986540745110556,-0.5986540745110556,1.1973081490221111,grid command omits C moving branch; shows launch partition fade only
0.0,0.844444444,0.012455555548999998,0.0651739766961282,0.05395696908703238,0.5779545101071605,-0.5779545101071605,1.155909020214321,grid command omits C moving branch; shows launch partition fade only
0.0,1.488888889,0.02196111111275,0.18470005884796958,0.04705807564698036,0.5375240934042674,-0.5375240934042674,1.0750481868085349,grid command omits C moving branch; shows launch partition fade only
0.0,2.133333333,0.03146666666175,0.34242725917126726,0.03795426225296454,0.48417191855132957,-0.48417191855132957,0.9683438371026591,grid command omits C moving branch; shows launch partition fade only
0.0,2.777777778,0.040972222225499996,0.518225577040401,0.027807406938332592,0.42470707942033953,-0.42470707942033953,0.8494141588406791,grid command omits C moving branch; shows launch partition fade only
0.0,3.422222222,0.05047777777449999,0.6919650108363199,0.01777938779377175,0.36593867021932314,-0.36593867021932314,0.7318773404386463,grid command omits C moving branch; shows launch partition fade only
0.0,4.066666667,0.05998333333824999,0.8435155599830968,0.009032082849761473,0.3146757848034634,-0.3146757848034634,0.6293515696069268,grid command omits C moving branch; shows launch partition fade only
0.0,4.711111111,0.06948888888725,0.9527472229369321,0.002727370192645583,0.2777275173553321,-0.2777275173553321,0.5554550347106642,grid command omits C moving branch; shows launch partition fade only
0.0,5.355555556,0.07899444445099998,0.9995299989217026,2.712786445860684e-05,0.26190296179783,-0.26190296179783,0.52380592359566,grid command omits C moving branch; shows launch partition fade only
0.0,6.0,0.0885,1.0,0.0,0.2617439811042084,-0.2617439811042084,0.5234879622084168,grid command omits C moving branch; shows launch partition fade only
0.03,0.2,0.03014469273354764,0.3189521185597399,0.03930921751171239,0.4921125261576038,-0.4921125261576038,0.9842250523152076,grid command omits C moving branch; shows launch partition fade only
0.03,0.844444444,0.032482931887904215,0.36071419869351096,0.036898763362367866,0.47798625119074734,-0.47798625119074734,0.9559725023814947,grid command omits C moving branch; shows launch partition fade only
0.03,1.488888889,0.03717916622661879,0.4471970451294934,0.031907083461103464,0.44873290785253583,-0.44873290785253583,0.8974658157050717,grid command omits C moving branch; shows launch partition fade only
0.03,2.133333333,0.04347586814316293,0.5650084876263105,0.025107156841139063,0.40888247833319197,-0.40888247833319197,0.8177649566663839,grid command omits C moving branch; shows launch partition fade only
0.03,2.777777778,0.05078112832633552,0.6972511562900077,0.01747427820147976,0.36415059970285457,-0.36415059970285457,0.7283011994057091,grid command omits C moving branch; shows launch partition fade only
0.03,3.422222222,0.05871972453147073,0.8253701582150387,0.01007941236120431,0.32081357616679135,-0.32081357616679135,0.6416271523335827,grid command omits C moving branch; shows launch partition fade only
0.03,4.066666667,0.06706713262371974,0.9300470788800959,0.004037593635952272,0.28540597771235854,-0.28540597771235854,0.5708119554247171,grid command omits C moving branch; shows launch partition fade only
