dataset_split,count,run_count,baseline_rmse_nm,corrected_rmse_nm,baseline_mae_nm,corrected_mae_nm,baseline_median_abs_nm,corrected_median_abs_nm,baseline_signed_median_nm,corrected_signed_median_nm,rmse_improvement_pct,compact_c_force_only_corrected_rmse_nm,force_domain_stribeck_rmse_nm,published_variant_c_rmse_nm
aux_downweighted_validation,14448,13,0.05126637392308135,0.029397120490599445,0.03305637759772979,0.016731611674371857,0.016359514999999998,0.00837435409973525,-0.0012553224999999999,-0.0005034438239336046,42.65808513255478,0.025788824957328874,0.048819706958314515,0.028529439179585198
diag_validation_only,11108,3,0.0846209251204878,0.029430103867343255,0.0738060716588945,0.021960271946620633,0.082360023,0.015646699365468066,-0.006359523000000001,-0.0024120784426982372,65.22124542429772,0.020043858307783477,0.08441017836709906,0.03876675590868194
open_floor_fit_downweighted,31165,9,0.043194073119807955,0.03309252577361895,0.027849684910123535,0.020615377955162488,0.013314394,0.009532768861341138,0.000637863,0.00024681396781259615,23.386419979820406,0.032807615543679156,0.04150718685740355,0.033092937468878494
open_floor_validation_only,14542,9,0.01693070910006944,0.010491392588553741,0.010368821404827396,0.006779023338694494,0.005201232,0.004244146818108899,-0.000858939,-0.0003479016714565807,38.033353910081,0.009500952570880862,0.01139376781450519,0.014417143137851248
primary_open_floor_fit_authoritative,47317,15,0.036866176895009706,0.018340962145958675,0.025480195736437217,0.012782729465643027,0.016044602,0.009251977961093283,0.001648731,0.0004315418243055479,50.249893830349,0.01815388807456425,0.027907821180421354,0.024120243843366647
validation_non_authoritative,71263,34,0.05023383204822011,0.028488509193164188,0.032501511564374225,0.017214148122003295,0.014290832,0.008233197832484204,-0.000435785,-0.00027384280311639343,43.28820232982087,0.02620283196090874,nan,0.030342
