group,count,run_count,baseline_rmse_nm,corrected_rmse_nm,baseline_mae_nm,corrected_mae_nm,baseline_median_abs_nm,corrected_median_abs_nm,baseline_signed_median_nm,corrected_signed_median_nm,run_balanced_baseline_rmse_nm,run_balanced_corrected_rmse_nm,run_balanced_baseline_mae_nm,run_balanced_corrected_mae_nm,prediction_rmse_nm,improvement_fraction_rmse,run_balanced_improvement_fraction_rmse,run_id,present_in_primary_feature_input,dataset_split
2026-05-04_20-35-47,3456,1,0.035845955637305665,0.028076443199331575,0.028876796463541667,0.022578854662232254,0.025485003,0.01972878560775679,0.0093600005,0.00732439647540902,0.035845955637305665,0.028076443199331575,0.028876796463541667,0.02257885466223225,0.015571982562059949,0.21674725362568348,0.21674725362568348,2026-05-04_20-35-47,1,open_floor_fit_downweighted
2026-05-04_16-57-53,1761,1,0.023277853453219116,0.01934116142597289,0.017940518580919933,0.015113714952079433,0.013238941,0.010955160738424641,-0.000686103,-0.0004568127890410747,0.023277853453219116,0.01934116142597289,0.017940518580919933,0.015113714952079433,0.007832576141159977,0.16911748478688937,0.16911748478688937,2026-05-04_16-57-53,1,open_floor_validation_only
2026-04-22_12-10-34,2187,1,0.016217132966177106,0.014402919863369421,0.013081637973022406,0.011952051425360792,0.011327229,0.010916070954368258,-0.003115615,-0.0035806522311949704,0.016217132966177106,0.014402919863369421,0.013081637973022404,0.011952051425360792,0.007003809590026026,0.11187015032752445,0.11187015032752445,2026-04-22_12-10-34,1,open_floor_fit_downweighted
2026-04-22_01-06-32,1031,1,0.04497527944035794,0.018608488843215733,0.033356145290009694,0.015119840902245907,0.026813516,0.01347727974514079,0.009991152,0.0031561093812057777,0.04497527944035794,0.018608488843215733,0.0333561452900097,0.015119840902245907,0.030577117885211638,0.5862507342974357,0.5862507342974357,2026-04-22_01-06-32,1,primary_open_floor_fit_authoritative
2026-04-21_05-32-06,8880,1,0.04258417382836225,0.023754464601601764,0.036559892826801804,0.018951253743520097,0.034704941,0.016426006367405405,0.0121550075,0.0016436356652933747,0.04258417382836226,0.023754464601601764,0.036559892826801804,0.018951253743520094,0.025043420476857967,0.44217622496692355,0.44217622496692366,2026-04-21_05-32-06,1,primary_open_floor_fit_authoritative
2026-04-21_00-16-10,3757,1,0.039823975586254654,0.02774307957781035,0.02832533189938781,0.019950764312238484,0.019252263,0.014035875292963025,0.008941154,-0.0005399280556016971,0.039823975586254654,0.02774307957781035,0.028325331899387813,0.019950764312238488,0.03951872214448912,0.30335735773738415,0.30335735773738415,2026-04-21_00-16-10,1,primary_open_floor_fit_authoritative
2026-04-20_12-10-58,2925,1,0.04035482301988178,0.02933811998534102,0.027066004325470086,0.01991847804460127,0.015359407,0.012476799071754136,0.003674954,0.00033410437846124845,0.04035482301988178,0.02933811998534102,0.027066004325470086,0.01991847804460127,0.04254576585004936,0.272995944725445,0.272995944725445,2026-04-20_12-10-58,1,primary_open_floor_fit_authoritative
2026-04-20_08-38-39,7284,1,0.05622535775152191,0.04131229724660652,0.042291618721306976,0.029644346310890315,0.036814327499999994,0.02096617556958017,0.0001673695,-0.0008411336207997331,0.05622535775152192,0.04131229724660652,0.042291618721306976,0.029644346310890312,0.055902655268864704,0.26523727195869595,0.26523727195869606,2026-04-20_08-38-39,1,open_floor_fit_downweighted
diag003,5580,1,0.08523812922205401,0.03897045903766876,0.07495094215232975,0.03127932100468636,0.085086003,0.02883994447988309,-0.0124400895,-0.0032484894572857963,0.08523812922205401,0.03897045903766876,0.07495094215232975,0.031279321004686354,0.0646386840742984,0.5428048527889819,0.5428048527889819,diag003,1,diag_validation_only
