candidate_id,split,stage,log_parameter,measurement_dimension,parameter_field,parameter_value_kind,parameter_value,launch_command_signature,count,sum_nis,sum_nis_sq,rms_nis,sqrt_mean_nis,accepted_count,rejected_count,segment_count
baseline/current_holdover,train,SEC_30_STRAIGHT,yaw_rate_nis,1,straight_speed_mps,legacy_straight_speed_bin_mps,0.1,"pair=0.351734,0.351734;mag=0.188751;linear=0.10000000149;yaw=-0.0276963133365",33126,2504076.65166,8605861730.28,509.697711035,8.69439387221,33126,0,1
baseline/current_holdover,train,SEC_50_SMOOTH,forward_accel_nis,1,smooth_speed_mps,legacy_smooth_speed_bin_mps,,,254,0.00372679825056,1.32118243555e-07,2.28068096229e-05,0.0038304613374,254,0,1
baseline/current_holdover,train,SEC_50_SMOOTH,right_accel_nis,1,smooth_speed_mps,legacy_smooth_speed_bin_mps,,,254,0.00223986221265,5.71950227965e-08,1.50059073403e-05,0.00296957154618,254,0,1
baseline/current_holdover,train,SEC_50_SMOOTH,yaw_rate_nis,1,smooth_speed_mps,legacy_smooth_speed_bin_mps,,,254,1.8656908272,0.0531168979993,0.0144610388861,0.0857043725672,254,0,1
baseline/current_holdover,train,launch,yaw_rate_nis,1,drive_command_bin,logged_drive_command_bin,0.25,"pair=0.25,0.25;mag=0.25",546,396.099569882,1407.00378575,1.60528190999,0.851737687141,546,0,1
baseline/current_holdover,train,mixed_launch,forward_accel_nis,1,observed_drive_command_pair,observed_drive_command_pair,"-0.4,-0.3","pair=-0.4,-0.3;mag=0.4",1088,1953.95222482,27018.9122229,4.98332810764,1.34011640216,1081,7,1
baseline/current_holdover,train,mixed_launch,right_accel_nis,1,observed_drive_command_pair,observed_drive_command_pair,"-0.4,-0.3","pair=-0.4,-0.3;mag=0.4",1088,507.729065545,1688.71057326,1.24584256175,0.683127180009,1088,0,1
baseline/current_holdover,train,mixed_launch,yaw_rate_nis,1,observed_drive_command_pair,observed_drive_command_pair,"-0.4,-0.3","pair=-0.4,-0.3;mag=0.4",1088,4975.66954293,114051.464639,10.2384917748,2.13851015495,1088,0,1
baseline/current_holdover,train,static,yaw_rate_nis,1,none,none,,,42,6.8938453724,3.31852792557,0.281091745977,0.405140932928,42,0,1
candidate_1_algebraic_envelope,all,SEC_10_STATIC,forward_accel_nis,1,none,none,,,1559,61.2383787364,52.6135440773,0.18370700673,0.198193215891,1559,0,1
