candidate_id,split,count,sum_nis,sum_nis_sq,rms_nis,sqrt_mean_nis,accepted_count,rejected_count,segment_count
baseline/current_holdover,all,110135,2882416.57672,8668211676.75,280.544704864,5.1158251815,108423,1712,8
baseline/current_holdover,held_out,425,86974.7999981,26555959.5919,249.969219714,14.3054740652,425,0,1
baseline/current_holdover,train,109710,2795441.77673,8641655717.16,280.656672918,5.04779975345,107998,1712,7
candidate_1_algebraic_envelope,all,110135,2895706.86379,8804585421.32,282.742945237,5.1276056772,108411,1724,8
candidate_1_algebraic_envelope,held_out,425,83278.6346361,24900945.2777,242.054662167,13.9982044761,425,0,1
candidate_1_algebraic_envelope,train,109710,2812428.22916,8779684476.04,282.889186475,5.06311295897,107986,1724,7
candidate_2_stribeck,all,110135,2699784.8115,7540907606.62,261.667106359,4.95110226539,108159,1976,8
candidate_2_stribeck,held_out,425,45845.2113956,12076894.4921,168.571119514,10.3861005982,425,0,1
candidate_2_stribeck,train,109710,2653939.6001,7528830712.13,261.963424138,4.91838373738,107734,1976,7
candidate_3_load_sensitive,all,110135,2559618.82093,6974829686,251.654166744,4.82086499323,107972,2163,8
candidate_3_load_sensitive,held_out,425,31157.6306359,9048043.93431,145.909270232,8.5622469063,425,0,1
candidate_3_load_sensitive,train,109710,2528461.19029,6965781642.06,251.977533604,4.80070520741,107547,2163,7
