run_id,dataset_split,baseline_rmse_nm,unshifted_optimized_rmse_nm,force_domain_stribeck_rmse_nm,true_traction_testbed_rmse_nm,standalone_contact_traction_rmse_nm
2026-05-04_20-35-47,open_floor_fit_downweighted,0.0358459556373056,0.0347258414159543,0.020956141617321,0.0164725438826597,0.0113929761775424
2026-05-04_16-57-53,open_floor_validation_only,0.0232778534532191,0.0284589084112403,0.0153664764888993,0.0109002744950353,0.0096621689292706
2026-04-22_12-10-34,open_floor_fit_downweighted,0.0162171329661771,0.0168067399409522,0.0134870186796865,0.0121183588129302,0.0122323541138722
2026-04-22_01-06-32,primary_open_floor_fit_authoritative,0.0449752794403579,0.0445466945810261,0.0339379374408016,0.0146723848849088,0.011282181897664
2026-04-21_05-32-06,primary_open_floor_fit_authoritative,0.0425841738283622,0.0411619360252746,0.0272836105380902,0.0162874858999945,0.0154337860461025
2026-04-21_00-16-10,primary_open_floor_fit_authoritative,0.0398239755862546,0.0403370442838856,0.0343024780639814,0.0269194427270421,0.020474333844151
2026-04-20_12-10-58,primary_open_floor_fit_authoritative,0.0403548230198817,0.0412812428762774,0.0356483649477145,0.0282657245121033,0.0228532746068115
2026-04-20_08-38-39,open_floor_fit_downweighted,0.0562253577515219,0.0584529222546511,0.0561413201092958,0.0437631176210296,0.036549208137134
diag003,diag_validation_only,0.085238129222054,0.0983154685001222,0.0850323016434747,0.0262353538634914,0.0197566274909129
