group,count,run_count,baseline_rmse_nm,corrected_rmse_nm,baseline_mae_nm,corrected_mae_nm,baseline_median_abs_nm,corrected_median_abs_nm,baseline_signed_median_nm,corrected_signed_median_nm,run_balanced_corrected_rmse_nm,median_support_nm,rmse_improvement_pct
straightish_abs_yaw_lt_0p05,35367,49,0.025841853669827997,0.02564525079959278,0.014403131442389798,0.014215514588412281,0.006082492,0.005928289981490783,0.000224911,0.0002718584329743195,0.032496325759958866,0.0001560619882135854,0.7607924444861481
straightish_forward_abs_yaw_lt_0p05_vf_ge_0p05,21746,47,0.024100230475114524,0.023874817171030172,0.012090499429458293,0.011900672179483068,0.005326237,0.005227633778608081,0.000309861,0.0003305282850237507,0.027092218606499716,6.795664578345928e-05,0.9353159685220022
low_speed_yaw_vf_lt_0p05_yaw_ge_0p2,19704,49,0.07350293824740096,0.08382723878175205,0.06093638546954933,0.06818191048861759,0.054369194499999995,0.05718619898233024,-0.007716965,-0.006595424158798473,0.07275872425753721,0.013791744155690547,-14.046105884367348
low_speed_yaw_vf_lt_0p15_yaw_ge_0p5,20694,45,0.0728316980229981,0.08211418731282526,0.06032932463143907,0.0662472175599378,0.052169427500000004,0.052551440515086444,-0.003849287,-0.0025225159973210932,0.08069498459122763,0.012923573700591526,-12.745122716891782
high_forward_vf_ge_0p5,3120,35,0.0464149473391518,0.046386739498080455,0.027171509688461538,0.02709782845330253,0.0127547745,0.012711214870167877,0.0015737250000000002,0.0015772101251473557,0.059487258008741856,2.392698620705189e-05,0.06077318339980757
high_speed_abs_vf_ge_0p7,144,17,0.08879277130149174,0.08881063417965984,0.055096948680555556,0.05511358327202871,0.0279539725,0.02797462840335449,-0.0061936149999999995,-0.006187955943210724,0.08951033500477437,2.7122121256932157e-05,-0.020117491442460552
limiter_active,30265,43,0.07473562868724314,0.08049312238543552,0.06146764182725921,0.06497954698578506,0.053030135,0.05327294512873706,0.002856139,0.003040599389835903,0.0835288735264814,0.003681006649847995,-7.703813829260189
hardware_saturation_evidence,5017,24,0.06367306128234744,0.06491788862890467,0.05109065278532988,0.051856724352503714,0.043237809,0.043635350680926104,0.003758487,0.0035283781582326063,0.06133505348945283,0.0017763237646297575,-1.9550298375591753
may4_latest_logs,5217,2,0.032157544166236535,0.030977548187309675,0.02518525240540541,0.023776277133148258,0.020284213,0.018455731122288713,0.005072003,0.004316352438537288,0.02950413497789038,0.003994968853642402,3.669421933549837
april_rows,87807,31,0.0371567051200026,0.03758530249855434,0.0238360699141868,0.023924637304943607,0.012086683,0.012021285013585728,0.000549932,0.000740150532344191,0.03424149174167645,0.00047842671864247,-1.1534859648279394
