phase,candidate_id,trial_id,split,stage,log_parameter,count,accepted_count,rms_nis,expected_rms_nis,guarded_rms_nis,under_expected_penalty,inflation_flag,rejected_count,rejected_rate
stress_full_rows,candidate_1_algebraic_envelope,candidate_1_algebraic_envelope:trial_094,validation,mixed_launch,right_accel_residual_tail,11944,11931,2.08378441857,1.73205080757,2.08378441857,0,false,13,0.0010884125921
stress_full_rows,candidate_1_algebraic_envelope,candidate_1_algebraic_envelope:trial_094,validation,mixed_launch,yaw_rate_residual_tail,11944,11112,6.30412530125,1.73205080757,6.30412530125,0,false,832,0.0696584058942
stress_full_rows,candidate_1_algebraic_envelope,candidate_1_algebraic_envelope:trial_094,validation,static,forward_accel_residual_tail,30523,30523,0.0560892942207,1.73205080757,1.73205080757,1.67596151335,true,0,0
stress_full_rows,candidate_1_algebraic_envelope,candidate_1_algebraic_envelope:trial_094,validation,static,right_accel_residual_tail,30523,30523,0.0257463704157,1.73205080757,1.73205080757,1.70630443715,true,0,0
stress_full_rows,candidate_1_algebraic_envelope,candidate_1_algebraic_envelope:trial_094,validation,static,yaw_rate_residual_tail,30523,30523,0.844721100248,1.73205080757,1.73205080757,0.887329707321,true,0,0
stress_full_rows,candidate_1_algebraic_envelope,candidate_1_algebraic_envelope:trial_094,validation,yaw_launch,forward_accel_residual_tail,14719,14519,3.88627666665,1.73205080757,3.88627666665,0,false,200,0.0135878796114
stress_full_rows,candidate_1_algebraic_envelope,candidate_1_algebraic_envelope:trial_094,validation,yaw_launch,right_accel_residual_tail,14719,14339,3.79241342011,1.73205080757,3.79241342011,0,false,380,0.0258169712616
stress_full_rows,candidate_1_algebraic_envelope,candidate_1_algebraic_envelope:trial_094,validation,yaw_launch,yaw_rate_residual_tail,33226,15715,5.58936651085,1.73205080757,5.58936651085,0,false,17511,0.527027027027
stress_full_rows,candidate_2_stribeck,candidate_2_stribeck:trial_005,held_out,launch,forward_accel_residual_tail,13565,13468,3.32205225159,1.73205080757,3.32205225159,0,false,97,0.00715075562108
stress_full_rows,candidate_2_stribeck,candidate_2_stribeck:trial_005,held_out,launch,right_accel_residual_tail,13565,13562,1.7741832797,1.73205080757,1.7741832797,0,false,3,0.000221157390343
stress_full_rows,candidate_2_stribeck,candidate_2_stribeck:trial_005,held_out,launch,yaw_rate_residual_tail,13565,12892,5.52137225182,1.73205080757,5.52137225182,0,false,673,0.0496129745669
stress_full_rows,candidate_2_stribeck,candidate_2_stribeck:trial_005,held_out,static,forward_accel_residual_tail,15503,15503,0.0721974572574,1.73205080757,1.73205080757,1.65985335031,true,0,0
stress_full_rows,candidate_2_stribeck,candidate_2_stribeck:trial_005,held_out,static,right_accel_residual_tail,15503,15503,0.020096950572,1.73205080757,1.73205080757,1.711953857,true,0,0
stress_full_rows,candidate_2_stribeck,candidate_2_stribeck:trial_005,held_out,static,yaw_rate_residual_tail,15503,15503,0.6568967844,1.73205080757,1.73205080757,1.07515402317,true,0,0
stress_full_rows,candidate_2_stribeck,candidate_2_stribeck:trial_005,held_out,yaw_launch,forward_accel_residual_tail,171183,170983,1.10979771724,1.73205080757,1.73205080757,0.62225309033,true,200,0.00116834031417
stress_full_rows,candidate_2_stribeck,candidate_2_stribeck:trial_005,held_out,yaw_launch,right_accel_residual_tail,171183,170936,1.01074889055,1.73205080757,1.73205080757,0.721301917019,true,247,0.001442900288
stress_full_rows,candidate_2_stribeck,candidate_2_stribeck:trial_005,held_out,yaw_launch,yaw_rate_residual_tail,171183,142492,2.83412447306,1.73205080757,2.83412447306,0,false,28691,0.167604259769
