segment_id,split,stage,family,corrupted,row_count,coverage_key,parameter_json,observed_command_signature
ofnis_000070,train,SEC_20_LAUNCH,launch,false,246,"stage=SEC_20_LAUNCH|family=launch|parameter=observed_drive_command_magnitude|kind=observed_drive_command_magnitude|value=0.22|observed_command=pair=-0.22,-0.22;mag=0.22;linear=0;yaw=0","{""cmd_linear_mps_median"": 0.0, ""cmd_yaw_radps_median"": 0.0, ""parameter"": ""observed_drive_command_magnitude"", ""speed_bin"": 0.0, ""speed_bin_label"": ""NONE"", ""test_value"": 0.22, ""test_value_kind"": ""observed_drive_command_magnitude""}","pair=-0.22,-0.22;mag=0.22;linear=0;yaw=0"
ofnis_001038,train,SEC_20_LAUNCH,launch,false,249,"stage=SEC_20_LAUNCH|family=launch|parameter=observed_drive_command_magnitude|kind=observed_drive_command_magnitude|value=0.35|observed_command=pair=0.35,0.35;mag=0.35;linear=0;yaw=0","{""cmd_linear_mps_median"": 0.0, ""cmd_yaw_radps_median"": 0.0, ""parameter"": ""observed_drive_command_magnitude"", ""speed_bin"": 0.0, ""speed_bin_label"": ""NONE"", ""test_value"": 0.35, ""test_value_kind"": ""observed_drive_command_magnitude""}","pair=0.35,0.35;mag=0.35;linear=0;yaw=0"
