objective,rank,objective_score,label,source,tool_score,tool_failed,oscillation_flagged,acceptance_blocked,velocity_kp,velocity_kd,heading_kp,heading_kd,yawrate_kp,yawrate_kd,launch_saturation_max,broad_saturation_max,yaw_launch_final_error_radps,yaw_launch_step_rms_norm,yaw_launch_late_rms_norm,yaw_launch_overshoot_percent,heading_final_error_rad,heading_step_rms_norm,heading_late_rms_norm,heading_overshoot_percent,forward_brake_overshoot_percent,max_scenario_overshoot_percent,maneuver_tracking_mean,smooth_blockers,failed_scenario_count,nonfinite_scenario_count,combined_turn_failed,combined_heading_failed,launch_with_saturation,launch_without_saturation,nonlaunch_with_saturation,nonlaunch_without_saturation,balanced
launch_with_saturation,1,171.07526375074184,manual_authority_h1200_d0_y122,manual_authority_grid,450887.8422,True,True,False,5.5,0.01,1200.0,0.0,122.3940811,5.0,1.0,1.0,6.555168152,0.7356804640000001,0.7283544518888889,0.0,-0.7186927795,0.0,0.0,1193.6951889465997,0.00568934047,1193.6951889465997,10.539227182176472,0,2,2,True,True,171.07526375074184,1000158.3799582301,711048.2279418593,1712543.2279418593,364.51506887482356
launch_with_saturation,2,174.19361794650655,manual_authority_h600_d80_y122,manual_authority_grid,451050.0463,True,True,False,5.5,0.01,600.0,80.0,122.3940811,5.0,1.0,1.0,6.555168152,0.7356804640000001,0.7283544518888889,0.0,-0.9719874859,0.0,0.0,1193.6012968274426,0.00568934047,1193.6012968274426,11.465167514058823,0,2,2,True,True,174.19361794650655,1000159.8124879748,1061181.0194336253,2062676.0194336253,399.59369069694117
launch_with_saturation,3,175.31268816800656,compact_prior_broad,manual_review_anchor,,True,True,False,5.5,0.01,600.0,80.0,48.0,5.0,1.0,1.0,6.555168152,0.7356804640000001,0.7283544518888889,0.0,1.391984701,0.0,0.0,1196.8056571724294,0.00568958494,1196.8056571724294,10.974709587058824,0,2,2,True,True,175.31268816800656,1000160.162024478,721436.3479151672,1722931.3479151672,425.3461410729412
launch_with_saturation,4,175.37504065171245,manual_grid_h1200_d80_y48,manual_low_authority_grid,,True,True,False,5.5,0.01,1200.0,80.0,48.0,5.0,1.0,1.0,6.555168152,0.7356804640000001,0.7283544518888889,0.0,-1.58154726,0.0,0.0,1193.5205185659345,0.00568934047,1193.5205185659345,10.531979431411765,0,2,2,True,True,175.37504065171245,1000160.0984194403,735752.8039048854,1737247.8039048854,433.42746330258825
launch_with_saturation,5,175.6393350493595,manual_authority_h1200_d0_y100,manual_authority_grid,,True,True,False,5.5,0.01,1200.0,0.0,100.0,5.0,1.0,1.0,6.555168152,0.7356804640000001,0.7283544518888889,0.0,1.625470638,0.0,0.0,1194.4904050696946,0.00568958494,1194.4904050696946,10.554318185235294,0,2,2,True,True,175.6393350493595,1000160.2086049501,595525.3658602943,1597020.3658602943,437.2987536037647
launch_with_saturation,6,176.05739963288892,manual_authority_h600_d80_y126,manual_authority_grid,,True,True,False,5.5,0.01,600.0,80.0,126.0,5.0,1.0,1.0,6.555168152,0.7356804640000001,0.7283544518888889,0.0,-1.33377409,0.0,0.0,1193.4950188889875,0.00568934047,1193.4950188889875,11.492591847,0,2,2,True,True,176.05739963288892,1000160.5634855159,1084615.400200766,2086110.400200766,428.975408352
launch_with_saturation,7,176.67059840600655,manual_grid_h1200_d80_y60,manual_low_authority_grid,,True,True,False,5.5,0.01,1200.0,80.0,60.0,5.0,1.0,1.0,6.555168152,0.7356804640000001,0.7283544518888889,0.0,-1.843389511,0.0,0.0,1193.177096458463,0.00568934047,1193.177096458463,10.525152681058824,0,2,2,True,True,176.67059840600655,1000160.615277192,781417.140277659,1782912.140277659,454.2656153769412
launch_with_saturation,8,176.7718718701242,low_saturation_rank_7,pdtuning_search_low_saturation.json,451096.1498,True,True,False,4.582575798,0.009999999776,1200.0,0.0,126.0,5.0,1.0,1.0,6.555168152,0.7356804640000001,0.7283544518888889,0.0,-1.859681129,0.0,0.0,1193.580441928225,0.0,1193.580441928225,10.535060368117646,0,2,2,True,True,176.7718718701242,1000160.657768115,724381.987757066,1725876.987757066,455.7274678098823
launch_with_saturation,9,177.09372569877124,broad_rank_5,pdtuning_search_broad.json,451111.1641,True,True,False,8.0,0.009999999776,2500.0,0.0,126.0,5.0,1.0,1.0,6.555168152,0.7356804640000001,0.7283544518888889,0.0,1.607159376,0.0,0.0,1191.6240027248252,0.0,1191.6240027248252,11.327291664941177,0,2,2,True,True,177.09372569877124,1000160.9449559058,711174.2528055691,1712669.2528055692,448.20142831905883
launch_with_saturation,10,177.17797836983007,manual_authority_h2500_d0_y122,manual_authority_grid,451285.4043,True,True,False,5.5,0.01,2500.0,0.0,122.3940811,5.0,1.0,1.0,6.555168152,0.7356804640000001,0.7283544518888889,0.0,1.612554908,0.0,0.0,1191.6317433844217,0.00568934047,1191.6317433844217,11.355929170470588,0,2,2,True,True,177.17797836983007,1000160.9843844754,695718.2040856284,1697213.2040856285,449.0912709675294
launch_with_saturation,11,177.66936005794773,manual_authority_h3500_d20_y160,manual_authority_grid,451585.2766,True,True,False,5.5,0.01,3500.0,20.0,160.0,5.0,1.0,1.0,6.555168152,0.7356804640000001,0.7283544518888889,0.0,1.643232346,0.0,0.0,1191.51244287959,0.00568958494,1191.51244287959,11.524926419529413,0,2,2,True,True,177.66936005794773,1000161.2147366004,946826.4166787517,1948321.4166787518,454.24942199247056
launch_with_saturation,12,177.6990715115948,manual_authority_h3500_d20_y126,manual_authority_grid,,True,True,False,5.5,0.01,3500.0,20.0,126.0,5.0,1.0,1.0,6.555168152,0.7356804640000001,0.7283544518888889,0.0,1.643232346,0.0,0.0,1191.51244287959,0.00568958494,1191.51244287959,11.539782146352941,0,2,2,True,True,177.6990715115948,1000161.2295923273,797912.9667058344,1799407.9667058345,454.48711362164704
launch_with_saturation,13,177.70077271347714,nonlaunch_broad_rank_8,pdtuning_search_nonlaunch_broad.json,451334.4249,True,True,False,4.489848137,0.009999999776,3500.0,20.0,126.0,5.0,1.0,1.0,6.555168152,0.7356804640000001,0.7283544518888889,0.0,1.643232346,0.0,0.0,1191.51244287959,0.0,1191.51244287959,11.540632747294117,0,2,2,True,True,177.70077271347714,1000161.2304429282,797912.9820166513,1799407.9820166514,454.5007232367058
