label,source,tool_score,tool_failed,oscillation_flagged,acceptance_blocked,velocity_kp,velocity_kd,heading_kp,heading_kd,yawrate_kp,yawrate_kd,launch_saturation_max,broad_saturation_max,yaw_launch_final_error_radps,yaw_launch_step_rms_norm,yaw_launch_late_rms_norm,yaw_launch_overshoot_percent,heading_final_error_rad,heading_step_rms_norm,heading_late_rms_norm,heading_overshoot_percent,forward_brake_overshoot_percent,max_scenario_overshoot_percent,maneuver_tracking_mean,smooth_blockers,failed_scenario_count,nonfinite_scenario_count,combined_turn_failed,combined_heading_failed,launch_with_saturation,launch_without_saturation,nonlaunch_with_saturation,nonlaunch_without_saturation,balanced
current,current_core_config,,True,True,False,5.5,0.009999999776,9718.0,0.0,126.0,5.0,1.0,1.0,6.555168152,0.7356804640000001,0.7283544518888889,0.0,1.643232346,0.0,0.0,1191.51244287959,0.00568958494,1191.51244287959,11.938184595117647,0,2,2,True,True,178.4958764091242,1000161.627994776,711379.3393579122,1712874.339357912,460.86155280188234
compact_prior_balanced,manual_review_anchor,,True,True,False,5.5,0.01,600.0,80.0,60.0,5.0,1.0,1.0,6.555168152,0.7356804640000001,0.7283544518888889,0.0,-2.962713003,0.0,0.0,1196.1405788595728,0.00568958494,1196.1405788595728,11.033225358588236,0,2,2,True,True,183.28336122106538,1000163.3619968535,768940.9203876146,1770435.9203876145,551.9406575774118
compact_prior_launch,manual_review_anchor,,True,True,False,5.5,0.01,300.0,112.0,60.0,5.0,1.0,1.0,6.555168152,0.7356804640000001,0.7283544518888889,0.0,-2.807375193,0.0,0.0,1196.590733833976,0.0056899458275,1196.590733833976,13.198609269294117,0,2,2,True,True,186.83743999247716,1000165.2167051442,917638.2800552074,1919133.2800552074,574.1597753487058
compact_prior_broad,manual_review_anchor,,True,True,False,5.5,0.01,600.0,80.0,48.0,5.0,1.0,1.0,6.555168152,0.7356804640000001,0.7283544518888889,0.0,1.391984701,0.0,0.0,1196.8056571724294,0.00568958494,1196.8056571724294,10.974709587058824,0,2,2,True,True,175.31268816800656,1000160.162024478,721436.3479151672,1722931.3479151672,425.3461410729412
low_heading_damped,manual_review_anchor,,True,True,False,5.5,0.01,300.0,80.0,48.0,5.0,1.0,1.0,6.555168152,0.7356804640000001,0.7283544518888889,0.0,1.889054298,0.0,0.0,1195.3881653563835,0.0056899458275,1195.3881653563835,13.294983700882353,0,2,2,True,True,182.43858438065362,1000163.4764377858,721295.1281443759,1722790.128144376,502.2360946541176
moderate_heading_high_yaw,manual_review_anchor,,True,True,False,5.5,0.01,1200.0,80.0,126.0,5.0,1.0,1.0,6.555168152,0.7356804640000001,0.7283544518888889,0.0,2.861282349,0.0,0.0,1197.8737165539005,0.00568934047,1197.8737165539005,10.501192730470589,0,2,2,True,True,181.71214269483008,1000162.6271029174,1062698.8205291885,2064193.8205291885,535.3136832075295
high_authority_current_yaw,manual_review_anchor,,True,True,False,5.5,0.01,2500.0,0.0,126.0,5.0,1.0,1.0,6.555168152,0.7356804640000001,0.7283544518888889,0.0,2.920969486,0.0,0.0,1191.6238205242514,0.00568958494,1191.6238205242514,11.348319615941177,0,2,2,True,True,183.70483215077127,1000163.5936040769,714368.112891487,1715863.1128914868,553.6426843350589
high_authority_search_anchor,manual_review_anchor,,True,True,False,5.5,0.01,6000.0,0.0,126.0,5.0,1.0,1.0,6.555168152,0.7356804640000001,0.7283544518888889,0.0,1.643232346,0.0,0.0,1191.51244287959,0.00568958494,1191.51244287959,11.749528420823529,0,2,2,True,True,178.11856406053596,1000161.4393386017,711172.7894987749,1712667.7894987748,457.8430540131764
manual_grid_h0_d0_y1,manual_low_authority_grid,,True,True,False,5.5,0.01,0.0,0.0,1.0,5.0,0.0,0.9696969986,8.844973564,0.9831431482222222,0.9827748404444444,0.0,-0.2617993951,0.0,0.2617993951,0.0,0.00568934047,0.00568934047,16.610008804941177,0,1,1,True,False,1000231.120813452,213.72540646180784,10000987.711899498,10001952.560413105,11000427.646311024
manual_grid_h50_d0_y1,manual_low_authority_grid,,True,True,False,5.5,0.01,50.0,0.0,1.0,5.0,0.0,0.9700000286,8.844973564,0.9831431482222222,0.9827748404444444,0.0,1.956245422,0.0,0.0,1161.4964942292947,0.00568934047,1161.4964942292947,16.69936444794118,0,2,2,True,True,1000239.7717548725,217.20365415860783,10235020.672274107,10235985.822302565,11000564.668047065
manual_grid_h100_d20_y1,manual_low_authority_grid,,True,True,False,5.5,0.01,100.0,20.0,1.0,5.0,0.0,0.9800000191,8.844973564,0.9831431482222222,0.9827748404444444,0.0,2.05115056,0.0,0.0,1178.620961985561,0.00568934047,1178.620961985561,15.157231298529412,0,2,2,True,True,1000237.1620142637,215.85133128519607,10286341.89936401,10287316.999383016,11000548.786326574
manual_grid_h300_d40_y1,manual_low_authority_grid,,True,True,False,5.5,0.01,300.0,40.0,1.0,5.0,0.0,0.9898989797,8.844973564,0.9831431482222222,0.9827748404444444,0.0,2.631111622,0.0,0.0,1171.53350252336,0.00568934047,1171.53350252336,12.999753673176471,0,2,2,True,True,1000235.746864323,214.85377578384313,363888.78950291674,364873.73898771824,1000561.8514448004
manual_grid_h300_d80_y1,manual_low_authority_grid,,True,True,False,5.5,0.01,300.0,80.0,1.0,5.0,0.0,0.9898989797,8.844973564,0.9831431482222222,0.9827748404444444,0.0,-3.01462841,0.0,0.0,1149.5643364074374,0.00568934047,1149.5643364074374,12.802389792411766,0,2,2,True,True,1000237.2697205015,215.42344547907842,524537.8240217031,525522.7735065046,1000589.3749657482
