label,source,tool_score,tool_failed,oscillation_flagged,acceptance_blocked,velocity_kp,velocity_kd,heading_kp,heading_kd,yawrate_kp,yawrate_kd,launch_saturation_max,broad_saturation_max,yaw_launch_final_error_radps,yaw_launch_step_rms_norm,yaw_launch_late_rms_norm,yaw_launch_overshoot_percent,heading_final_error_rad,heading_step_rms_norm,heading_late_rms_norm,heading_overshoot_percent,forward_brake_overshoot_percent,max_scenario_overshoot_percent,maneuver_tracking_mean,smooth_blockers,failed_scenario_count,nonfinite_scenario_count,combined_turn_failed,combined_heading_failed,launch_with_saturation,launch_without_saturation,nonlaunch_with_saturation,nonlaunch_without_saturation,balanced
manual_grid_h600_d80_y1,manual_low_authority_grid,,True,True,False,5.5,0.01,600.0,80.0,1.0,5.0,0.0,1.0,8.844973564,0.9831431482222222,0.9827748404444444,0.0,-2.917829037,0.0,0.0,1192.0039432512806,0.00568934047,1192.0039432512806,10.881332000941176,0,2,2,True,True,1000232.9436080535,213.30878894160784,523302.970766118,1524297.9707661178,1000552.1062136806
manual_grid_h1200_d80_y1,manual_low_authority_grid,,True,True,False,5.5,0.01,1200.0,80.0,1.0,5.0,0.0,1.0,8.844973564,0.9831431482222222,0.9827748404444444,0.0,2.804682255,0.0,0.0,1195.3025601165723,0.00568934047,1195.3025601165723,10.620789170705883,0,2,2,True,True,1000231.8567884831,212.82195254737255,524222.4298482138,1525217.4298482137,1000538.8857858368
manual_grid_h0_d0_y2,manual_low_authority_grid,,True,True,False,5.5,0.01,0.0,0.0,2.0,5.0,0.0,0.9700000286,8.696457863,0.967127610111111,0.9662730958888888,0.0,-0.2617993951,0.0,0.2617993951,0.0,0.00568934047,0.00568934047,16.526366175411766,0,1,1,True,False,1000227.7017999263,210.39003556561173,10000986.127769627,10001951.277798085,11000425.9440041
manual_grid_h50_d0_y2,manual_low_authority_grid,,True,True,False,5.5,0.01,50.0,0.0,2.0,5.0,0.0,0.9700000286,8.696457863,0.967127610111111,0.9662730958888888,0.0,-1.982652664,0.0,0.0,1179.5259163301255,0.00568934047,1179.5259163301255,16.651850944058822,0,2,2,True,True,1000236.5570358081,213.95722687205878,10245219.799845107,10246184.949873563,11000565.62002191
manual_grid_h100_d20_y2,manual_low_authority_grid,,True,True,False,5.5,0.01,100.0,20.0,2.0,5.0,0.0,0.9797979593,8.696457863,0.967127610111111,0.9662730958888888,0.0,-2.621598482,0.0,0.0,1198.2164098590767,0.00568934047,1198.2164098590767,15.09606404152941,0,2,2,True,True,1000236.6401910931,213.67933160552937,10300662.431899555,10301637.330869058,11000593.018848592
manual_grid_h300_d40_y2,manual_low_authority_grid,,True,True,False,5.5,0.01,300.0,40.0,2.0,5.0,0.0,0.9898989797,8.696457863,0.967127610111111,0.9662730958888888,0.0,2.378661156,0.0,0.0,1169.910012141201,0.00568934047,1169.910012141201,12.979620246705883,0,2,2,True,True,1000231.1926168734,211.07701315870585,363877.20786906977,364862.15735387127,1000540.932884244
manual_grid_h300_d80_y2,manual_low_authority_grid,,True,True,False,5.5,0.01,300.0,80.0,2.0,5.0,0.0,0.9897959232,8.696457863,0.967127610111111,0.9662730958888888,0.0,-1.499185085,0.0,0.0,1166.351848075756,0.00568934047,1166.351848075756,12.807823570058824,0,2,2,True,True,1000226.4516431651,209.14626434005876,536716.5193137276,537701.3662573115,1000467.8136849577
manual_grid_h600_d80_y2,manual_low_authority_grid,,True,True,False,5.5,0.01,600.0,80.0,2.0,5.0,0.0,1.0,8.696457863,0.967127610111111,0.9662730958888888,0.0,2.259099483,0.0,0.0,1109.3881629828104,0.00568934047,1109.3881629828104,10.87734452964706,0,2,2,True,True,1000226.3902570743,208.735614095647,524550.9926228242,1525545.9926228242,1000498.9436613672
manual_grid_h1200_d80_y2,manual_low_authority_grid,,True,True,False,5.5,0.01,1200.0,80.0,2.0,5.0,0.0,1.0,8.696457863,0.967127610111111,0.9662730958888888,0.0,-1.901146412,0.0,0.0,1195.2570256339754,0.00568934047,1195.2570256339754,10.611551626705882,0,2,2,True,True,1000224.0689059134,207.75391505070584,530775.4581946913,1531770.4581946912,1000466.05472924
manual_grid_h0_d0_y5,manual_low_authority_grid,,True,True,False,5.5,0.01,0.0,0.0,5.0,5.0,0.0,0.9696969986,8.283842087,0.9226729345555555,0.9204268985555556,0.0,-0.2617993951,0.0,0.2617993951,0.0,0.00568934047,0.00568934047,16.17274538964706,0,1,1,True,False,1000217.9644710659,201.00632749095817,10000979.538806956,10001944.387320563,11000419.138341038
manual_grid_h50_d0_y5,manual_low_authority_grid,,True,True,False,5.5,0.01,50.0,0.0,5.0,5.0,0.0,0.9696969986,8.283842087,0.9226729345555555,0.9204268985555556,0.0,-2.998795986,0.0,0.0,1116.3969385351725,0.00568934047,1116.3969385351725,16.470773909529413,0,2,2,True,True,1000232.2455110601,206.77834919264055,10246091.308320118,10247056.156833725,11000642.86652463
manual_grid_h100_d20_y5,manual_low_authority_grid,,True,True,False,5.5,0.01,100.0,20.0,5.0,5.0,0.0,0.9797979593,8.283842087,0.9226729345555555,0.9204268985555556,0.0,2.679059505,0.0,0.0,1182.6854709948107,0.00568934047,1182.6854709948107,14.968481517647058,0,2,2,True,True,1000227.6422438713,204.63658383875818,10305747.926259186,10306722.825228691,11000594.463043163
manual_grid_h300_d40_y5,manual_low_authority_grid,,True,True,False,5.5,0.01,300.0,40.0,5.0,5.0,0.0,0.9897959232,8.283842087,0.9226729345555555,0.9204268985555556,0.0,-2.46711874,0.0,0.0,1197.7752709482866,0.00568934047,1197.7752709482866,12.95730070917647,0,2,2,True,True,1000222.5601784295,202.2015215002876,380802.4257242539,381787.2726678379,1000546.5286446947
manual_grid_h300_d80_y5,manual_low_authority_grid,,True,True,False,5.5,0.01,300.0,80.0,5.0,5.0,0.0,0.9897959232,8.283842087,0.9226729345555555,0.9204268985555556,0.0,-2.555593491,0.0,0.0,1168.1766922462994,0.00568934047,1168.1766922462994,12.815482804235295,0,2,2,True,True,1000222.7189163746,202.23665309734642,541697.7830522452,542682.6299958291,1000551.3375382957
manual_grid_h600_d80_y5,manual_low_authority_grid,,True,True,False,5.5,0.01,600.0,80.0,5.0,5.0,0.0,1.0,8.283842087,0.9226729345555555,0.9204268985555556,0.0,1.913324952,0.0,0.0,1108.9052229823124,0.00568934047,1108.9052229823124,10.864782682058824,0,2,2,True,True,1000215.6061734352,199.00141589716995,537629.0233035099,1538624.02330351,1000469.9693424369
manual_grid_h1200_d80_y5,manual_low_authority_grid,,True,True,False,5.5,0.01,1200.0,80.0,5.0,5.0,0.0,1.0,8.283842087,0.9226729345555555,0.9204268985555556,0.0,-3.033914328,0.0,0.0,1195.1200574030663,0.00568958494,1195.1200574030663,10.592405791941175,0,2,2,True,True,1000220.664366535,200.9702177590523,541778.5179927679,1542773.517992768,1000555.2584622749
manual_grid_h0_d0_y10,manual_low_authority_grid,,True,True,False,5.5,0.01,0.0,0.0,10.0,5.0,0.0,0.9797979593,7.683208942,0.8577318113333333,0.8536898824444444,0.0,-0.2617993951,0.0,0.2617993951,0.0,0.00568934047,0.00568934047,15.599851951882352,0,1,1,True,False,1000203.650870257,187.26562011986013,10000968.952524263,10001943.851493767,11000409.560633238
manual_grid_h50_d0_y10,manual_low_authority_grid,,True,True,False,5.5,0.01,50.0,0.0,10.0,5.0,0.0,0.9797979593,7.683208942,0.8577318113333333,0.8536898824444444,0.0,2.828890324,0.0,0.0,1199.8788777950083,0.00568934047,1199.8788777950083,16.208922252647056,0,2,2,True,True,1000217.7044655031,193.00887227842483,10256770.210500121,10257745.109469624,11000624.673032362
manual_grid_h100_d20_y10,manual_low_authority_grid,,True,True,False,5.5,0.01,100.0,20.0,10.0,5.0,0.0,0.9797979593,7.683208942,0.8577318113333333,0.8536898824444444,0.0,3.015626907,0.0,0.0,1172.9478071662666,0.00568934047,1172.9478071662666,14.935944261882353,0,2,2,True,True,1000216.0921924366,192.10936745366013,10317310.014755527,10318284.91372503,11000619.24431115
manual_grid_h300_d40_y10,manual_low_authority_grid,,True,True,False,5.5,0.01,300.0,40.0,10.0,5.0,0.0,0.9898989797,7.683208942,0.8577318113333333,0.8536898824444444,0.0,2.445829391,0.0,0.0,1161.7138763205644,0.00568934047,1161.7138763205644,12.913425607352941,0,2,2,True,True,1000209.1981675475,188.94725376713072,399761.42977236747,400746.37925716897,1000542.512333845
manual_grid_h300_d80_y10,manual_low_authority_grid,,True,True,False,5.5,0.01,300.0,80.0,10.0,5.0,0.0,0.9897959232,7.683208942,0.8577318113333333,0.8536898824444444,0.0,-2.723093033,0.0,0.0,1119.228370592977,0.00568934047,1119.228370592977,12.847937804235293,0,2,2,True,True,1000210.4535101512,189.43629324801307,561616.8555283889,562601.7024719728,1000563.6332535751
manual_grid_h600_d80_y10,manual_low_authority_grid,,True,True,False,5.5,0.01,600.0,80.0,10.0,5.0,0.0,1.0,7.683208942,0.8577318113333333,0.8536898824444444,0.0,1.765268803,0.0,0.0,1108.1523541686747,0.00568934047,1108.1523541686747,10.864473045117647,0,2,2,True,True,1000201.697459483,185.53718002889542,556282.8916067088,1557277.8916067088,1000456.4963682452
manual_grid_h1200_d80_y10,manual_low_authority_grid,,True,True,False,5.5,0.01,1200.0,80.0,10.0,5.0,0.0,1.0,7.683208942,0.8577318113333333,0.8536898824444444,0.0,0.3032319546,0.0,0.0,1195.8287580474246,0.00568934047,1195.8287580474246,10.581367059647059,0,2,2,True,True,1000193.8210632701,182.33000034662481,577071.1710454184,1578066.1710454184,1000335.0037246057
manual_grid_h0_d0_y20,manual_low_authority_grid,440033.8696,True,True,False,5.5,0.01,0.0,0.0,20.0,5.0,0.0009090909152,0.9795918465,7.206851482,0.8044214806666666,0.8007612744444444,0.0,-0.2617993951,0.0,0.2617993951,0.0,0.00568934047,0.00568934047,14.661447414882353,0,1,1,True,False,1000191.1501673964,175.70332179619345,10000951.79366038,10001926.942093104,11000393.188668843
manual_grid_h50_d0_y20,manual_low_authority_grid,464609.152,True,True,False,5.5,0.01,50.0,0.0,20.0,5.0,0.0009090909152,0.9797979593,7.206851482,0.8044214806666666,0.8007612744444444,0.0,-2.244083405,0.0,0.0,1186.562104092501,0.00568934047,1186.562104092501,15.728060023117648,0,2,2,True,True,1000203.1948126623,180.73450242422874,10293080.960091015,10294056.313605977,11000568.861924902
manual_grid_h100_d20_y20,manual_low_authority_grid,464633.0168,True,True,False,5.5,0.01,100.0,20.0,20.0,5.0,0.0009090909152,0.9797979593,7.206851482,0.8044214806666666,0.8007612744444444,0.0,2.787949085,0.0,0.0,1162.9092507402818,0.00568934047,1162.9092507402818,14.82620267370588,0,2,2,True,True,1000204.1104263635,180.92037643481697,10359503.354777126,10360478.708292088,11000597.941461712
manual_grid_h300_d40_y20,manual_low_authority_grid,464644.3865,True,True,False,5.5,0.01,300.0,40.0,20.0,5.0,0.0009090909152,0.9897959232,7.206851482,0.8044214806666666,0.8007612744444444,0.0,-1.800593853,0.0,0.0,1141.986924705465,0.005687489465,1141.986924705465,12.845427435,0,2,2,True,True,1000195.2120997261,176.9648907321111,442030.69531568943,443015.9968047311,1000488.4603950006
manual_grid_h300_d80_y20,manual_low_authority_grid,464495.6216,True,True,False,5.5,0.01,300.0,80.0,20.0,5.0,0.0009090909152,0.9897959232,7.206851482,0.8044214806666666,0.8007612744444444,0.0,-2.726358414,0.0,0.0,1115.8630912359965,0.00568934047,1115.8630912359965,12.927064950352943,0,2,2,True,True,1000200.0041975618,178.89805736946403,609190.4128520456,610175.7143410872,1000563.8277601263
manual_grid_h600_d80_y20,manual_low_authority_grid,464307.169,True,True,False,5.5,0.01,600.0,80.0,20.0,5.0,0.0009090909152,1.0,7.206851482,0.8044214806666666,0.8007612744444444,0.0,-2.239304066,0.0,0.0,1198.7505306500993,0.00568934047,1198.7505306500993,10.859696838117646,0,2,2,True,True,1000193.4341895974,175.85658056122875,605857.1130209694,1606852.567566427,1000493.0100117065
manual_grid_h1200_d80_y20,manual_low_authority_grid,464670.6667,True,True,False,5.5,0.01,1200.0,80.0,20.0,5.0,0.0009090909152,1.0,7.206851482,0.8044214806666666,0.8007612744444444,0.0,1.625470638,0.0,0.0,1194.4904050696946,0.00568958494,1194.4904050696946,10.554323670411764,0,2,2,True,True,1000189.754276122,174.32354053752286,595525.7100481108,1596521.1645935685,1000439.0173667832
manual_grid_h0_d0_y36,manual_low_authority_grid,,True,True,True,5.5,0.01,0.0,0.0,36.0,5.0,0.004545454402,0.9897959232,6.774963856,0.7583891221111112,0.7527737617777778,0.0,-0.2617993951,0.0,0.2617993951,0.0,0.00568934047,0.00568934047,21.945713242235293,12,1,1,True,False,2200196.3167118486,1200173.5856004213,11201082.731303863,11202069.850974647,12200509.81060232
manual_grid_h50_d0_y36,manual_low_authority_grid,,True,True,False,5.5,0.01,50.0,0.0,36.0,5.0,0.004545454402,0.9897959232,6.774963856,0.7583891221111112,0.7527737617777778,0.0,-2.960100651,0.0,0.0,1170.000170867469,0.00568934047,1170.000170867469,15.848591873058824,0,2,2,True,True,1000197.61397539,172.88508156394775,10343680.725105222,10344667.844776006,11000628.120760886
manual_grid_h100_d20_y36,manual_low_authority_grid,,True,True,False,5.5,0.01,100.0,20.0,36.0,5.0,0.004545454402,0.9897959232,6.774963856,0.7583891221111112,0.7527737617777778,0.0,-1.699419975,0.0,0.0,1193.2384770433719,0.005687489465,1193.2384770433719,15.036775274117646,0,2,2,True,True,1000189.6869388121,169.55190361300654,10423203.32562516,10424190.445295945,11000514.277241223
manual_grid_h300_d40_y36,manual_low_authority_grid,,True,True,False,5.5,0.01,300.0,40.0,36.0,5.0,0.004545454402,0.9898989797,6.774963856,0.7583891221111112,0.7527737617777778,0.0,3.079017162,0.0,0.0,1176.0978900749187,0.00568934047,1176.0978900749187,12.803730807529412,0,2,2,True,True,1000192.118835814,170.0780535204183,503705.6051444046,504692.82735640707,1000588.9286714973
manual_grid_h300_d80_y36,manual_low_authority_grid,,True,True,False,5.5,0.01,300.0,80.0,36.0,5.0,0.004545454402,0.9897959232,6.774963856,0.7583891221111112,0.7527737617777778,0.0,-1.430645943,0.0,0.0,1157.6585655755016,0.00568934047,1157.6585655755016,13.107198542117645,0,2,2,True,True,1000184.4839151881,167.08477881700657,681559.6755230248,682546.7951938097,1000461.9020909506
manual_grid_h600_d80_y36,manual_low_authority_grid,,True,True,False,5.5,0.01,600.0,80.0,36.0,5.0,0.004545454402,1.0,6.774963856,0.7583891221111112,0.7527737617777778,0.0,3.008020878,0.0,0.0,1197.5421336640054,0.00568958494,1197.5421336640054,10.931756566470588,0,2,2,True,True,1000188.0199059119,168.0640867113595,667347.9401616469,1668345.212888848,1000554.5095033563
manual_grid_h1200_d80_y36,manual_low_authority_grid,,True,True,False,5.5,0.01,1200.0,80.0,36.0,5.0,0.004545454402,1.0,6.774963856,0.7583891221111112,0.7527737617777778,0.0,-1.937276363,0.0,0.0,1193.9061054003175,0.00568934047,1193.9061054003175,10.537284584705883,0,2,2,True,True,1000181.8772393733,165.52812569959477,678864.9968657753,1679862.2695929762,1000462.5383904481
manual_grid_h0_d0_y48,manual_low_authority_grid,,True,True,True,5.5,0.01,0.0,0.0,48.0,5.0,1.0,1.0,6.555168152,0.7356804640000001,0.7283544518888889,0.0,-0.2617993951,0.0,0.2617993951,0.0,0.00568934047,0.00568934047,28.54484201735294,21,1,1,True,False,2100204.802026499,3100175.4717862965,12101201.453098908,13102696.453098908,12100616.053435486
manual_grid_h50_d0_y48,manual_low_authority_grid,,True,True,True,5.5,0.01,50.0,0.0,48.0,5.0,1.0,1.0,6.555168152,0.7356804640000001,0.7283544518888889,0.0,-3.063018799,0.0,0.0,1183.615833725049,0.00568934047,1183.615833725049,16.867780854058825,6,2,2,True,True,600195.454001192,1600169.397163941,10988858.003849413,11990353.003849413,10600653.318009185
manual_grid_h100_d20_y48,manual_low_authority_grid,,True,True,False,5.5,0.01,100.0,20.0,48.0,5.0,1.0,1.0,6.555168152,0.7356804640000001,0.7283544518888889,0.0,1.438750148,0.0,0.0,1172.1056902472576,0.00568934047,1172.1056902472576,14.53722092,0,2,2,True,True,182.6715380688889,1000163.8180667049,10465877.07438832,11467372.07438832,10000486.08755816
manual_grid_h300_d40_y48,manual_low_authority_grid,,True,True,False,5.5,0.01,300.0,40.0,48.0,5.0,1.0,1.0,6.555168152,0.7356804640000001,0.7283544518888889,0.0,-1.986531734,0.0,0.0,1175.7159461060953,0.00568934047,1175.7159461060953,12.833458453058824,0,2,2,True,True,182.00292106500655,1000163.2098674099,557214.6591719951,1558709.6591719952,502.6498855689412
manual_grid_h1200_d80_y48,manual_low_authority_grid,,True,True,False,5.5,0.01,1200.0,80.0,48.0,5.0,1.0,1.0,6.555168152,0.7356804640000001,0.7283544518888889,0.0,-1.58154726,0.0,0.0,1193.5205185659345,0.00568934047,1193.5205185659345,10.531979431411765,0,2,2,True,True,175.37504065171245,1000160.0984194403,735752.8039048854,1737247.8039048854,433.42746330258825
manual_grid_h0_d0_y60,manual_low_authority_grid,,True,True,True,5.5,0.01,0.0,0.0,60.0,5.0,1.0,1.0,6.555168152,0.7356804640000001,0.7283544518888889,0.0,-0.2617993951,0.0,0.2617993951,0.0,0.00568934047,0.00568934047,39.19883454152941,21,1,1,True,False,2100226.1100115473,3100186.1257788204,12101393.224964343,13102888.224964343,12100786.517315872
manual_grid_h50_d0_y60,manual_low_authority_grid,,True,True,True,5.5,0.01,50.0,0.0,60.0,5.0,1.0,1.0,6.555168152,0.7356804640000001,0.7283544518888889,0.0,2.887393475,0.0,0.0,1199.037034367846,0.00568934047,1199.037034367846,18.07027986170588,6,2,2,True,True,600196.9808725873,1600170.2484123006,11037682.74206083,12039177.74206083,10600658.507967386
manual_grid_h100_d20_y60,manual_low_authority_grid,,True,True,True,5.5,0.01,100.0,20.0,60.0,5.0,1.0,1.0,6.555168152,0.7356804640000001,0.7283544518888889,0.0,-3.006274223,0.0,0.0,1154.0992173973132,0.00568934047,1154.0992173973132,16.609279661647058,6,2,2,True,True,600194.6532759272,1600169.0251735966,11119628.44439467,12121123.44439467,10600644.642424027
manual_grid_h300_d40_y60,manual_low_authority_grid,,True,True,False,5.5,0.01,300.0,40.0,60.0,5.0,1.0,1.0,6.555168152,0.7356804640000001,0.7283544518888889,0.0,-2.726358414,0.0,0.0,1115.8630912359965,0.00568934047,1115.8630912359965,12.92703992417647,0,2,2,True,True,185.88921740724183,1000164.7831022411,609190.1286448751,1610685.1286448753,563.3333235068235
manual_grid_h300_d80_y60,manual_low_authority_grid,,True,True,False,5.5,0.01,300.0,80.0,60.0,5.0,1.0,1.0,6.555168152,0.7356804640000001,0.7283544518888889,0.0,-2.131759644,0.0,0.0,1198.9452366003575,0.0056899458275,1198.9452366003575,13.51188289717647,0,2,2,True,True,184.08590950324185,1000164.1787476741,783759.9289307892,1785254.9289307892,525.1229094748235
manual_grid_h1200_d80_y60,manual_low_authority_grid,,True,True,False,5.5,0.01,1200.0,80.0,60.0,5.0,1.0,1.0,6.555168152,0.7356804640000001,0.7283544518888889,0.0,-1.843389511,0.0,0.0,1193.177096458463,0.00568934047,1193.177096458463,10.525152681058824,0,2,2,True,True,176.67059840600655,1000160.615277192,781417.140277659,1782912.140277659,454.2656153769412
manual_authority_h1200_d0_y48,manual_authority_grid,,True,True,False,5.5,0.01,1200.0,0.0,48.0,5.0,1.0,1.0,6.555168152,0.7356804640000001,0.7283544518888889,0.0,-2.572993755,0.0,0.0,1197.64895782221,0.00568934047,1197.64895782221,11.212953647764706,0,2,2,True,True,181.6942215594183,1000162.7622866466,389084.56924337975,1390579.5692433799,523.6387703642354
manual_authority_h2500_d0_y48,manual_authority_grid,,True,True,False,5.5,0.01,2500.0,0.0,48.0,5.0,1.0,1.0,6.555168152,0.7356804640000001,0.7283544518888889,0.0,2.641040325,0.0,0.0,1191.9166080609482,0.00568934047,1191.9166080609482,11.863308838117646,0,2,2,True,True,183.3351647901242,1000163.548734977,387430.18893240613,1388925.1889324063,539.4881790098823
manual_authority_h3500_d20_y48,manual_authority_grid,,True,True,False,5.5,0.01,3500.0,20.0,48.0,5.0,1.0,1.0,6.555168152,0.7356804640000001,0.7283544518888889,0.0,1.643232346,0.0,0.0,1191.51244287959,0.00568934047,1191.51244287959,11.705648058117648,0,2,2,True,True,178.0308033351242,1000161.395458239,465707.9934762462,1467202.9934762463,457.1409682098824
manual_authority_h1200_d0_y60,manual_authority_grid,,True,True,False,5.5,0.01,1200.0,0.0,60.0,5.0,1.0,1.0,6.555168152,0.7356804640000001,0.7283544518888889,0.0,3.139393806,0.0,0.0,1199.1600686475383,0.00568934047,1199.1600686475383,10.915510873352941,0,2,2,True,True,183.93133626559478,1000163.5976439742,435836.2825517204,1437331.2825517203,564.1916900536471
manual_authority_h2500_d0_y60,manual_authority_grid,,True,True,False,5.5,0.01,2500.0,0.0,60.0,5.0,1.0,1.0,6.555168152,0.7356804640000001,0.7283544518888889,0.0,-3.051388741,0.0,0.0,1191.803408792521,0.00568934047,1191.803408792521,11.684314515294117,0,2,2,True,True,185.02891822447714,1000164.1904374862,434777.1593110753,1436272.1593110752,569.4521431247058
manual_authority_h3500_d20_y60,manual_authority_grid,,True,True,False,5.5,0.01,3500.0,20.0,60.0,5.0,1.0,1.0,6.555168152,0.7356804640000001,0.7283544518888889,0.0,1.643232346,0.0,0.0,1191.51244287959,0.00568934047,1191.51244287959,11.641365760411766,0,2,2,True,True,177.90223873971246,1000161.3311759413,515225.2018668874,1516720.2018668875,456.11245144658824
manual_authority_h300_d80_y80,manual_authority_grid,,True,True,False,5.5,0.01,300.0,80.0,80.0,5.0,1.0,1.0,6.555168152,0.7356804640000001,0.7283544518888889,0.0,-2.770910501,0.0,0.0,1197.3174658416162,0.0056899458275,1197.3174658416162,13.955682338058823,0,2,2,True,True,188.16926267000653,1000165.900848829,864627.150120685,1866122.1501206849,583.3557690889411
manual_authority_h600_d80_y80,manual_authority_grid,,True,True,False,5.5,0.01,600.0,80.0,80.0,5.0,1.0,1.0,6.555168152,0.7356804640000001,0.7283544518888889,0.0,-2.537612915,0.0,0.0,1195.1729689080553,0.0056899458275,1195.1729689080553,11.154910472470588,0,2,2,True,True,181.40123100883008,1000162.6334817914,868088.2967750244,1869583.2967750244,519.8796123595293
