label,scenario,failed,final_error,settled,command_saturation_fraction,plant_clip_request_fraction,overshoot,overshoot_percent,step_rms_norm,accel_rms_norm,late_rms_norm,score
low_heading_damped,combined_3mps_heading_correction_15deg,True,1.889054298,False,0.9898989797,0.9898989797,3.129518986,1195.3881653563835,0.0,7312.897967,0.0,104861.1539
moderate_heading_high_yaw,forward_launch_0_to_4_mps,False,0.004457235336,True,0.009600000456,0.008799999952,0,0.0,0.4516434955,0.03756902693,0.00330054786,33.80057477
moderate_heading_high_yaw,forward_brake_4_to_0_mps,False,0.0002275736188,True,0,0,0.0002275736188,0.00568934047,0.45164531925,0.03756615282,0.0029674357375,33.81110376
moderate_heading_high_yaw,forward_high_speed_disturbance_4_to_2_mps,False,-0.008115768433,True,0,0,0,0.0,0.21204198775,0.0001228183657,0.0046926604375,30.01487775
moderate_heading_high_yaw,yaw_rate_max_effort_0_to_9_radps,False,6.555168152,False,1,1,0,0.0,0.7356804640000001,8.433495671,0.7283544518888889,8434.650148
moderate_heading_high_yaw,yaw_rate_reversal_9_to_minus9_radps,False,-6.555116177,False,1,1,0,0.0,0.3870302161111111,9.265978281999999,0.3641747568888889,117.0989902
moderate_heading_high_yaw,combined_3mps_16p5mps2_turn,True,,True,1,1,0,0.0,867.8270943636363,7187.302159,0.0,
moderate_heading_high_yaw,combined_3mps_heading_correction_15deg,True,2.861282349,False,1,1,3.136026144,1197.8737165539005,0.0,10866.8746,0.0,104717.108
high_authority_current_yaw,forward_launch_0_to_4_mps,False,0.004457235336,True,0.009600000456,0.008799999952,0,0.0,0.4516434955,0.03756902693,0.00330054786,33.80057477
high_authority_current_yaw,forward_brake_4_to_0_mps,False,0.0002275833976,True,0,0,0.0002275833976,0.00568958494,0.45164531925,0.03756615282,0.0029674357525,33.811104
high_authority_current_yaw,forward_high_speed_disturbance_4_to_2_mps,False,-0.008115768433,True,0,0,0,0.0,0.21204198775,0.0001228183657,0.0046926604375,30.01487775
high_authority_current_yaw,yaw_rate_max_effort_0_to_9_radps,False,6.555168152,False,1,1,0,0.0,0.7356804640000001,8.433495671,0.7283544518888889,8434.650148
high_authority_current_yaw,yaw_rate_reversal_9_to_minus9_radps,False,-6.555116177,False,1,1,0,0.0,0.3870302161111111,9.265978281999999,0.3641747568888889,117.0989902
high_authority_current_yaw,combined_3mps_16p5mps2_turn,True,,True,1,1,0,0.0,867.8270943636363,7187.302159,0.0,
high_authority_current_yaw,combined_3mps_heading_correction_15deg,True,2.920969486,False,1,1,3.119663954,1191.6238205242514,0.0,7238.096805,0.0,104720.8434
high_authority_search_anchor,forward_launch_0_to_4_mps,False,0.004457235336,True,0.009600000456,0.008799999952,0,0.0,0.4516434955,0.03756902693,0.00330054786,33.80057477
high_authority_search_anchor,forward_brake_4_to_0_mps,False,0.0002275833976,True,0,0,0.0002275833976,0.00568958494,0.45164531925,0.03756615282,0.0029674357525,33.811104
high_authority_search_anchor,forward_high_speed_disturbance_4_to_2_mps,False,-0.008115768433,True,0,0,0,0.0,0.21204198775,0.0001228183657,0.0046926604375,30.01487775
high_authority_search_anchor,yaw_rate_max_effort_0_to_9_radps,False,6.555168152,False,1,1,0,0.0,0.7356804640000001,8.433495671,0.7283544518888889,8434.650148
high_authority_search_anchor,yaw_rate_reversal_9_to_minus9_radps,False,-6.555116177,False,1,1,0,0.0,0.3870302161111111,9.265978281999999,0.3641747568888889,117.0989902
high_authority_search_anchor,combined_3mps_16p5mps2_turn,True,,True,1,1,0,0.0,867.8270943636363,7187.302159,0.0,
high_authority_search_anchor,combined_3mps_heading_correction_15deg,True,1.643232346,False,1,1,3.119372368,1191.51244287959,0.0,7208.463693000001,0.0,104855.9634
manual_grid_h0_d0_y1,forward_launch_0_to_4_mps,False,0.004457235336,True,0.009600000456,0.008799999952,0,0.0,0.4516434955,0.03756902693,0.00330054786,33.80057477
manual_grid_h0_d0_y1,forward_brake_4_to_0_mps,False,0.0002275736188,True,0,0,0.0002275736188,0.00568934047,0.45164531925,0.03756615282,0.0029674357375,33.81110376
manual_grid_h0_d0_y1,forward_high_speed_disturbance_4_to_2_mps,False,-0.008115768433,True,0,0,0,0.0,0.21204198775,0.0001228183657,0.0046926604375,30.01487775
manual_grid_h0_d0_y1,yaw_rate_max_effort_0_to_9_radps,False,8.844973564,False,0,0,0,0.0,0.9831431482222222,0.0784105177,0.9827748404444444,73471.12988
manual_grid_h0_d0_y1,yaw_rate_reversal_9_to_minus9_radps,False,-8.844973564,False,0,0,0,0.0,0.5212705102222223,1.183411719,0.4913874202222222,133.3642658
manual_grid_h0_d0_y1,combined_3mps_16p5mps2_turn,True,,True,0.9696969986,0.9696969986,0,0.0,865.6774069090909,2320.166546,0.0,
manual_grid_h0_d0_y1,combined_3mps_heading_correction_15deg,False,-0.2617993951,False,0,0,0,0.0,0.0,0.0,0.2617993951,80153
manual_grid_h50_d0_y1,forward_launch_0_to_4_mps,False,0.004457235336,True,0.009600000456,0.008799999952,0,0.0,0.4516434955,0.03756902693,0.00330054786,33.80057477
manual_grid_h50_d0_y1,forward_brake_4_to_0_mps,False,0.0002275736188,True,0,0,0.0002275736188,0.00568934047,0.45164531925,0.03756615282,0.0029674357375,33.81110376
manual_grid_h50_d0_y1,forward_high_speed_disturbance_4_to_2_mps,False,-0.008115768433,True,0,0,0,0.0,0.21204198775,0.0001228183657,0.0046926604375,30.01487775
manual_grid_h50_d0_y1,yaw_rate_max_effort_0_to_9_radps,False,8.844973564,False,0,0,0,0.0,0.9831431482222222,0.0784105177,0.9827748404444444,73471.12988
manual_grid_h50_d0_y1,yaw_rate_reversal_9_to_minus9_radps,False,-8.844973564,False,0,0,0,0.0,0.5212705102222223,1.183411719,0.4913874202222222,133.3642658
manual_grid_h50_d0_y1,combined_3mps_16p5mps2_turn,True,,True,0.9696969986,0.9696969986,0,0.0,865.6774069090909,2320.166546,0.0,
manual_grid_h50_d0_y1,combined_3mps_heading_correction_15deg,True,1.956245422,False,0.9700000286,0.9700000286,3.040790796,1161.4964942292947,0.0,2246.69343,0.0,106774.0395
manual_grid_h100_d20_y1,forward_launch_0_to_4_mps,False,0.004457235336,True,0.009600000456,0.008799999952,0,0.0,0.4516434955,0.03756902693,0.00330054786,33.80057477
manual_grid_h100_d20_y1,forward_brake_4_to_0_mps,False,0.0002275736188,True,0,0,0.0002275736188,0.00568934047,0.45164531925,0.03756615282,0.0029674357375,33.81110376
manual_grid_h100_d20_y1,forward_high_speed_disturbance_4_to_2_mps,False,-0.008115768433,True,0,0,0,0.0,0.21204198775,0.0001228183657,0.0046926604375,30.01487775
manual_grid_h100_d20_y1,yaw_rate_max_effort_0_to_9_radps,False,8.844973564,False,0,0,0,0.0,0.9831431482222222,0.0784105177,0.9827748404444444,73471.12988
manual_grid_h100_d20_y1,yaw_rate_reversal_9_to_minus9_radps,False,-8.844973564,False,0,0,0,0.0,0.5212705102222223,1.183411719,0.4913874202222222,133.3642658
manual_grid_h100_d20_y1,combined_3mps_16p5mps2_turn,True,,True,0.9696969986,0.9696969986,0,0.0,865.6774069090909,2320.166546,0.0,
manual_grid_h100_d20_y1,combined_3mps_heading_correction_15deg,True,2.05115056,False,0.9800000191,0.9800000191,3.085622549,1178.620961985561,0.0,2781.301368,0.0,105075.927
manual_grid_h300_d40_y1,forward_launch_0_to_4_mps,False,0.004457235336,True,0.009600000456,0.008799999952,0,0.0,0.4516434955,0.03756902693,0.00330054786,33.80057477
manual_grid_h300_d40_y1,forward_brake_4_to_0_mps,False,0.0002275736188,True,0,0,0.0002275736188,0.00568934047,0.45164531925,0.03756615282,0.0029674357375,33.81110376
manual_grid_h300_d40_y1,forward_high_speed_disturbance_4_to_2_mps,False,-0.008115768433,True,0,0,0,0.0,0.21204198775,0.0001228183657,0.0046926604375,30.01487775
manual_grid_h300_d40_y1,yaw_rate_max_effort_0_to_9_radps,False,8.844973564,False,0,0,0,0.0,0.9831431482222222,0.0784105177,0.9827748404444444,73471.12988
manual_grid_h300_d40_y1,yaw_rate_reversal_9_to_minus9_radps,False,-8.844973564,False,0,0,0,0.0,0.5212705102222223,1.183411719,0.4913874202222222,133.3642658
manual_grid_h300_d40_y1,combined_3mps_16p5mps2_turn,True,,True,0.9696969986,0.9696969986,0,0.0,865.6774069090909,2320.166546,0.0,
manual_grid_h300_d40_y1,combined_3mps_heading_correction_15deg,True,2.631111622,False,0.9898989797,0.9898989797,3.067067623,1171.53350252336,0.0,3587.793932,0.0,104742.0903
manual_grid_h300_d80_y1,forward_launch_0_to_4_mps,False,0.004457235336,True,0.009600000456,0.008799999952,0,0.0,0.4516434955,0.03756902693,0.00330054786,33.80057477
manual_grid_h300_d80_y1,forward_brake_4_to_0_mps,False,0.0002275736188,True,0,0,0.0002275736188,0.00568934047,0.45164531925,0.03756615282,0.0029674357375,33.81110376
manual_grid_h300_d80_y1,forward_high_speed_disturbance_4_to_2_mps,False,-0.008115768433,True,0,0,0,0.0,0.21204198775,0.0001228183657,0.0046926604375,30.01487775
manual_grid_h300_d80_y1,yaw_rate_max_effort_0_to_9_radps,False,8.844973564,False,0,0,0,0.0,0.9831431482222222,0.0784105177,0.9827748404444444,73471.12988
manual_grid_h300_d80_y1,yaw_rate_reversal_9_to_minus9_radps,False,-8.844973564,False,0,0,0,0.0,0.5212705102222223,1.183411719,0.4913874202222222,133.3642658
manual_grid_h300_d80_y1,combined_3mps_16p5mps2_turn,True,,True,0.9696969986,0.9696969986,0,0.0,865.6774069090909,2320.166546,0.0,
manual_grid_h300_d80_y1,combined_3mps_heading_correction_15deg,True,-3.01462841,False,0.9898989797,0.9898989797,3.009552479,1149.5643364074374,0.0,5260.13979,0.0,104803.343
