group,count,run_count,baseline_rmse_nm,corrected_rmse_nm,baseline_mae_nm,corrected_mae_nm,baseline_median_abs_nm,corrected_median_abs_nm,baseline_signed_median_nm,corrected_signed_median_nm,run_balanced_baseline_rmse_nm,run_balanced_corrected_rmse_nm,run_balanced_baseline_mae_nm,run_balanced_corrected_mae_nm,rmse_improvement_pct,run_balanced_rmse_improvement_pct,run_id,present,dataset_split
2026-05-04_20-35-47,3456,1,0.035845955637305665,0.019369326208524145,0.028876796463541667,0.01461806884772562,0.025485003,0.010781969286908102,0.0093600005,-0.001565655879105775,0.035845955637305665,0.019369326208524145,0.028876796463541667,0.01461806884772562,45.96510020682482,45.96510020682482,2026-05-04_20-35-47,True,open_floor_fit_downweighted
2026-05-04_16-57-53,1761,1,0.023277853453219116,0.01547844779836419,0.017940518580919933,0.011963868880602637,0.013238941,0.00971244594218477,-0.000686103,-0.00029851375912811045,0.02327785345321911,0.015478447798364187,0.017940518580919926,0.011963868880602633,33.50569102314002,33.50569102314002,2026-05-04_16-57-53,True,open_floor_validation_only
2026-04-22_12-10-34,2187,1,0.016217132966177106,0.01669573073073927,0.013081637973022406,0.013520564484390526,0.011327229,0.01192492053570092,-0.003115615,0.001159455019771152,0.01621713296617711,0.016695730730739274,0.013081637973022406,0.013520564484390528,-2.9511860423191996,-2.9511860423191987,2026-04-22_12-10-34,True,open_floor_fit_downweighted
2026-04-22_01-06-32,1031,1,0.04497527944035794,0.02087049100636614,0.033356145290009694,0.017452226930630192,0.026813516,0.015825985322833074,0.009991152,0.0020015267018356937,0.04497527944035793,0.020870491006366138,0.03335614529000969,0.017452226930630185,53.59563905757905,53.59563905757904,2026-04-22_01-06-32,True,primary_open_floor_fit_authoritative
2026-04-21_05-32-06,8880,1,0.04258417382836224,0.019438640409356285,0.0365598928268018,0.015330666568548052,0.034704941,0.013026700345417037,0.0121550075,0.0019675648152178253,0.04258417382836225,0.01943864040935628,0.036559892826801804,0.015330666568548054,54.35243034723475,54.352430347234765,2026-04-21_05-32-06,True,primary_open_floor_fit_authoritative
2026-04-21_00-16-10,3757,1,0.039823975586254654,0.021576357845189045,0.02832533189938781,0.016209602439581496,0.019252263,0.012642664809781805,0.008941154,-0.002153557831515489,0.039823975586254654,0.021576357845189048,0.02832533189938781,0.0162096024395815,45.82068332565928,45.82068332565927,2026-04-21_00-16-10,True,primary_open_floor_fit_authoritative
2026-04-20_12-10-58,2925,1,0.04035482301988178,0.022415790485255323,0.027066004325470086,0.01664813358944164,0.015359407,0.012542888819241954,0.003674954,-0.00011318115944635148,0.04035482301988178,0.022415790485255323,0.02706600432547009,0.016648133589441644,44.45325537864051,44.45325537864051,2026-04-20_12-10-58,True,primary_open_floor_fit_authoritative
2026-04-20_08-38-39,7284,1,0.05622535775152191,0.028119240399418592,0.04229161872130697,0.02090943663598197,0.036814327499999994,0.016195510954755986,0.0001673695,0.00015163044167059055,0.056225357751521904,0.028119240399418585,0.042291618721306955,0.020909436635981955,49.98832995658892,49.98832995658893,2026-04-20_08-38-39,True,open_floor_fit_downweighted
diag003,5580,1,0.08523812922205401,0.05882835499601327,0.07495094215232975,0.053528923954997316,0.085086003,0.058533749037901414,-0.0124400895,-0.019180394008755333,0.08523812922205401,0.05882835499601327,0.07495094215232975,0.05352892395499732,30.983521655244903,30.983521655244903,diag003,True,diag_validation_only
