split,count,run_count,hybrid_baseline_rmse_nm,hybrid_corrected_rmse_nm,hybrid_rb_corrected_rmse_nm,rmse_improvement_pct,b_corrected_rmse_nm,c_corrected_rmse_nm,hybrid_vs_b_rmse_pct,hybrid_vs_c_rmse_pct
primary_open_floor_fit_authoritative,47317,15,0.036866176895009706,0.02090746467558048,0.020790350420137705,43.28822124647656,0.0285279021058212,0.0241202438433666,26.712225112009715,13.319845307740021
open_floor_fit_downweighted,31165,9,0.043194073119807955,0.025782005520034183,0.024922947580229584,40.311242589875,0.0418800950587342,0.0330929374688784,38.438521966398255,22.09212148579931
open_floor_validation_only,14542,9,0.01693070910006944,0.010405365503533538,0.011127624753207574,38.541466621200996,0.0113718645674244,0.0144171431378512,8.499037762544893,27.826439648677834
diag_validation_only,11108,3,0.0846209251204878,0.05789645914577849,0.057555448115029634,31.581391879913372,0.08441199698509,0.0387667559086819,31.41204898160986,-49.345638521206396
aux_downweighted_validation,14448,13,0.05126637392308135,0.03763189880377543,0.03812981762888752,26.595356909311956,0.0489450407955658,0.0285294391795851,23.113969889295277,-31.90549792056132
validation_non_authoritative,71263,34,0.05023383204822011,0.03350209863982204,0.03233244767173214,33.3076986687718,,0.0303417239559983,,-10.41593644582268
