vrel_knee_mps,fwd_knee_mps,bristle_length_m,stribeck_speed_mps,coulomb_fraction,ridge,static_gain_nm,anchor_extra_nm,in_place_max_abs_command,in_place_acceptance_pass,objective_with_gate,objective_score,validation_objective_rb_corrected_rmse_nm,validation_objective_rb_baseline_rmse_nm,primary_rb_corrected_rmse_nm,open_fit_rb_corrected_rmse_nm,straight_rb_corrected_rmse_nm,high_forward_rb_corrected_rmse_nm,low_launch_rb_corrected_rmse_nm
0.05,0.7,0.002,0.06,0.65,0.03,0.06578288683442375,0.06501335920678508,0.7283614445136298,True,0.03461374525725771,0.03461374525725771,0.03461374525725771,0.051393686833940286,0.020790350420137705,0.024922947580229584,0.0220499483612483,0.030535781432999502,0.038795076262395096
0.08,0.7,0.002,0.06,0.65,0.03,0.06578288683442375,0.06501335920678508,0.7925094516730423,True,0.034768413343173224,0.034768413343173224,0.034768413343173224,0.051393686833940286,0.02082562292695119,0.025027731271444264,0.02179226159976491,0.030296402442252755,0.039432854238274036
0.05,0.7,0.002,0.1,0.65,0.03,0.06529131473207078,0.06501335920678508,0.6596604161355931,True,0.03559609600218251,0.03559609600218251,0.03559609600218251,0.051393686833940286,0.021418817564692907,0.02505466634552673,0.022683790308329937,0.030699725036078093,0.03964785211361388
0.08,0.7,0.002,0.1,0.65,0.03,0.06529131473207078,0.06501335920678508,0.7207479745739992,True,0.035831776490661854,0.035831776490661854,0.035831776490661854,0.051393686833940286,0.0214565952452239,0.025199087601649493,0.022431727455194943,0.030476692950054965,0.040418118924434275
0.05,0.7,0.001,0.06,0.65,0.03,0.06578288683442375,0.06501335920678508,0.6235098348964131,True,0.036686569758107794,0.036686569758107794,0.036686569758107794,0.051393686833940286,0.02130493306002608,0.026077064772566556,0.023651275353812923,0.03166746001616325,0.04061849233996531
0.08,0.7,0.001,0.06,0.65,0.03,0.06578288683442375,0.06501335920678508,0.6832672749928927,True,0.03687858791553369,0.03687858791553369,0.03687858791553369,0.051393686833940286,0.021414562428515124,0.02639664457685668,0.02338971046664099,0.031464419304626616,0.04142478890816225
0.08,0.7,0.001,0.1,0.65,0.03,0.06529131473207078,0.06501335920678508,0.617025348450943,True,0.03793162531363962,0.03793162531363962,0.03793162531363962,0.051393686833940286,0.02208952561846748,0.026703096041515093,0.02401388524936432,0.03169624522281143,0.04245474057343295
0.08,0.7,0.002,0.06,0.85,0.03,0.06534094109979165,0.06501335920678508,0.6492605738291461,True,0.0388877389256232,0.0388877389256232,0.0388877389256232,0.051393686833940286,0.022871045183851045,0.02593080862120256,0.024227844315997272,0.03190059838225521,0.04331806281308983
0.08,0.7,0.002,0.1,0.85,0.03,0.06513219268566735,0.06501335920678508,0.6247531358193322,True,0.03933092550343367,0.03933092550343367,0.03933092550343367,0.051393686833940286,0.02315482046974514,0.0260279848404779,0.024499422221932313,0.031970366870685094,0.0437473210270471
0.05,0.7,0.001,0.1,0.65,0.03,0.06529131473207078,0.06501335920678508,0.5592876723554082,False,10.037641028695043,0.03764102869504315,0.03764102869504315,0.051393686833940286,0.021968446503851075,0.02632331268057162,0.02426552815546592,0.03186989431138267,0.041489417038185934
