vf_mps,yaw_rate_radps,variant,baseline_opposing_yaw_torque_nm,extra_opposing_yaw_torque_nm,total_opposing_yaw_torque_nm,required_applied_bank_torque_nm,left_command,right_command,lr_delta_command,left_surface_mps,right_surface_mps,left_command_torque_nm,right_command_torque_nm,left_launch_torque_nm,right_launch_torque_nm,max_abs_command,in_place_acceptance_min_abs_command,in_place_acceptance_gate_applies,in_place_acceptance_pass,command_outside_unit,contact_utilization_raw,limiter_activity_proxy,contact_projection_sensitive,low_speed_launch_sensitive,caveat
0.0,1.0,Baseline,0.014794249999999998,0.0,0.014794249999999998,0.002204235747622142,0.2617439811042084,-0.2617439811042084,0.5234879622084168,0.0423175,-0.0423175,0.005924235747622142,-0.005924235747622142,5.469857826628172e-34,5.469857826628172e-34,0.2617439811042084,0.6,True,False,False,0.40498826409220634,0.0,False,False,current raw right-contact scrub approximation
0.0,1.0,B_stribeck,0.014794249999999998,0.06501335920678508,0.07980760920678508,0.011890753850033197,0.6427496056765714,-0.6427496056765714,1.2854992113531427,0.0423175,-0.0423175,0.015610753850033198,-0.015610753850033198,5.469857826628172e-34,5.469857826628172e-34,0.6427496056765714,0.6,True,True,False,0.40498826409220634,0.0,False,False,request-activated B reference; comparison only
0.0,1.0,C_combined_slip,0.014794249999999998,0.018240534311967205,0.0330347843119672,0.004921942815311707,0.3686411827387206,-0.3686411827387206,0.7372823654774412,0.0423175,-0.0423175,0.008641942815311707,-0.008641942815311707,5.469857826628172e-34,5.469857826628172e-34,0.3686411827387206,0.6,True,False,False,0.40498826409220634,0.0,False,False,request-aware C reference; comparison only
0.0,1.0,Dynamic_LuGre_bristle,0.014794249999999998,0.07962183969027978,0.09441608969027977,0.014067311289589744,0.7283614445136298,-0.7283614445136298,1.4567228890272597,0.0423175,-0.0423175,0.017787311289589745,-0.017787311289589745,5.469857826628172e-34,5.469857826628172e-34,0.7283614445136298,0.6,True,True,False,0.40498826409220634,0.0,False,False,physical dynamic bristle state plus force-state slip surface
