branch,feature,standardized_coefficient_nm,feature_scale,raw_coefficient_nm_per_feature,abs_standardized_coefficient_nm
dynamic_bristle,lugre_bristle_state_basis,0.06578288683442375,1.0,0.06578288683442375,0.06578288683442375
moving_contact,force_moment_opposes_yaw_nm__base,-0.03493152590188134,0.05055376583305401,-0.6909777209721092,0.03493152590188134
moving_contact,gain_left_long_basis__force_util,0.014156750334435803,0.00449602973066267,3.1487225802550998,0.014156750334435803
moving_contact,gain_right_long_basis__force_util,0.01415675032783919,0.00449602973066267,3.1487225787878916,0.01415675032783919
moving_contact,gain_front_right_basis__base,-0.01263708155448129,0.0005619069435,-22.489634094513182,0.01263708155448129
moving_contact,gain_rear_right_basis__base,-0.012637081546352315,0.0005619069435,-22.489634080046418,0.012637081546352315
moving_contact,gain_left_long_basis__base,-0.01245376109297495,0.009128095558858003,-1.364332900841478,0.01245376109297495
moving_contact,gain_right_long_basis__base,-0.012453761092544589,0.009128095558858003,-1.364332900794331,0.012453761092544589
moving_contact,gain_front_right_basis__force_util,0.011101902525620823,0.00028717682874525964,38.65876844635252,0.011101902525620823
moving_contact,gain_rear_right_basis__force_util,0.011101902499626441,0.00028717682874525964,38.65876835583553,0.011101902499626441
moving_contact,force_moment_opposes_yaw_nm__force_util,-0.007034613165191611,0.022365890443234962,-0.3145241716642397,0.007034613165191611
moving_contact,force_moment_opposes_yaw_nm__low_rel,0.004843115666321956,0.018457141385279353,0.26239792854296623,0.004843115666321956
moving_contact,gain_front_right_basis__low_rel,-0.0022535172270083427,9.991267255021886e-05,-22.554868861861973,0.0022535172270083427
moving_contact,gain_rear_right_basis__low_rel,-0.002253517222247332,9.991267255021886e-05,-22.554868814210252,0.002253517222247332
moving_contact,force_moment_opposes_yaw_nm__high_forward,-0.0011790304522014737,0.001298632001828792,-0.9079018925616418,0.0011790304522014737
moving_contact,gain_left_long_basis__low_rel,0.0009128576125982518,0.001285280386254134,0.7102400552915275,0.0009128576125982518
moving_contact,gain_right_long_basis__low_rel,0.0009128576117660088,0.001285280386254134,0.7102400546440089,0.0009128576117660088
moving_contact,gain_right_long_basis__load_delta,0.0008240038007647698,0.0026400385341533487,0.3121180960447704,0.0008240038007647698
moving_contact,gain_left_long_basis__load_delta,0.000824003798938236,0.0026400385341533487,0.3121180953529117,0.000824003798938236
moving_contact,gain_front_right_basis__high_forward,-0.00067789666693863,1.084031481787091e-05,-62.534776741084734,0.00067789666693863
moving_contact,gain_rear_right_basis__high_forward,-0.0006778966571307077,1.084031481787091e-05,-62.53477583632114,0.0006778966571307077
moving_contact,force_abs_contact_moment_nm__force_util_signed,-0.0006004505966278061,0.02894736700297526,-0.020742839808749816,0.0006004505966278061
moving_contact,gain_rear_right_basis__load_delta,-0.0004855863355093213,0.000170767292232097,-2.8435558657763367,0.0004855863355093213
moving_contact,gain_front_right_basis__load_delta,-0.0004855863350001498,0.000170767292232097,-2.843555862794668,0.0004855863350001498
moving_contact,gain_left_long_basis__high_forward,-2.4335701991368904e-05,0.00021173214938332427,-0.11493626292581126,2.4335701991368904e-05
moving_contact,gain_right_long_basis__high_forward,-2.433569385615056e-05,0.00021173214938332427,-0.11493622450359542,2.433569385615056e-05
