branch,feature,standardized_coefficient_nm,feature_scale,raw_coefficient_nm_per_feature,abs_standardized_coefficient_nm
static_launch,bristle_sliding_basis,0.07355158685478377,1.0,0.07355158685478377,0.07355158685478377
moving_contact,force_moment_opposes_yaw_nm__base,-0.030655631003263274,0.0347664175910718,-0.8817598454876697,0.030655631003263274
moving_contact,force_moment_opposes_yaw_nm__force_util,-0.008355522648936006,0.013578102580618864,-0.6153674712151996,0.008355522648936006
moving_contact,gain_front_right_basis__base,-0.006085625593277118,0.00015701978673555582,-38.75706189517502,0.006085625593277118
moving_contact,gain_rear_right_basis__base,-0.006085625586847166,0.00015701978673555582,-38.75706185422507,0.006085625586847166
moving_contact,gain_rear_right_basis__low_rel,-0.004217790590715135,6.374583831432301e-05,-66.16574041928385,0.004217790590715135
moving_contact,gain_front_right_basis__low_rel,-0.004217790590107927,6.374583831432301e-05,-66.1657404097584,0.004217790590107927
moving_contact,gain_left_long_basis__force_util,0.0039032253089297643,0.0016085361451347803,2.426569847830625,0.0039032253089297643
moving_contact,gain_right_long_basis__force_util,0.003903225308281862,0.0016085361451347803,2.426569847427835,0.003903225308281862
moving_contact,gain_rear_right_basis__force_util,0.0033975397906171874,6.374451088443451e-05,53.29933108713864,0.0033975397906171874
moving_contact,gain_front_right_basis__force_util,0.0033975397905247266,6.374451088443451e-05,53.299331085688145,0.0033975397905247266
static_launch,bristle_static_basis,0.002790357109550818,1.0,0.002790357109550818,0.002790357109550818
moving_contact,force_moment_opposes_yaw_nm__low_rel,0.0027413919521514086,0.015470677401995942,0.17719921894290996,0.0027413919521514086
moving_contact,gain_right_long_basis__low_rel,-0.0025194678142187103,0.00111809524382905,-2.2533570624900374,0.0025194678142187103
moving_contact,gain_left_long_basis__low_rel,-0.0025194678141971616,0.00111809524382905,-2.253357062470765,0.0025194678141971616
moving_contact,gain_right_long_basis__base,-0.0019373985512198108,0.00419879990683362,-0.46141721306287087,0.0019373985512198108
moving_contact,gain_left_long_basis__base,-0.001937398551129891,0.00419879990683362,-0.4614172130414553,0.001937398551129891
moving_contact,force_moment_opposes_yaw_nm__high_forward,0.0014694246942898205,0.001007803398934202,1.4580469721017058,0.0014694246942898205
moving_contact,gain_left_long_basis__high_forward,-0.0005139109887923209,0.0001484020621919559,-3.4629639319134564,0.0005139109887923209
moving_contact,gain_right_long_basis__high_forward,-0.0005139109879645495,0.0001484020621919559,-3.462963926335559,0.0005139109879645495
moving_contact,gain_rear_right_basis__high_forward,0.0004922535171543768,9.054222735014597e-06,54.36728602342951,0.0004922535171543768
moving_contact,gain_front_right_basis__high_forward,0.0004922535168429728,9.054222735014597e-06,54.367285989036276,0.0004922535168429728
moving_contact,force_abs_contact_moment_nm__force_util_signed,0.00019279625188287858,0.01491252305049603,0.012928479723386961,0.00019279625188287858
moving_contact,gain_rear_right_basis__load_delta,0.0,1.0,0.0,0.0
moving_contact,gain_front_right_basis__load_delta,0.0,1.0,0.0,0.0
moving_contact,gain_left_long_basis__load_delta,0.0,1.0,0.0,0.0
moving_contact,gain_right_long_basis__load_delta,0.0,1.0,0.0,0.0
