run_id,present,dataset_split,count,hybrid_baseline_rmse_nm,hybrid_corrected_rmse_nm,b_corrected_rmse_nm,c_corrected_rmse_nm,hybrid_vs_b_rmse_pct,hybrid_vs_c_rmse_pct
2026-05-04_20-35-47,True,open_floor_fit_downweighted,3456,0.035845955637305665,0.019369326208524145,0.02112858006895,0.0280764431993315,8.326417841070198,31.01217960191863
2026-05-04_16-57-53,True,open_floor_validation_only,1761,0.023277853453219116,0.01547844779836419,0.0152890656664383,0.0193411614259728,-1.2386769476804034,19.971466772525158
2026-04-22_12-10-34,True,open_floor_fit_downweighted,2187,0.016217132966177106,0.01669573073073927,0.0134986585856597,0.0144029198633694,-23.68436926374284,-15.919069807512574
2026-04-22_01-06-32,True,primary_open_floor_fit_authoritative,1031,0.04497527944035794,0.02087049100636614,0.0340445888950484,0.0186084888432157,38.69659853815523,-12.155754194812669
2026-04-21_05-32-06,True,primary_open_floor_fit_authoritative,8880,0.04258417382836224,0.019438640409356285,0.0278350871048762,0.0237544646016017,30.164973667529893,18.16847596705846
2026-04-21_00-16-10,True,primary_open_floor_fit_authoritative,3757,0.039823975586254654,0.021576357845189045,0.0351460067765235,0.0277430795778103,38.609361847612746,22.22796396962929
2026-04-20_12-10-58,True,primary_open_floor_fit_authoritative,2925,0.04035482301988178,0.022415790485255323,0.0365035838377679,0.029338119985341,38.592904781959646,23.59500030521542
2026-04-20_08-38-39,True,open_floor_fit_downweighted,7284,0.05622535775152191,0.028119240399418592,0.0562595977614696,0.0413122972466065,50.018767431222976,31.93493881115899
diag003,True,diag_validation_only,5580,0.08523812922205401,0.05882835499601327,0.0850339682694812,0.0389704590376687,30.81781764014553,-50.95627931698213
