vf_mps,yaw_rate_radps,variant,baseline_opposing_yaw_torque_nm,extra_opposing_yaw_torque_nm,total_opposing_yaw_torque_nm,required_applied_bank_torque_nm,left_command,right_command,lr_delta_command,left_surface_mps,right_surface_mps,left_command_torque_nm,right_command_torque_nm,left_launch_torque_nm,right_launch_torque_nm,max_abs_command,in_place_acceptance_min_abs_command,in_place_acceptance_gate_applies,in_place_acceptance_pass,command_outside_unit,contact_utilization_raw,limiter_activity_proxy,contact_projection_sensitive,low_speed_launch_sensitive,caveat
0.0,0.2,Baseline,0.00295885,0.0,0.00295885,0.00044084714952442834,0.20399569675432425,-0.20399569675432425,0.4079913935086485,0.0084635,-0.0084635,0.004561249124841082,-0.004561249124841082,0.00040040197531665246,0.00040040197531665246,0.20399569675432425,,False,,False,0.08099765281844126,0.0,False,True,current raw right-contact scrub approximation
0.0,0.2,B_stribeck,0.00295885,0.0007180364192025853,0.0036768864192025853,0.0005478293583759035,0.2082036921217661,-0.2082036921217661,0.4164073842435322,0.0084635,-0.0084635,0.004668231333692556,-0.004668231333692556,0.00040040197531665246,0.00040040197531665246,0.2082036921217661,,False,,False,0.08099765281844126,0.0,False,True,request-activated B reference; comparison only
0.0,0.2,C_combined_slip,0.00295885,0.003793280091604756,0.006752130091604755,0.0010060183193139477,0.22622591325310418,-0.22622591325310418,0.45245182650620835,0.0084635,-0.0084635,0.005126420294630601,-0.005126420294630601,0.00040040197531665246,0.00040040197531665246,0.22622591325310418,,False,,False,0.08099765281844126,0.0,False,True,request-aware C reference; comparison only
0.0,0.2,Dynamic_LuGre_bristle,0.00295885,0.10652628153796628,0.10948513153796628,0.016312489025742952,0.8282845033309942,-0.8282845033309942,1.6565690066619885,0.0084635,-0.0084635,0.020432891001059605,-0.020432891001059605,0.00040040197531665246,0.00040040197531665246,0.8282845033309942,,False,,False,0.08099765281844126,0.0,False,True,physical dynamic bristle state plus force-state slip surface
0.0,0.844444444,Baseline,0.012492922215646997,0.0,0.012492922215646997,0.0018613546303457035,0.24745279363875658,-0.24745279363875658,0.49490558727751316,0.03573477775897,-0.03573477775897,0.005581354630345704,-0.005581354630345704,4.608237110562176e-25,4.608237110562176e-25,0.24745279363875658,,False,,False,0.3419900894978683,0.0,False,False,current raw right-contact scrub approximation
0.0,0.844444444,B_stribeck,0.012492922215646997,0.06489582296613733,0.07738874518178432,0.011530360686977022,0.6277696064142172,-0.6277696064142172,1.2555392128284344,0.03573477775897,-0.03573477775897,0.015250360686977021,-0.015250360686977021,4.608237110562176e-25,4.608237110562176e-25,0.6277696064142172,,False,,False,0.3419900894978683,0.0,False,False,request-activated B reference; comparison only
0.0,0.844444444,C_combined_slip,0.012492922215646997,0.01578763806222554,0.028280560277872537,0.004213597980787767,0.3399749917502008,-0.3399749917502008,0.6799499835004016,0.03573477775897,-0.03573477775897,0.007933597980787768,-0.007933597980787768,4.608237110562176e-25,4.608237110562176e-25,0.3399749917502008,,False,,False,0.3419900894978683,0.0,False,False,request-aware C reference; comparison only
0.0,0.844444444,Dynamic_LuGre_bristle,0.012492922215646997,0.08382325825380015,0.09631618046944715,0.014350411008681141,0.7386923366240468,-0.7386923366240468,1.4773846732480935,0.03573477775897,-0.03573477775897,0.01807041100868114,-0.01807041100868114,4.608237110562176e-25,4.608237110562176e-25,0.7386923366240468,,False,,False,0.3419900894978683,0.0,False,False,physical dynamic bristle state plus force-state slip surface
0.0,1.488888889,Baseline,0.022026994446088247,0.0,0.022026994446088247,0.003281862113371215,0.30665914159179297,-0.30665914159179297,0.6133182831835859,0.0630060555602575,-0.0630060555602575,0.007001862113371215,-0.007001862113371215,7.673684805205212e-72,7.673684805205212e-72,0.30665914159179297,,False,,False,0.6029825265822837,0.0,False,False,current raw right-contact scrub approximation
0.0,1.488888889,B_stribeck,0.022026994446088247,0.06518418665555997,0.08721118110164822,0.012993832264332534,0.6886658868508683,-0.6886658868508683,1.3773317737017365,0.0630060555602575,-0.0630060555602575,0.016713832264332533,-0.016713832264332533,7.673684805205212e-72,7.673684805205212e-72,0.6886658868508683,,False,,False,0.6029825265822837,0.0,False,False,request-activated B reference; comparison only
0.0,1.488888889,C_combined_slip,0.022026994446088247,0.024369356811155964,0.046396351257244214,0.006912719198367691,0.4494738203831057,-0.4494738203831057,0.8989476407662114,0.0630060555602575,-0.0630060555602575,0.010632719198367691,-0.010632719198367691,7.673684805205212e-72,7.673684805205212e-72,0.4494738203831057,,False,,False,0.6029825265822837,0.0,False,False,request-aware C reference; comparison only
0.0,1.488888889,Dynamic_LuGre_bristle,0.022026994446088247,0.07005268460588839,0.09207967905197663,0.013719203082004198,0.7171973321557367,-0.7171973321557367,1.4343946643114733,0.0630060555602575,-0.0630060555602575,0.0174392030820042,-0.0174392030820042,7.673684805205212e-72,7.673684805205212e-72,0.7171973321557367,,False,,False,0.6029825265822837,0.0,False,False,physical dynamic bristle state plus force-state slip surface
0.0,2.133333333,Baseline,0.03156106666173525,0.0,0.03156106666173525,0.004702369594192491,0.3658654894529572,-0.3658654894529572,0.7317309789059144,0.09027733331922749,-0.09027733331922749,0.008422369594192491,-0.008422369594192491,1.84885893097964e-144,1.84885893097964e-144,0.3658654894529572,,False,,False,0.8639749632617107,0.0,False,False,current raw right-contact scrub approximation
0.0,2.133333333,B_stribeck,0.03156106666173525,0.06517324235302697,0.09673430901476222,0.014412709123603139,0.7478080964968571,-0.7478080964968571,1.4956161929937142,0.09027733331922749,-0.09027733331922749,0.01813270912360314,-0.01813270912360314,1.84885893097964e-144,1.84885893097964e-144,0.7478080964968571,,False,,False,0.8639749632617107,0.0,False,False,request-activated B reference; comparison only
