group,count,run_count,baseline_rmse_nm,corrected_rmse_nm,baseline_mae_nm,corrected_mae_nm,baseline_median_abs_nm,corrected_median_abs_nm,baseline_signed_median_nm,corrected_signed_median_nm,run_balanced_baseline_rmse_nm,run_balanced_corrected_rmse_nm,run_balanced_baseline_mae_nm,run_balanced_corrected_mae_nm,rmse_improvement_pct,run_balanced_rmse_improvement_pct
primary_open_floor_fit_authoritative,47317,15,0.036866176895009706,0.02975239121958151,0.025480195736437217,0.019112634178513836,0.016044602,0.011786263818559004,0.001648731,0.00023634878818764335,0.03636331610641915,0.029381702198627797,0.02457345343167676,0.018823254418336256,19.29623919422775,19.199607338778712
open_floor_fit_downweighted,31165,9,0.043194073119807955,0.042732410414394593,0.027849684910123535,0.026870947911562998,0.013314394,0.01190298823591993,0.000637863,0.00018410573859107843,0.04144061576621012,0.03896771950802881,0.026214860531404545,0.024227401952009193,1.068810306758618,5.967325080622146
open_floor_validation_only,14542,9,0.01693070910006944,0.025884176319912088,0.010368821404827396,0.013353110495857601,0.005201232,0.005102202838248273,-0.000858939,-6.7621491188189e-05,0.013964777505761389,0.025311303434847374,0.008534829444154322,0.01329545455045994,-52.883001928170415,-81.25103263839898
diag_validation_only,11108,3,0.0846209251204878,0.07358832863788434,0.0738060716588945,0.05282387628300478,0.082360023,0.033468393602879294,-0.006359523000000001,-0.00393179682148676,0.0843901027631117,0.07328600351984708,0.07338767615724866,0.052616400575388064,13.037669426202399,13.158058681874712
aux_downweighted_validation,14448,13,0.05126637392308135,0.040078526780833346,0.03305637759772979,0.022108102823006664,0.016359514999999998,0.008082929681496275,-0.0012553224999999999,-0.0005734062704325666,0.05745404366130294,0.03934501199305315,0.03863710067442005,0.022353676440617136,21.822973395844112,31.51915951295657
validation_non_authoritative,71263,34,0.05023383204822011,0.04588084122198549,0.032501511564374225,0.02719222474261594,0.014290832,0.010604747381447382,-0.000435785,-0.00024920700351751873,0.04895637249734892,0.04046393155577479,0.03044683961821284,0.02312213835224733,8.665456423981599,17.346957113773108
