vrel_knee_mps,fwd_knee_mps,bristle_velocity_mps,slide_gate_power,ridge,static_ridge,downweighted_fit_weight,anchor_extra_nm,in_place_max_abs_command,in_place_acceptance_pass,objective_with_gate,anchor_constraint_lagrange,objective_score,validation_objective_rb_corrected_rmse_nm,validation_objective_rb_baseline_rmse_nm,primary_rb_corrected_rmse_nm,open_fit_rb_corrected_rmse_nm,straight_rb_corrected_rmse_nm,high_forward_rb_corrected_rmse_nm,low_launch_rb_corrected_rmse_nm
0.05,0.7,0.008,2.0,0.1,0.0,0.0,0.06501335920678508,0.6405197824127022,True,0.040989200169511394,0.0,0.040989200169511394,0.040989200169511394,0.051393686833940286,0.029381702198627797,0.03896771950802881,0.010595242006049098,0.02959930302848201,0.0690267724173457
0.05,0.7,0.008,2.0,0.03,0.0,0.0,0.06501335920678508,0.6405199004081593,True,0.040989217160988405,0.0,0.040989217160988405,0.040989217160988405,0.051393686833940286,0.029381719495476626,0.03896764729030495,0.010595198674828043,0.02959933560868567,0.06902680100349161
0.05,0.7,0.008,2.0,0.01,0.0,0.0,0.06501335920678508,0.6405199341413688,True,0.04098922202033248,0.0,0.04098922202033248,0.04098922202033248,0.051393686833940286,0.02938172443968756,0.038967626644054516,0.010595186296767131,0.029599344923796095,0.06902680917469879
0.05,0.7,0.008,2.0,0.003,0.0,0.0,0.06501335920678508,0.6405199459501162,True,0.04098922372159,0.0,0.04098922372159,0.04098922372159,0.051393686833940286,0.02938172617039826,0.038967619416541935,0.010595181964686614,0.02959934818476575,0.0690268120350139
0.06,0.7,0.008,2.0,0.1,0.0,0.0,0.06501335920678508,0.6413847522551979,True,0.04124624717954734,0.0,0.04124624717954734,0.04124624717954734,0.051393686833940286,0.029606682468801583,0.039442954549485564,0.010601575023998517,0.02953412809557245,0.06934490781549331
0.06,0.7,0.008,2.0,0.03,0.0,0.0,0.06501335920678508,0.6413848692379694,True,0.041246259391294456,0.0,0.041246259391294456,0.041246259391294456,0.051393686833940286,0.029606703851022775,0.03944290920780599,0.010601525088241906,0.029534160954263703,0.06934493840877444
0.06,0.7,0.008,2.0,0.01,0.0,0.0,0.06501335920678508,0.6413849026832098,True,0.041246262884673354,0.0,0.041246262884673354,0.041246262884673354,0.051393686833940286,0.029606709962842113,0.03944289624183241,0.01060151082221174,0.02953417034953261,0.06934494715361313
0.06,0.7,0.008,2.0,0.003,0.0,0.0,0.06501335920678508,0.6413849143913123,True,0.04124626410780863,0.0,0.04124626410780863,0.04124626410780863,0.051393686833940286,0.0296067121022535,0.03944289170256451,0.010601505829241223,0.029534173638619803,0.06934495021471654
0.08,0.7,0.008,2.0,0.1,0.0,0.0,0.06501335920678508,0.6424467722902726,True,0.04154308495718782,0.0,0.04154308495718782,0.04154308495718782,0.051393686833940286,0.0298460387526346,0.04015655360190507,0.010614425865626791,0.029260509752608906,0.0698080603244888
0.08,0.7,0.008,2.0,0.03,0.0,0.0,0.06501335920678508,0.6424468840629198,True,0.04154308677548604,0.0,0.04154308677548604,0.04154308677548604,0.051393686833940286,0.029846065406681152,0.04015655275081802,0.010614365161861872,0.029260522281746228,0.06980809532295806
