candidate,total_score,scenario,score,rms_early_norm,rms_late_norm,late_p2p_norm,heading_late_abs_rad,sign_changes,saturation_fraction,accel_cmd_rms_over_limit,first_cross_s,final_yaw_rate_error,final_heading_error
current,10575.380704602572,launch_0_to_1_radps,52.22625051000831,0.2555769864146165,0.0034621618941022996,0.014926459917216417,0.0,9.0,0.0,0.18420787206470018,0.028,-0.0013568582238603355,0.0
current,10575.380704602572,yaw_rate_0_to_9_radps,35.56977370306251,0.2491220469027362,0.0001553164033786731,0.0007365367981828383,0.0,8.0,0.02181818181818182,0.3000253445702706,0.036000000000000004,-0.0003814534626123134,0.0
current,10575.380704602572,yaw_rate_9_to_minus9_radps,39.164547738584254,0.25392578312329955,3.9596156217168445e-05,0.00021045746625356386,0.0,7.0,0.0512,0.5734082057780271,0.054,-0.00013786575756569164,0.0
current,10575.380704602572,combined_3mps_5p5radps,32.20968515279964,0.2557237217026937,0.0005650720008566967,0.002751710384995705,0.0,8.0,0.010526315789473684,0.20236329817638724,0.029,0.0010509718607210061,0.0
current,10575.380704602572,heading_correction_15deg_at_3mps,10416.210447498117,25.981837916057806,53.53556977012567,60.6566333657966,3.4164058411049956,4.0,0.9776470588235294,42.38943109144388,nan,-14.449119796445652,-6.715499905860048
grid_best,137.5099003737535,launch_0_to_1_radps,26.05790898156515,0.2374755328568958,0.00011805015993941793,0.00034404313169500433,0.0,2.0,0.0,0.06535404280044282,0.052000000000000005,-1.064953934104551e-05,0.0
grid_best,137.5099003737535,yaw_rate_0_to_9_radps,19.303381650652273,0.23747553285689577,1.1069771718218143e-06,6.3566832960838665e-06,0.0,2.0,0.0,0.10911870158836144,0.052000000000000005,2.637244289616092e-07,0.0
grid_best,137.5099003737535,yaw_rate_9_to_minus9_radps,23.492740631599293,0.24842506731327335,2.139850069068061e-07,7.624190402961201e-07,0.0,2.0,0.0208,0.21384788883188105,0.058,4.2292821689216e-08,0.0
grid_best,137.5099003737535,combined_3mps_5p5radps,17.35744086357307,0.2374755328568958,8.488810297264419e-06,2.905986051857858e-05,0.0,2.0,0.0,0.07175528762803461,0.052000000000000005,2.9533853265206744e-06,0.0
grid_best,137.5099003737535,heading_correction_15deg_at_3mps,51.29842824636371,0.5452961409831272,0.06855327263578277,0.05531938868083824,0.01884788976316097,0.0,0.0,0.04080139275745696,nan,-0.042894692347736414,0.012554922217565129
recommended_balanced,150.80187265826993,launch_0_to_1_radps,29.13249573159679,0.23335198147251485,0.00019148665484189085,0.0007037418031768938,0.0,3.0,0.0,0.08032305293500416,0.045,5.423696524842203e-05,0.0
recommended_balanced,150.80187265826993,yaw_rate_0_to_9_radps,21.568762213720383,0.23335198147251487,2.93370269331738e-06,1.0780008500669661e-05,0.0,3.0,0.0,0.13411178374414295,0.045,2.765606854637781e-07,0.0
recommended_balanced,150.80187265826993,yaw_rate_9_to_minus9_radps,23.77050845086173,0.2501221686774946,5.148605906488165e-07,3.0479940588258437e-06,0.0,2.0,0.0264,0.26907890130163864,0.056,-4.2661017829459524e-08,0.0
recommended_balanced,150.80187265826993,combined_3mps_5p5radps,19.393845490968356,0.23335198147251493,1.4729341492333501e-05,7.25815975916336e-05,0.0,3.0,0.0,0.08819047034821317,0.045,-3.1207209918449053e-06,0.0
recommended_balanced,150.80187265826993,heading_correction_15deg_at_3mps,56.93626077112267,0.6760149975514391,0.03573851246524487,0.0524180313935273,0.006840576213409593,0.0,0.0,0.056174589597373314,nan,-0.01755213851795544,0.003789515485300099
