segment_id,log_id,log_path,schema_kind,stage,family,section_id,section_name,phase_id,phase_name,primitive_id,primitive_name,direction_id,direction_name,speed_bin,speed_bin_label,repeat_index,slot_occurrence_index,parameter,test_value_kind,test_value,fan_duty_cycle,active_command_rows,observed_command_pair_mode,observed_command_pair_distinct_count,observed_command_magnitude_max,observed_command_magnitude_median,left_drive_command_min,left_drive_command_max,right_drive_command_min,right_drive_command_max,cmd_linear_mps_median,cmd_yaw_radps_median,segment_start_row_index,segment_end_row_index,segment_start_time_us,segment_end_time_us,segment_duration_s,active_start_row_index,active_end_row_index,active_start_time_us,active_end_time_us,start_criterion,end_criterion,end_reason,corruption_note
ofnis_000001,mmlog_decode_2026-06-09_23-36-21,TestResults/mmlog_decode_2026-06-09_23-36-21/open_floor_main.csv,compact_phase_battery,static,static_hold,1,SEC_10_STATIC,1,static,0,MC_NONE,,,0.0,,1,1,none,none,,0.8,0,null,0,,,,,,,,,0,30501,44773845,75274845,30.500999999999998,,,,,static reliable_stationary_run rows=30502,static reliable_stationary_run rows=30502,reliable_stationary,
ofnis_000012,mmlog_decode_2026-06-09_23-36-21,TestResults/mmlog_decode_2026-06-09_23-36-21/open_floor_main.csv,compact_phase_battery,launch,launch,2,SEC_20_LAUNCH,2,launch,0,MC_NONE,,,0.30000001192092896,,3,1,drive_command_bin,logged_drive_command_bin,0.3,0.8,250,"[0.3, 0.3]",1,0.3,0.3,0.30000001192092896,0.30000001192092896,0.30000001192092896,0.30000001192092896,,,38055,38866,82828845,83639845,0.8109999999999999,38056,38305,82829845,83078845,last row of preceding reliable stationary run; rows=200; row_index=37856..38055,first reliable stationary run after active command; rows=226; row_index=38641..38866,reliable_stationary,
ofnis_000013,mmlog_decode_2026-06-09_23-36-21,TestResults/mmlog_decode_2026-06-09_23-36-21/open_floor_main.csv,compact_phase_battery,launch,launch,2,SEC_20_LAUNCH,2,launch,0,MC_NONE,,,-0.30000001192092896,,3,1,drive_command_bin,logged_drive_command_bin,-0.3,0.8,250,"[-0.3, -0.3]",1,0.3,0.3,-0.30000001192092896,-0.30000001192092896,-0.30000001192092896,-0.30000001192092896,,,38866,39676,83639845,84449845,0.8099999999999999,38867,39116,83640845,83889845,last row of preceding reliable stationary run; rows=226; row_index=38641..38866,first reliable stationary run after active command; rows=240; row_index=39437..39676,reliable_stationary,
ofnis_000014,mmlog_decode_2026-06-09_23-36-21,TestResults/mmlog_decode_2026-06-09_23-36-21/open_floor_main.csv,compact_phase_battery,launch,launch,2,SEC_20_LAUNCH,2,launch,0,MC_NONE,,,0.3499999940395355,,1,1,drive_command_bin,logged_drive_command_bin,0.35,0.8,250,"[0.35, 0.35]",1,0.35,0.35,0.3499999940395355,0.3499999940395355,0.3499999940395355,0.3499999940395355,,,39676,40590,84449845,85363845,0.9139999999999999,39677,39926,84450845,84699845,last row of preceding reliable stationary run; rows=240; row_index=39437..39676,first reliable stationary run after active command; rows=229; row_index=40362..40590,reliable_stationary,
ofnis_000015,mmlog_decode_2026-06-09_23-36-21,TestResults/mmlog_decode_2026-06-09_23-36-21/open_floor_main.csv,compact_phase_battery,launch,launch,2,SEC_20_LAUNCH,2,launch,0,MC_NONE,,,-0.3499999940395355,,1,1,drive_command_bin,logged_drive_command_bin,-0.35,0.8,250,"[-0.35, -0.35]",1,0.35,0.35,-0.3499999940395355,-0.3499999940395355,-0.3499999940395355,-0.3499999940395355,,,40590,41448,85363845,86221845,0.858,40591,40840,85364845,85613845,last row of preceding reliable stationary run; rows=229; row_index=40362..40590,first reliable stationary run after active command; rows=263; row_index=41186..41448,reliable_stationary,
ofnis_000016,mmlog_decode_2026-06-09_23-36-21,TestResults/mmlog_decode_2026-06-09_23-36-21/open_floor_main.csv,compact_phase_battery,launch,launch,2,SEC_20_LAUNCH,2,launch,0,MC_NONE,,,0.3499999940395355,,2,1,drive_command_bin,logged_drive_command_bin,0.35,0.8,250,"[0.35, 0.35]",1,0.35,0.35,0.3499999940395355,0.3499999940395355,0.3499999940395355,0.3499999940395355,,,41448,42345,86221845,87118845,0.8969999999999999,41449,41698,86222845,86471845,last row of preceding reliable stationary run; rows=263; row_index=41186..41448,first reliable stationary run after active command; rows=245; row_index=42101..42345,reliable_stationary,
ofnis_000017,mmlog_decode_2026-06-09_23-36-21,TestResults/mmlog_decode_2026-06-09_23-36-21/open_floor_main.csv,compact_phase_battery,launch,launch,2,SEC_20_LAUNCH,2,launch,0,MC_NONE,,,-0.3499999940395355,,2,1,drive_command_bin,logged_drive_command_bin,-0.35,0.8,250,"[-0.35, -0.35]",1,0.35,0.35,-0.3499999940395355,-0.3499999940395355,-0.3499999940395355,-0.3499999940395355,,,42345,43238,87118845,88011845,0.8929999999999999,42346,42595,87119845,87368845,last row of preceding reliable stationary run; rows=245; row_index=42101..42345,first reliable stationary run after active command; rows=282; row_index=42957..43238,reliable_stationary,
ofnis_000018,mmlog_decode_2026-06-09_23-36-21,TestResults/mmlog_decode_2026-06-09_23-36-21/open_floor_main.csv,compact_phase_battery,launch,launch,2,SEC_20_LAUNCH,2,launch,0,MC_NONE,,,0.3499999940395355,,3,1,drive_command_bin,logged_drive_command_bin,0.35,0.8,250,"[0.35, 0.35]",1,0.35,0.35,0.3499999940395355,0.3499999940395355,0.3499999940395355,0.3499999940395355,,,43238,44124,88011845,88897845,0.886,43239,43488,88012845,88261845,last row of preceding reliable stationary run; rows=282; row_index=42957..43238,first reliable stationary run after active command; rows=233; row_index=43892..44124,reliable_stationary,
ofnis_000019,mmlog_decode_2026-06-09_23-36-21,TestResults/mmlog_decode_2026-06-09_23-36-21/open_floor_main.csv,compact_phase_battery,launch,launch,2,SEC_20_LAUNCH,2,launch,0,MC_NONE,,,-0.3499999940395355,,3,1,drive_command_bin,logged_drive_command_bin,-0.35,0.8,250,"[-0.35, -0.35]",1,0.35,0.35,-0.3499999940395355,-0.3499999940395355,-0.3499999940395355,-0.3499999940395355,,,44124,45034,88897845,89807845,0.9099999999999999,44125,44374,88898845,89147845,last row of preceding reliable stationary run; rows=233; row_index=43892..44124,first reliable stationary run after active command; rows=286; row_index=44749..45034,reliable_stationary,
ofnis_000020,mmlog_decode_2026-06-09_23-36-21,TestResults/mmlog_decode_2026-06-09_23-36-21/open_floor_main.csv,compact_phase_battery,yaw_launch,launch,20,SEC_20_YAW_LAUNCH,20,yaw_launch,0,MC_NONE,,,0.5,,1,1,drive_command_bin,logged_drive_command_bin,0.5,0.8,1000,"[0.5, -0.5]",1,0.5,0.5,0.5,0.5,-0.5,-0.5,,,45034,46486,89807845,91259845,1.452,45035,46034,89808845,90807845,last row of preceding reliable stationary run; rows=286; row_index=44749..45034,first reliable stationary run after active command; rows=406; row_index=46081..46486,reliable_stationary,
ofnis_000021,mmlog_decode_2026-06-09_23-36-21,TestResults/mmlog_decode_2026-06-09_23-36-21/open_floor_main.csv,compact_phase_battery,yaw_launch,launch,20,SEC_20_YAW_LAUNCH,20,yaw_launch,0,MC_NONE,,,-0.5,,1,1,drive_command_bin,logged_drive_command_bin,-0.5,0.8,1000,"[-0.5, 0.5]",1,0.5,0.5,-0.5,-0.5,0.5,0.5,,,46486,47920,91259845,92693845,1.434,46487,47486,91260845,92259845,last row of preceding reliable stationary run; rows=406; row_index=46081..46486,first reliable stationary run after active command; rows=390; row_index=47531..47920,reliable_stationary,
ofnis_000022,mmlog_decode_2026-06-09_23-36-21,TestResults/mmlog_decode_2026-06-09_23-36-21/open_floor_main.csv,compact_phase_battery,yaw_launch,launch,20,SEC_20_YAW_LAUNCH,20,yaw_launch,0,MC_NONE,,,0.5,,2,1,drive_command_bin,logged_drive_command_bin,0.5,0.8,1000,"[0.5, -0.5]",1,0.5,0.5,0.5,0.5,-0.5,-0.5,,,47920,49364,92693845,94137845,1.444,47921,48920,92694845,93693845,last row of preceding reliable stationary run; rows=390; row_index=47531..47920,first reliable stationary run after active command; rows=400; row_index=48965..49364,reliable_stationary,
