mono_time_us,control_tick_sequence,dt_us,section_id,logger_flags,control_start_us,control_end_us,pwm_latch_us,encoder_latch_us,encoder_read_done_us,ukf_predict_start_us,ukf_predict_end_us,ukf_predict_duration_us,ukf_update_start_us,ukf_update_end_us,ukf_update_duration_us,imu_drdy_us,imu_read_start_us,imu_read_done_us,front_led_on_us,front_adc_on_us,front_led_off_us,front_adc_off_us,front_ready_us,left_led_on_us,left_adc_on_us,left_led_off_us,left_adc_off_us,left_ready_us,right_led_on_us,right_adc_on_us,right_led_off_us,right_adc_off_us,right_ready_us,cycle_counter_start,cycle_counter_end
31934951,27,1014,0,0,31934951,31935746,31935746,31934951,31934952,31935128,31935410,282,31935411,31935700,289,0,31935435,31935455,31935126,31935231,31934262,31934996,31935276,31935276,31935499,31934486,31935083,31935499,31935499,31935572,31934559,31935126,31935572,1980818750,1981295672
31935958,28,1007,0,0,31935958,31936753,31936753,31935958,31935959,31936135,31936418,283,31936418,31936707,289,0,31936442,31936462,31936134,31936238,31935276,31936003,31936282,31936283,31936506,31935499,31936090,31936506,31936506,31936579,31935572,31936134,31936579,1981423110,1981899976
31936965,29,1007,0,0,31936965,31937761,31937761,31936966,31936966,31937142,31937425,283,31937425,31937714,289,0,31937450,31937469,31937141,31937245,31936282,31937010,31937290,31937290,31937513,31936506,31937097,31937514,31937514,31937587,31936579,31937141,31937588,1982027494,1982504548
31937979,30,1014,0,0,31937979,31938774,31938774,31937979,31937979,31938155,31938439,284,31938439,31938728,289,0,31938463,31938483,31938154,31938259,31937290,31938024,31938303,31938303,31938527,31937514,31938111,31938527,31938527,31938600,31937588,31938154,31938600,1982635398,1983112432
31938986,31,1007,0,0,31938986,31939782,31939782,31938986,31938987,31939163,31939446,283,31939447,31939736,289,0,31939471,31939491,31939162,31939267,31938303,31939031,31939311,31939311,31939535,31938527,31939118,31939535,31939535,31939608,31938600,31939162,31939608,1983239954,1983717384
31939994,32,1008,0,0,31939994,31940790,31940790,31939994,31939995,31940171,31940455,284,31940455,31940744,289,0,31940479,31940499,31940170,31940275,31939311,31940039,31940319,31940319,31940543,31939535,31940126,31940543,31940543,31940616,31939608,31940170,31940616,1983844838,1984322164
31941002,33,1008,0,0,31941002,31941798,31941798,31941003,31941003,31941179,31941463,284,31941463,31941752,289,0,31941487,31941507,31941178,31941283,31940319,31941047,31941327,31941328,31941551,31940543,31941134,31941551,31941551,31941624,31940616,31941178,31941624,1984449684,1984926940
31942016,34,1014,0,0,31942016,31942812,31942812,31942016,31942017,31942193,31942477,284,31942477,31942766,289,0,31942502,31942521,31942192,31942297,31941327,31942061,31942341,31942341,31942565,31941551,31942148,31942566,31942566,31942639,31941624,31942192,31942640,1985057968,1985535360
31943024,35,1008,0,0,31943024,31943820,31943820,31943025,31943025,31943201,31943485,284,31943485,31943774,289,0,31943509,31943529,31943200,31943304,31942341,31943069,31943349,31943349,31943573,31942566,31943156,31943573,31943573,31943646,31942640,31943200,31943646,1985662882,1986140476
31944033,36,1009,0,0,31944033,31944828,31944828,31944033,31944034,31944210,31944492,282,31944492,31944781,289,0,31944517,31944537,31944208,31944313,31943349,31944078,31944357,31944357,31944581,31943573,31944165,31944581,31944581,31944655,31943646,31944208,31944655,1986267946,1986745112
31945041,37,1008,0,0,31945041,31945836,31945836,31945041,31945041,31945217,31945500,283,31945500,31945789,289,0,31945525,31945544,31945216,31945321,31944357,31945086,31945365,31945365,31945588,31944581,31945173,31945589,31945589,31945662,31944655,31945216,31945663,1986872626,1987350056
31946054,38,1013,0,0,31946054,31946851,31946851,31946054,31946055,31946231,31946514,283,31946514,31946803,289,0,31946539,31946558,31946230,31946335,31945365,31946099,31946379,31946379,31946602,31945589,31946186,31946603,31946603,31946677,31945663,31946230,31946677,1987480870,1987958576
31947063,39,1009,0,0,31947063,31947859,31947859,31947063,31947064,31947240,31947523,283,31947523,31947812,289,0,31947548,31947568,31947239,31947344,31946379,31947108,31947388,31947388,31947612,31946603,31947195,31947612,31947612,31947685,31946677,31947239,31947685,1988086098,1988563892
31948072,40,1009,0,0,31948072,31948867,31948867,31948072,31948073,31948249,31948532,283,31948532,31948821,289,0,31948557,31948576,31948247,31948353,31947388,31948117,31948397,31948397,31948620,31947612,31948204,31948621,31948621,31948695,31947685,31948247,31948695,1988691370,1989168568
31949085,41,1013,0,0,31949085,31949881,31949881,31949085,31949086,31949262,31949546,284,31949546,31949835,289,0,31949570,31949590,31949261,31949366,31948397,31949130,31949410,31949410,31949634,31948621,31949217,31949634,31949634,31949707,31948695,31949261,31949707,1989299430,1989776688
31950093,42,1008,0,0,31950093,31950888,31950888,31950093,31950094,31950270,31950553,283,31950553,31950842,289,0,31950577,31950597,31950269,31950373,31949410,31950138,31950417,31950418,31950641,31949634,31950225,31950641,31950641,31950714,31949707,31950269,31950714,1989904146,1990381204
31951101,43,1008,0,0,31951101,31951895,31951895,31951101,31951102,31951278,31951560,282,31951560,31951849,289,0,31951585,31951604,31951276,31951381,31950417,31951146,31951425,31951425,31951648,31950641,31951233,31951649,31951649,31951722,31950714,31951276,31951722,1990508726,1990985196
31952107,44,1006,0,0,31952107,31952901,31952901,31952107,31952108,31952284,31952567,283,31952567,31952856,289,0,31952591,31952611,31952283,31952387,31951425,31952152,31952432,31952432,31952655,31951649,31952239,31952655,31952656,31952729,31951722,31952283,31952729,1991112646,1991589100
31953120,45,1013,0,0,31953120,31953913,31953913,31953120,31953121,31953296,31953578,282,31953579,31953867,288,0,31953603,31953623,31953295,31953400,31952432,31953165,31953444,31953444,31953667,31952655,31953252,31953667,31953667,31953740,31952729,31953295,31953740,1991720086,1992195848
31954125,46,1005,0,0,31954125,31954919,31954919,31954125,31954126,31954302,31954585,283,31954585,31954874,289,0,31954610,31954630,31954301,31954406,31953444,31954170,31954450,31954450,31954673,31953667,31954257,31954674,31954674,31954748,31953740,31954301,31954748,1992323294,1992799808
31955132,47,1007,0,0,31955132,31955926,31955926,31955132,31955133,31955309,31955592,283,31955592,31955881,289,0,31955617,31955636,31955307,31955412,31954450,31955177,31955457,31955457,31955680,31954674,31955264,31955681,31955681,31955754,31954748,31955307,31955755,1992927330,1993403928
31956145,48,1013,0,0,31956145,31956939,31956939,31956145,31956145,31956321,31956605,284,31956605,31956894,289,0,31956630,31956649,31956320,31956425,31955457,31956190,31956470,31956470,31956693,31955681,31956277,31956694,31956694,31956767,31955755,31956320,31956767,1993534978,1994011808
