source_row_index,master_time_us,dt_s,vf_mps,vr_mps,yaw_rate_radps,heading_rad,predicted_forward_accel_mps2,predicted_right_accel_mps2,predicted_yaw_accel_radps2,max_abs_sigma_state,max_abs_sigma_prediction,covariance_trace,max_abs_state,yaw_rate_nis,forward_accel_nis,right_accel_nis
30589,45798671,0.001,0.0560347034201,0.0348394291981,-0.00847766422844,-3.61683782488e-05,-10.4683000982,-6.92270920664,1.05732984653,35.5232,78.1277972822,141.962887382,0.734380516155,0.0014295597875,0.147548471745,0.0508732143845
30590,45799671,0.001,0.0703735460827,0.00942976608319,-0.0280000744534,-0.000151869001105,-10.7247189172,-1.89826261667,-1.15049150904,34.0190700295,34.0190700295,133.1617219,1.94270602163,0.245310369165,0.0761235073028,0.309698382596
30591,45800671,0.001,0.0607360011764,-0.00184604595774,-0.0308442213381,-0.000186976002333,-10.6829575338,0.519708270065,-1.41280958223,28.6448155683,28.6448155683,118.837754175,3.63454807898,0.022004662967,0.170304383256,0.06203610886
30592,45801671,0.001,0.0418830734716,0.0293483918164,-0.016227974794,-0.000239998284526,-3.06491970648,-7.13313831765,2.5708883557,22.6260644064,23.7245228752,98.9574844785,2.6971052192,0.270374655403,0.00336370038374,0.210588969402
30593,45802671,0.001,0.0642219506873,-0.00739276637578,-0.0150891519974,-0.000500409371679,-8.18236702992,3.30002865753,-60.100523897,20.611141923,54.0593246638,83.8008331198,1.71183869688,3.63327574518,0.0414237362682,0.716242741833
30594,45803671,0.001,0.0389526234412,-0.00353775001473,-0.0202415412303,-0.00140142783692,0.418425876519,1.19654973428,-37.9016488458,23.5159382155,55.8547811094,77.4454104123,5.37387869478,3.64566795563,1.17845062569,0.775085367298
30595,45804671,0.001,0.0213669059313,0.00135363186461,-0.0123764486714,-0.00150970199128,1.93980130348,0.883103412179,-42.3149559736,26.6905025493,74.3933193368,70.7284777357,9.59446981491,2.28455112762,1.07571016734,1.21119133646
30596,45805671,0.001,0.02417567849,0.00150530520174,-0.000280022293542,-0.00151401438347,0.993247829168,0.498490693811,-28.5360186338,30.2082552312,33.3252210464,63.506097778,10.0619734487,0.324212262279,0.0310897865818,0.230580646389
30597,45806671,0.001,0.0197859896213,0.000714838188604,-0.00511820342727,-0.00147902633124,0.523132699045,-0.110402050363,-6.40930149263,29.7269133574,29.7269133574,58.7520223149,10.4739704211,0.0229634197645,0.734478468238,0.0546519449831
30598,45807671,0.001,0.0167154669708,-0.000398456468139,0.0146685338711,-0.00140386475383,0.862786549059,-0.907550099595,26.2794906829,29.2276801588,38.2018483123,55.7171120909,9.54339557265,0.270659775103,0.349777815954,1.48620122382
30599,45808671,0.001,0.0161799327448,-0.000878970981155,0.0226857136597,-0.00134679438806,0.921414609822,-0.673611028755,21.5366542846,27.6148010597,31.7693626779,52.702014418,8.16419747792,0.507699121973,0.0436461626372,1.19610797382
30600,45809671,0.001,0.0206090314523,-0.000828797466952,0.0245682882975,-0.00126932817289,2.98765594342,-1.43941741212,48.2238241948,25.7530345648,52.4402309183,49.7032214638,5.86756284405,0.61294284992,3.39918572944,2.55085876852
30601,45810671,0.001,0.0252850928701,-0.000937911468055,0.0248210227588,-0.00124239029104,1.25364852782,-0.436677302611,16.66957072,22.4139301551,25.2436004909,47.0609354287,4.93954740091,0.346364547974,0.621715340092,0.212300114301
30602,45811671,0.001,0.0308239549965,-0.000935464085523,0.0127725432095,-0.00123976420888,1.43184209745,-0.494069165448,18.8360765243,21.4288852057,24.6453330074,44.6666105793,3.24136295906,1.28020158828,0.828967196149,0.11652210022
30603,45812671,0.001,0.0299510101882,-0.000696800671303,-0.0169628424776,-0.00127068117415,0.579621822468,-0.147640702579,6.91201584708,19.3136354118,19.3136354118,42.0261478781,1.69091683413,1.4466239333,0.0370823505526,0.00171090417808
30604,45813671,0.001,0.029445074795,-0.000598196930155,-0.030195751263,-0.00131009063303,0.834319871228,-0.254814235616,10.1092924033,17.8974461534,17.8974461534,39.7188677523,0.629329286737,0.696691075913,0.0532267264211,0.0481871319544
