segment_id,split,corrupted,stage,parameter_json,observed_command_json,launch_command_signature
ofnis_000002,held_out,false,SEC_20_LAUNCH,"{""cmd_linear_mps_median"": 0.0, ""cmd_yaw_radps_median"": 0.0, ""parameter"": ""observed_drive_command_magnitude"", ""speed_bin"": 0.0, ""speed_bin_label"": ""NONE"", ""test_value"": 0.17, ""test_value_kind"": ""observed_drive_command_magnitude""}","{""active_command_rows"": 247, ""cmd_linear_mps_median"": 0.0, ""cmd_yaw_radps_median"": 0.0, ""left_drive_command_max"": 0.17000000178813934, ""left_drive_command_mean"": 0.17000000178813934, ""left_drive_command_median"": 0.17000000178813934, ""left_drive_command_min"": 0.17000000178813934, ""observed_command_magnitude_max"": 0.17, ""observed_command_magnitude_median"": 0.17, ""observed_command_pair_distinct_count"": 1, ""observed_command_pair_mode"": [0.17, 0.17], ""observed_command_pairs"": [{""left"": 0.17, ""right"": 0.17, ""rows"": 247}], ""observed_command_pairs_truncated"": false, ""right_drive_command_max"": 0.17000000178813934, ""right_drive_command_mean"": 0.17000000178813934, ""right_drive_command_median"": 0.17000000178813934, ""right_drive_command_min"": 0.17000000178813934}","pair=0.17,0.17;mag=0.17;linear=0;yaw=0"
ofnis_001048,train,false,SEC_30_STRAIGHT,"{""cmd_linear_mps_median"": 0.10000000149011612, ""cmd_yaw_radps_median"": -0.027696313336491585, ""parameter"": ""straight_speed_mps"", ""speed_bin"": 1.0, ""speed_bin_label"": ""LOW"", ""test_value"": 0.1, ""test_value_kind"": ""legacy_straight_speed_bin_mps""}","{""active_command_rows"": 3496, ""cmd_linear_mps_median"": 0.10000000149011612, ""cmd_yaw_radps_median"": -0.027696313336491585, ""left_drive_command_max"": 0.6693944334983826, ""left_drive_command_mean"": 0.13326025774601416, ""left_drive_command_median"": 0.1367713361978531, ""left_drive_command_min"": -0.6508966684341431, ""observed_command_magnitude_max"": 0.669394, ""observed_command_magnitude_median"": 0.188751, ""observed_command_pair_distinct_count"": 3496, ""observed_command_pair_mode"": [0.351734, 0.351734], ""observed_command_pairs"": [{""left"": 0.351734, ""right"": 0.351734, ""rows"": 1}, {""left"": 0.403485, ""right"": 0.403486, ""rows"": 1}, {""left"": 0.227243, ""right"": 0.238929, ""rows"": 1}, {""left"": 0.132309, ""right"": 0.115235, ""rows"": 1}, {""left"": 0.204071, ""right"": 0.093166, ""rows"": 1}, {""left"": 0.245533, ""right"": 0.120294, ""rows"": 1}, {""left"": 0.336042, ""right"": 0.311606, ""rows"": 1}, {""left"": -0.181687, ""right"": 0.409599, ""rows"": 1}, {""left"": 0.286961, ""right"": 0.441137, ""rows"": 1}, {""left"": 0.313158, ""right"": 0.432425, ""rows"": 1}, {""left"": 0.3247, ""right"": 0.295395, ""rows"": 1}, {""left"": 0.321583, ""right"": 0.26457, ""rows"": 1}, {""left"": 0.330174, ""right"": 0.337754, ""rows"": 1}, {""left"": 0.327816, ""right"": 0.357669, ""rows"": 1}, {""left"": 0.532207, ""right"": 0.365291, ""rows"": 1}, {""left"": 0.401003, ""right"": 0.339811, ""rows"": 1}], ""observed_command_pairs_truncated"": true, ""right_drive_command_max"": 0.6433979272842407, ""right_drive_command_mean"": 0.1608396408763686, ""right_drive_command_median"": 0.16304165124893188, ""right_drive_command_min"": -0.5513257384300232}","pair=0.351734,0.351734;mag=0.188751;linear=0.10000000149;yaw=-0.0276963133365"
ofnis_001091,train,false,SEC_50_SMOOTH,"{""cmd_linear_mps_median"": null, ""cmd_yaw_radps_median"": null, ""parameter"": ""smooth_speed_mps"", ""speed_bin"": 0.0, ""speed_bin_label"": ""NONE"", ""test_value"": null, ""test_value_kind"": ""legacy_smooth_speed_bin_mps""}","{""active_command_rows"": 0, ""cmd_linear_mps_median"": null, ""cmd_yaw_radps_median"": null, ""left_drive_command_max"": null, ""left_drive_command_mean"": null, ""left_drive_command_median"": null, ""left_drive_command_min"": null, ""observed_command_magnitude_max"": null, ""observed_command_magnitude_median"": null, ""observed_command_pair_distinct_count"": 0, ""observed_command_pair_mode"": null, ""observed_command_pairs"": [], ""observed_command_pairs_truncated"": false, ""right_drive_command_max"": null, ""right_drive_command_mean"": null, ""right_drive_command_median"": null, ""right_drive_command_min"": null}",
ofnis_001265,validation,false,yaw_launch,"{""cmd_linear_mps_median"": 0.0, ""cmd_yaw_radps_median"": 0.0, ""parameter"": ""drive_command_bin"", ""speed_bin"": 0.30000001192092896, ""speed_bin_label"": null, ""test_value"": 0.3, ""test_value_kind"": ""logged_drive_command_bin""}","{""active_command_rows"": 250, ""cmd_linear_mps_median"": 0.0, ""cmd_yaw_radps_median"": 0.0, ""left_drive_command_max"": 0.30000001192092896, ""left_drive_command_mean"": 0.30000001192092896, ""left_drive_command_median"": 0.30000001192092896, ""left_drive_command_min"": 0.30000001192092896, ""observed_command_magnitude_max"": 0.3, ""observed_command_magnitude_median"": 0.3, ""observed_command_pair_distinct_count"": 1, ""observed_command_pair_mode"": [0.3, -0.3], ""observed_command_pairs"": [{""left"": 0.3, ""right"": -0.3, ""rows"": 250}], ""observed_command_pairs_truncated"": false, ""right_drive_command_max"": -0.30000001192092896, ""right_drive_command_mean"": -0.30000001192092896, ""right_drive_command_median"": -0.30000001192092896, ""right_drive_command_min"": -0.30000001192092896}","pair=0.3,-0.3;mag=0.3;linear=0;yaw=0"
