candidate_id,trial_id,split,stage,log_field,count,rms_nis,expected_rms_nis,guarded_rms_nis,under_expected_penalty,inflation_flag,parameter_field,parameter_value_kind,parameter_value,launch_command_signature,launch_cmd_linear_mps_median_mean
baseline/current_holdover,baseline/current_holdover:nominal,all,SEC_20_LAUNCH,forward_accel_nis,448,0.521347743731,1.73205080757,1.73205080757,1.21070306384,true,observed_drive_command_magnitude,observed_drive_command_magnitude,0.17,"pair=0.17,0.17;mag=0.17;linear=0;yaw=0",0
baseline/current_holdover,baseline/current_holdover:nominal,all,SEC_20_LAUNCH,right_accel_nis,448,0.0866774623478,1.73205080757,1.73205080757,1.64537334522,true,observed_drive_command_magnitude,observed_drive_command_magnitude,0.17,"pair=0.17,0.17;mag=0.17;linear=0;yaw=0",0
baseline/current_holdover,baseline/current_holdover:nominal,all,SEC_20_LAUNCH,yaw_rate_nis,448,0.779109400908,1.73205080757,1.73205080757,0.952941406661,true,observed_drive_command_magnitude,observed_drive_command_magnitude,0.17,"pair=0.17,0.17;mag=0.17;linear=0;yaw=0",0
baseline/current_holdover,baseline/current_holdover:nominal,all,SEC_30_STRAIGHT,forward_accel_nis,33126,31.8351197807,1.73205080757,31.8351197807,0,false,straight_speed_mps,legacy_straight_speed_bin_mps,0.1,"pair=0.351734,0.351734;mag=0.188751;linear=0.10000000149;yaw=-0.0276963133365",0.10000000149
baseline/current_holdover,baseline/current_holdover:nominal,all,SEC_30_STRAIGHT,right_accel_nis,33126,7.80289908776,1.73205080757,7.80289908776,0,false,straight_speed_mps,legacy_straight_speed_bin_mps,0.1,"pair=0.351734,0.351734;mag=0.188751;linear=0.10000000149;yaw=-0.0276963133365",0.10000000149
baseline/current_holdover,baseline/current_holdover:nominal,all,SEC_30_STRAIGHT,yaw_rate_nis,33126,509.697711035,1.73205080757,509.697711035,0,false,straight_speed_mps,legacy_straight_speed_bin_mps,0.1,"pair=0.351734,0.351734;mag=0.188751;linear=0.10000000149;yaw=-0.0276963133365",0.10000000149
baseline/current_holdover,baseline/current_holdover:nominal,all,SEC_50_SMOOTH,forward_accel_nis,254,2.28068096229e-05,1.73205080757,1.73205080757,1.73202800076,true,smooth_speed_mps,legacy_smooth_speed_bin_mps,None,,
baseline/current_holdover,baseline/current_holdover:nominal,all,SEC_50_SMOOTH,right_accel_nis,254,1.50059073403e-05,1.73205080757,1.73205080757,1.73203580166,true,smooth_speed_mps,legacy_smooth_speed_bin_mps,None,,
baseline/current_holdover,baseline/current_holdover:nominal,all,SEC_50_SMOOTH,yaw_rate_nis,254,0.0144610388861,1.73205080757,1.73205080757,1.71758976868,true,smooth_speed_mps,legacy_smooth_speed_bin_mps,None,,
baseline/current_holdover,baseline/current_holdover:nominal,all,yaw_launch,forward_accel_nis,582,0.934413853554,1.73205080757,1.73205080757,0.797636954015,true,drive_command_bin,logged_drive_command_bin,0.3,"pair=0.3,-0.3;mag=0.3;linear=0;yaw=0",0
baseline/current_holdover,baseline/current_holdover:nominal,all,yaw_launch,right_accel_nis,582,0.767210617892,1.73205080757,1.73205080757,0.964840189677,true,drive_command_bin,logged_drive_command_bin,0.3,"pair=0.3,-0.3;mag=0.3;linear=0;yaw=0",0
baseline/current_holdover,baseline/current_holdover:nominal,all,yaw_launch,yaw_rate_nis,582,173.910313386,1.73205080757,173.910313386,0,false,drive_command_bin,logged_drive_command_bin,0.3,"pair=0.3,-0.3;mag=0.3;linear=0;yaw=0",0
baseline/current_holdover,baseline/current_holdover:nominal,held_out,SEC_20_LAUNCH,forward_accel_nis,448,0.521347743731,1.73205080757,1.73205080757,1.21070306384,true,observed_drive_command_magnitude,observed_drive_command_magnitude,0.17,"pair=0.17,0.17;mag=0.17;linear=0;yaw=0",0
baseline/current_holdover,baseline/current_holdover:nominal,held_out,SEC_20_LAUNCH,right_accel_nis,448,0.0866774623478,1.73205080757,1.73205080757,1.64537334522,true,observed_drive_command_magnitude,observed_drive_command_magnitude,0.17,"pair=0.17,0.17;mag=0.17;linear=0;yaw=0",0
baseline/current_holdover,baseline/current_holdover:nominal,held_out,SEC_20_LAUNCH,yaw_rate_nis,448,0.779109400908,1.73205080757,1.73205080757,0.952941406661,true,observed_drive_command_magnitude,observed_drive_command_magnitude,0.17,"pair=0.17,0.17;mag=0.17;linear=0;yaw=0",0
baseline/current_holdover,baseline/current_holdover:nominal,train,SEC_30_STRAIGHT,forward_accel_nis,33126,31.8351197807,1.73205080757,31.8351197807,0,false,straight_speed_mps,legacy_straight_speed_bin_mps,0.1,"pair=0.351734,0.351734;mag=0.188751;linear=0.10000000149;yaw=-0.0276963133365",0.10000000149
baseline/current_holdover,baseline/current_holdover:nominal,train,SEC_30_STRAIGHT,right_accel_nis,33126,7.80289908776,1.73205080757,7.80289908776,0,false,straight_speed_mps,legacy_straight_speed_bin_mps,0.1,"pair=0.351734,0.351734;mag=0.188751;linear=0.10000000149;yaw=-0.0276963133365",0.10000000149
baseline/current_holdover,baseline/current_holdover:nominal,train,SEC_30_STRAIGHT,yaw_rate_nis,33126,509.697711035,1.73205080757,509.697711035,0,false,straight_speed_mps,legacy_straight_speed_bin_mps,0.1,"pair=0.351734,0.351734;mag=0.188751;linear=0.10000000149;yaw=-0.0276963133365",0.10000000149
baseline/current_holdover,baseline/current_holdover:nominal,train,SEC_50_SMOOTH,forward_accel_nis,254,2.28068096229e-05,1.73205080757,1.73205080757,1.73202800076,true,smooth_speed_mps,legacy_smooth_speed_bin_mps,None,,
baseline/current_holdover,baseline/current_holdover:nominal,train,SEC_50_SMOOTH,right_accel_nis,254,1.50059073403e-05,1.73205080757,1.73205080757,1.73203580166,true,smooth_speed_mps,legacy_smooth_speed_bin_mps,None,,
baseline/current_holdover,baseline/current_holdover:nominal,train,SEC_50_SMOOTH,yaw_rate_nis,254,0.0144610388861,1.73205080757,1.73205080757,1.71758976868,true,smooth_speed_mps,legacy_smooth_speed_bin_mps,None,,
baseline/current_holdover,baseline/current_holdover:nominal,validation,yaw_launch,forward_accel_nis,582,0.934413853554,1.73205080757,1.73205080757,0.797636954015,true,drive_command_bin,logged_drive_command_bin,0.3,"pair=0.3,-0.3;mag=0.3;linear=0;yaw=0",0
baseline/current_holdover,baseline/current_holdover:nominal,validation,yaw_launch,right_accel_nis,582,0.767210617892,1.73205080757,1.73205080757,0.964840189677,true,drive_command_bin,logged_drive_command_bin,0.3,"pair=0.3,-0.3;mag=0.3;linear=0;yaw=0",0
baseline/current_holdover,baseline/current_holdover:nominal,validation,yaw_launch,yaw_rate_nis,582,173.910313386,1.73205080757,173.910313386,0,false,drive_command_bin,logged_drive_command_bin,0.3,"pair=0.3,-0.3;mag=0.3;linear=0;yaw=0",0
candidate_1_algebraic_envelope,candidate_1_algebraic_envelope:nominal,all,SEC_20_LAUNCH,forward_accel_nis,448,0.522525804935,1.73205080757,1.73205080757,1.20952500263,true,observed_drive_command_magnitude,observed_drive_command_magnitude,0.17,"pair=0.17,0.17;mag=0.17;linear=0;yaw=0",0
