vbar_rel_bin_mps,vbar_lat_bin_mps,vbar_yaw_bin_mps,yaw_rate_bin_radps,count,run_count,families,mean_residual_additive_yaw_torque_nm,median_residual_additive_yaw_torque_nm,trimmed_mean_residual_additive_yaw_torque_nm,rmse_residual_additive_yaw_torque_nm,mad_residual_additive_yaw_torque_nm,iqr_residual_additive_yaw_torque_nm,mean_opposing_yaw_resistance_nm,median_opposing_yaw_resistance_nm,trimmed_mean_opposing_yaw_resistance_nm,mean_vbar_rel_mps,mean_vbar_lat_mps,mean_vbar_yaw_mps,mean_max_force_preprojection_utilization,limiter_active_fraction,hardware_saturation_fraction
0.05,0.05,0.20,-4.50,773,14,open_floor,-0.007923148,-0.004687940,-0.006398289,0.026171391,0.014212808,0.028989816,-0.007923148,-0.004687940,-0.006398289,0.068850612,0.065917726,0.200275623,1.935718638,1.000000000,0.029754204
0.05,0.05,0.20,-5.00,207,11,open_floor,-0.005439062,-0.004214324,-0.004540855,0.021326348,0.012891838,0.025370884,-0.005439062,-0.004214324,-0.004540855,0.072832588,0.071735703,0.217952189,2.092759257,1.000000000,0.024154589
0.05,0.05,0.20,4.00,946,20,competition_aux;open_floor,0.004618583,-0.002267474,0.001634026,0.034240897,0.017023301,0.035493213,-0.004618583,0.002267474,-0.001634026,0.063868585,0.059772175,0.181603800,1.827940931,1.000000000,0.050739958
0.05,0.05,0.20,4.50,1131,19,open_floor,0.005621444,0.002689286,0.004133386,0.024318681,0.014574922,0.028834646,-0.005621444,-0.002689286,-0.004133386,0.068969938,0.066421486,0.201806180,1.983784790,1.000000000,0.025641026
0.05,0.05,0.20,5.00,523,18,open_floor,0.003801736,0.003215216,0.002817178,0.021094941,0.011338578,0.022805538,-0.003801736,-0.003215216,-0.002817178,0.072821237,0.071970736,0.218666280,2.128513686,1.000000000,0.013384321
0.10,0.00,0.00,-0.50,5539,44,competition_aux;competition_diag;open_floor;uncertainty_open_floor,-0.022908365,-0.025133692,-0.023563590,0.067263100,0.041816677,0.083385273,-0.022908365,-0.025133692,-0.023563590,0.097386550,0.005886670,0.017885272,1.046845119,0.529337426,0.199855570
0.10,0.00,0.00,0.00,15281,47,competition_aux;competition_diag;open_floor,0.000121125,0.001619306,0.000395640,0.053755827,0.032008360,0.064115998,-0.004295880,-0.002210773,-0.004188810,0.097046261,0.001451239,0.004409251,0.898560562,0.417446502,0.163209214
0.10,0.00,0.00,0.50,5854,41,competition_aux;competition_diag;open_floor,0.020909708,0.022103023,0.020829227,0.063630111,0.041433400,0.082644367,-0.020909708,-0.022103023,-0.020829227,0.097428196,0.005884976,0.017880125,1.034349546,0.499316707,0.189955586
0.10,0.00,0.05,-0.50,2963,40,competition_aux;competition_diag;open_floor,-0.027108956,-0.029690972,-0.027354117,0.072772006,0.046227240,0.092381707,-0.027108956,-0.029690972,-0.027354117,0.097873360,0.009614756,0.029212190,1.080897757,0.544043199,0.185285184
0.10,0.00,0.05,-1.00,10623,40,competition_aux;competition_diag;open_floor;uncertainty_open_floor,-0.062741387,-0.088844112,-0.070301415,0.091484558,0.031868331,0.094919156,-0.062741387,-0.088844112,-0.070301415,0.093937314,0.014872054,0.045185266,1.096948684,0.626376730,0.082462581
