family,section_id,phase_id,primitive_id,speed_bin,count,run_count,families,mean_residual_additive_yaw_torque_nm,median_residual_additive_yaw_torque_nm,trimmed_mean_residual_additive_yaw_torque_nm,rmse_residual_additive_yaw_torque_nm,mad_residual_additive_yaw_torque_nm,iqr_residual_additive_yaw_torque_nm,mean_opposing_yaw_resistance_nm,median_opposing_yaw_resistance_nm,trimmed_mean_opposing_yaw_resistance_nm,mean_vbar_rel_mps,mean_vbar_lat_mps,mean_vbar_yaw_mps,mean_max_force_preprojection_utilization,limiter_active_fraction,hardware_saturation_fraction
competition_aux,,1,,,30386,13,competition_aux,-0.010768963,-0.005888314,-0.011907000,0.050262240,0.023257020,0.044702859,-0.026699704,-0.020148241,-0.023531754,0.106198650,0.013800149,0.041928530,0.796295578,0.117488317,0.000000000
competition_aux,,10,,,3201,12,competition_aux,-0.000174856,-0.000386424,-0.000319392,0.005814521,0.002868557,0.005782427,-0.000957845,-0.000665608,-0.000703729,0.005598665,0.000869061,0.002640439,0.254950435,0.000000000,0.000000000
competition_aux,,11,,,10121,12,competition_aux,0.057410798,0.062072397,0.063647237,0.081333575,0.042786108,0.082434081,-0.069125225,-0.070331452,-0.070303987,0.198930827,0.034237448,0.104022495,1.571628914,0.449757929,0.000000000
competition_aux,,12,,,18418,12,competition_aux,0.005401584,0.002882655,0.003492045,0.025647335,0.012371558,0.024679368,-0.013868864,-0.010574875,-0.011695549,0.013811593,0.002328912,0.007075854,0.298612525,0.007004018,0.000000000
competition_aux,,13,,,9128,12,competition_aux,-0.000631369,-0.000067883,0.000380757,0.023360630,0.006154263,0.012680241,-0.004572228,-0.000470240,-0.001926590,0.010475962,0.001722111,0.005232231,0.209869502,0.014351446,0.000000000
competition_aux,,14,,,3068,11,competition_aux,-0.000599525,-0.000434342,-0.000495942,0.006156309,0.002722496,0.005434832,-0.001193481,-0.000687271,-0.000898396,0.006111141,0.000956198,0.002905184,0.262388415,0.000000000,0.000000000
competition_aux,,15,,,13677,11,competition_aux,-0.032531244,-0.020626394,-0.028121856,0.054831823,0.020883676,0.051705735,-0.032395128,-0.021032723,-0.027907582,0.072411932,0.012305671,0.037387910,0.771515062,0.202310448,0.000000000
competition_aux,,16,,,2838,11,competition_aux,-0.000389454,-0.000370613,-0.000472259,0.004791381,0.002290727,0.004557998,-0.000463805,-0.000431315,-0.000484316,0.004957343,0.000682672,0.002074139,0.255300245,0.000352361,0.000000000
competition_aux,,17,,,7442,11,competition_aux,-0.059212794,-0.046239374,-0.057510318,0.072145579,0.024704035,0.068837188,-0.058260209,-0.046031137,-0.057124682,0.118616258,0.020237896,0.061488122,1.093261417,0.302338081,0.000000000
competition_aux,,18,,,168,6,competition_aux,-0.008180972,-0.012397753,-0.008896455,0.013886781,0.006434239,0.017026127,0.009781022,0.012989221,0.010346314,0.025246827,0.004728457,0.014366313,0.215298698,0.000000000,0.000000000
competition_aux,,2,,,3599,12,competition_aux,-0.000608628,-0.000436723,-0.000580667,0.007972385,0.002890731,0.005805256,-0.001544638,-0.000609320,-0.000991222,0.005834567,0.000902243,0.002741255,0.259138033,0.000000000,0.000000000
competition_aux,,20,,,13750,11,competition_aux,0.000655975,0.001042126,0.000878637,0.019191048,0.007749161,0.015520121,-0.005413614,-0.003428360,-0.003882066,0.012174813,0.001970816,0.005987865,0.206533619,0.009090909,0.000000000
competition_aux,,21,,,5397,11,competition_aux,-0.077852162,-0.083003356,-0.080636329,0.094320118,0.024046516,0.049755361,-0.052217954,-0.077890066,-0.056854649,0.151904046,0.026409754,0.080239873,1.530979546,0.554382064,0.000000000
competition_aux,,22,,,18428,11,competition_aux,-0.001619636,0.003036159,0.001360937,0.037499847,0.018216100,0.036891458,-0.019029365,-0.014738698,-0.016588348,0.027125617,0.004875254,0.014812322,0.580643775,0.195897547,0.000000000
competition_aux,,23,,,9373,10,competition_aux,0.003471412,0.001616026,0.002851588,0.029478949,0.008508977,0.017699304,-0.011109174,-0.003765798,-0.007952826,0.011938743,0.001957420,0.005947162,0.288287060,0.024965326,0.000000000
competition_aux,,24,,,2725,10,competition_aux,0.000076369,-0.000107909,-0.000090122,0.006784887,0.004096923,0.008180765,-0.000507443,-0.000095944,-0.000221606,0.005334124,0.000752736,0.002287012,0.259426519,0.000000000,0.000000000
competition_aux,,25,,,9108,10,competition_aux,0.066662704,0.060061469,0.069100606,0.080807723,0.031813804,0.066479060,-0.068583635,-0.063084402,-0.070595854,0.181229578,0.031327154,0.095180244,1.509502783,0.418203777,0.000000000
competition_aux,,26,,,36843,10,competition_aux,0.002994946,0.003443231,0.003917167,0.053632289,0.025987289,0.051798468,-0.012657889,-0.008552457,-0.012809196,0.092227584,0.007681061,0.023337111,0.945360297,0.406590126,0.000000000
competition_aux,,27,,,7573,8,competition_aux,0.009243248,0.004610073,0.009336406,0.032472062,0.008914550,0.023578331,-0.009221461,-0.004482442,-0.009581502,0.029325148,0.003068220,0.009322070,0.356404599,0.058497293,0.000000000
competition_aux,,28,,,1770,7,competition_aux,-0.000175365,-0.000277139,-0.000342914,0.005341782,0.002534809,0.005068069,-0.000875891,-0.000602306,-0.000648942,0.005536554,0.000793768,0.002411680,0.280386807,0.000000000,0.000000000
