"segment_id","log_id","log_path","schema_kind","stage","family","phase_id","phase_name","primitive_name","direction_name","repeat_index","fan_duty_cycle","segment_start_row_index","segment_end_row_index","active_start_row_index","active_end_row_index","segment_start_time_us","segment_end_time_us","active_start_time_us","active_end_time_us","end_reason","corruption_note","command_pair_mode","active_command_rows","test_value_kind","test_value"
"ofnis_001633","mmlog_decode_2026-06-08_23-37-25","TestResults/mmlog_decode_2026-06-08_23-37-25/open_floor_main.csv","compact_phase_battery","launch","launch","2","launch","MC_NONE","","2","0.8","41589","42424","41590","41839","65664412","66499412","65665412","65914412","reliable_stationary","","-0.35,-0.35","250","logged_drive_command_bin","-0.35"
"ofnis_001634","mmlog_decode_2026-06-08_23-37-25","TestResults/mmlog_decode_2026-06-08_23-37-25/open_floor_main.csv","compact_phase_battery","launch","launch","2","launch","MC_NONE","","3","0.8","42424","43276","42425","42674","66499412","67351412","66500412","66749412","reliable_stationary","","0.35,0.35","250","logged_drive_command_bin","0.35"
"ofnis_001635","mmlog_decode_2026-06-08_23-37-25","TestResults/mmlog_decode_2026-06-08_23-37-25/open_floor_main.csv","compact_phase_battery","launch","launch","2","launch","MC_NONE","","3","0.8","43276","44112","43277","43526","67351412","68187412","67352412","67601412","reliable_stationary","","-0.35,-0.35","250","logged_drive_command_bin","-0.35"
"ofnis_001636","mmlog_decode_2026-06-08_23-37-25","TestResults/mmlog_decode_2026-06-08_23-37-25/open_floor_main.csv","compact_phase_battery","yaw_launch","launch","20","yaw_launch","MC_NONE","","1","0.8","44112","45533","44113","45112","68187412","69608412","68188412","69187412","reliable_stationary","","0.5,-0.5","1000","logged_drive_command_bin","0.5"
"ofnis_001637","mmlog_decode_2026-06-08_23-37-25","TestResults/mmlog_decode_2026-06-08_23-37-25/open_floor_main.csv","compact_phase_battery","yaw_launch","launch","20","yaw_launch","MC_NONE","","1","0.8","45533","46952","45534","46533","69608412","71027412","69609412","70608412","reliable_stationary","","-0.5,0.5","1000","logged_drive_command_bin","-0.5"
"ofnis_001638","mmlog_decode_2026-06-08_23-37-25","TestResults/mmlog_decode_2026-06-08_23-37-25/open_floor_main.csv","compact_phase_battery","yaw_launch","launch","20","yaw_launch","MC_NONE","","2","0.8","46952","48376","46953","47952","71027412","72451412","71028412","72027412","reliable_stationary","","0.5,-0.5","1000","logged_drive_command_bin","0.5"
"ofnis_001639","mmlog_decode_2026-06-08_23-37-25","TestResults/mmlog_decode_2026-06-08_23-37-25/open_floor_main.csv","compact_phase_battery","yaw_launch","launch","20","yaw_launch","MC_NONE","","2","0.8","48376","49799","48377","49376","72451412","73874412","72452412","73451412","reliable_stationary","","-0.5,0.5","1000","logged_drive_command_bin","-0.5"
"ofnis_001640","mmlog_decode_2026-06-08_23-37-25","TestResults/mmlog_decode_2026-06-08_23-37-25/open_floor_main.csv","compact_phase_battery","yaw_launch","launch","20","yaw_launch","MC_NONE","","3","0.8","49799","51216","49800","50799","73874412","75291412","73875412","74874412","reliable_stationary","","0.5,-0.5","1000","logged_drive_command_bin","0.5"
"ofnis_001641","mmlog_decode_2026-06-08_23-37-25","TestResults/mmlog_decode_2026-06-08_23-37-25/open_floor_main.csv","compact_phase_battery","yaw_launch","launch","20","yaw_launch","MC_NONE","","3","0.8","51216","52634","51217","52216","75291412","76709412","75292412","76291412","reliable_stationary","","-0.5,0.5","1000","logged_drive_command_bin","-0.5"
"ofnis_001642","mmlog_decode_2026-06-08_23-37-25","TestResults/mmlog_decode_2026-06-08_23-37-25/open_floor_main.csv","compact_phase_battery","yaw_launch","launch","20","yaw_launch","MC_NONE","","1","0.8","52634","54056","52635","53634","76709412","78131412","76710412","77709412","reliable_stationary","","0.55,-0.55","1000","logged_drive_command_bin","0.55"
"ofnis_001643","mmlog_decode_2026-06-08_23-37-25","TestResults/mmlog_decode_2026-06-08_23-37-25/open_floor_main.csv","compact_phase_battery","yaw_launch","launch","20","yaw_launch","MC_NONE","","1","0.8","54056","55474","54057","55056","78131412","79549412","78132412","79131412","reliable_stationary","","-0.55,0.55","1000","logged_drive_command_bin","-0.55"
"ofnis_001644","mmlog_decode_2026-06-08_23-37-25","TestResults/mmlog_decode_2026-06-08_23-37-25/open_floor_main.csv","compact_phase_battery","yaw_launch","launch","20","yaw_launch","MC_NONE","","2","0.8","55474","56895","55475","56474","79549412","80970412","79550412","80549412","reliable_stationary","","0.55,-0.55","1000","logged_drive_command_bin","0.55"
"ofnis_001645","mmlog_decode_2026-06-08_23-37-25","TestResults/mmlog_decode_2026-06-08_23-37-25/open_floor_main.csv","compact_phase_battery","yaw_launch","launch","20","yaw_launch","MC_NONE","","2","0.8","56895","58309","56896","57895","80970412","82384412","80971412","81970412","reliable_stationary","","-0.55,0.55","1000","logged_drive_command_bin","-0.55"
"ofnis_001646","mmlog_decode_2026-06-08_23-37-25","TestResults/mmlog_decode_2026-06-08_23-37-25/open_floor_main.csv","compact_phase_battery","yaw_launch","launch","20","yaw_launch","MC_NONE","","3","0.8","58309","59732","58310","59309","82384412","83807412","82385412","83384412","reliable_stationary","","0.55,-0.55","1000","logged_drive_command_bin","0.55"
"ofnis_001647","mmlog_decode_2026-06-08_23-37-25","TestResults/mmlog_decode_2026-06-08_23-37-25/open_floor_main.csv","compact_phase_battery","yaw_launch","launch","20","yaw_launch","MC_NONE","","3","0.8","59732","61142","59733","60732","83807412","85217412","83808412","84807412","reliable_stationary","","-0.55,0.55","1000","logged_drive_command_bin","-0.55"
"ofnis_001648","mmlog_decode_2026-06-08_23-37-25","TestResults/mmlog_decode_2026-06-08_23-37-25/open_floor_main.csv","compact_phase_battery","yaw_launch","launch","20","yaw_launch","MC_NONE","","1","0.8","61142","62582","61143","62142","85217412","86657412","85218412","86217412","reliable_stationary","","0.6,-0.6","1000","logged_drive_command_bin","0.6"
"ofnis_001649","mmlog_decode_2026-06-08_23-37-25","TestResults/mmlog_decode_2026-06-08_23-37-25/open_floor_main.csv","compact_phase_battery","yaw_launch","launch","20","yaw_launch","MC_NONE","","1","0.8","62582","64002","62583","63582","86657412","88077412","86658412","87657412","reliable_stationary","","-0.6,0.6","1000","logged_drive_command_bin","-0.6"
"ofnis_001650","mmlog_decode_2026-06-08_23-37-25","TestResults/mmlog_decode_2026-06-08_23-37-25/open_floor_main.csv","compact_phase_battery","yaw_launch","launch","20","yaw_launch","MC_NONE","","2","0.8","64002","65454","64003","65002","88077412","89529412","88078412","89077412","reliable_stationary","","0.6,-0.6","1000","logged_drive_command_bin","0.6"
"ofnis_001651","mmlog_decode_2026-06-08_23-37-25","TestResults/mmlog_decode_2026-06-08_23-37-25/open_floor_main.csv","compact_phase_battery","yaw_launch","launch","20","yaw_launch","MC_NONE","","2","0.8","65454","66886","65455","66454","89529412","90961412","89530412","90529412","reliable_stationary","","-0.6,0.6","1000","logged_drive_command_bin","-0.6"
"ofnis_001652","mmlog_decode_2026-06-08_23-37-25","TestResults/mmlog_decode_2026-06-08_23-37-25/open_floor_main.csv","compact_phase_battery","yaw_launch","launch","20","yaw_launch","MC_NONE","","3","0.8","66886","68315","66887","67886","90961412","92390412","90962412","91961412","reliable_stationary","","0.6,-0.6","1000","logged_drive_command_bin","0.6"
"ofnis_001653","mmlog_decode_2026-06-08_23-37-25","TestResults/mmlog_decode_2026-06-08_23-37-25/open_floor_main.csv","compact_phase_battery","yaw_launch","launch","20","yaw_launch","MC_NONE","","3","0.8","68315","69731","68316","69315","92390412","93806412","92391412","93390412","reliable_stationary","","-0.6,0.6","1000","logged_drive_command_bin","-0.6"
"ofnis_001654","mmlog_decode_2026-06-08_23-37-25","TestResults/mmlog_decode_2026-06-08_23-37-25/open_floor_main.csv","compact_phase_battery","yaw_launch","launch","20","yaw_launch","MC_NONE","","1","0.8","69731","71151","69732","70731","93806412","95226412","93807412","94806412","reliable_stationary","","0.65,-0.65","1000","logged_drive_command_bin","0.65"
"ofnis_001655","mmlog_decode_2026-06-08_23-37-25","TestResults/mmlog_decode_2026-06-08_23-37-25/open_floor_main.csv","compact_phase_battery","yaw_launch","launch","20","yaw_launch","MC_NONE","","1","0.8","71151","72581","71152","72151","95226412","96656412","95227412","96226412","reliable_stationary","","-0.65,0.65","1000","logged_drive_command_bin","-0.65"
"ofnis_001656","mmlog_decode_2026-06-08_23-37-25","TestResults/mmlog_decode_2026-06-08_23-37-25/open_floor_main.csv","compact_phase_battery","yaw_launch","launch","20","yaw_launch","MC_NONE","","2","0.8","72581","74020","72582","73581","96656412","98095412","96657412","97656412","reliable_stationary","","0.65,-0.65","1000","logged_drive_command_bin","0.65"
"ofnis_001657","mmlog_decode_2026-06-08_23-37-25","TestResults/mmlog_decode_2026-06-08_23-37-25/open_floor_main.csv","compact_phase_battery","yaw_launch","launch","20","yaw_launch","MC_NONE","","2","0.8","74020","75454","74021","75020","98095412","99529412","98096412","99095412","reliable_stationary","","-0.65,0.65","1000","logged_drive_command_bin","-0.65"
"ofnis_001658","mmlog_decode_2026-06-08_23-37-25","TestResults/mmlog_decode_2026-06-08_23-37-25/open_floor_main.csv","compact_phase_battery","yaw_launch","launch","20","yaw_launch","MC_NONE","","3","0.8","75454","76882","75455","76454","99529412","100957412","99530412","100529412","reliable_stationary","","0.65,-0.65","1000","logged_drive_command_bin","0.65"
"ofnis_001659","mmlog_decode_2026-06-08_23-37-25","TestResults/mmlog_decode_2026-06-08_23-37-25/open_floor_main.csv","compact_phase_battery","yaw_launch","launch","20","yaw_launch","MC_NONE","","3","0.8","76882","78319","76883","77882","100957412","102394412","100958412","101957412","reliable_stationary","","-0.65,0.65","1000","logged_drive_command_bin","-0.65"
"ofnis_001660","mmlog_decode_2026-06-08_23-37-25","TestResults/mmlog_decode_2026-06-08_23-37-25/open_floor_main.csv","compact_phase_battery","yaw_launch","launch","20","yaw_launch","MC_NONE","","1","0.8","78319","79779","78320","79319","102394412","103854412","102395412","103394412","reliable_stationary","","0.7,-0.7","1000","logged_drive_command_bin","0.7"
"ofnis_001661","mmlog_decode_2026-06-08_23-37-25","TestResults/mmlog_decode_2026-06-08_23-37-25/open_floor_main.csv","compact_phase_battery","yaw_launch","launch","20","yaw_launch","MC_NONE","","1","0.8","79779","81224","79780","80779","103854412","105299412","103855412","104854412","reliable_stationary","","-0.7,0.7","1000","logged_drive_command_bin","-0.7"
"ofnis_001662","mmlog_decode_2026-06-08_23-37-25","TestResults/mmlog_decode_2026-06-08_23-37-25/open_floor_main.csv","compact_phase_battery","yaw_launch","launch","20","yaw_launch","MC_NONE","","2","0.8","81224","82630","81225","82224","105299412","106705412","105300412","106299412","reliable_stationary","","0.7,-0.7","1000","logged_drive_command_bin","0.7"
"ofnis_001663","mmlog_decode_2026-06-08_23-37-25","TestResults/mmlog_decode_2026-06-08_23-37-25/open_floor_main.csv","compact_phase_battery","yaw_launch","launch","20","yaw_launch","MC_NONE","","2","0.8","82630","84100","82631","83630","106705412","108175412","106706412","107705412","reliable_stationary","","-0.7,0.7","1000","logged_drive_command_bin","-0.7"
"ofnis_001664","mmlog_decode_2026-06-08_23-37-25","TestResults/mmlog_decode_2026-06-08_23-37-25/open_floor_main.csv","compact_phase_battery","yaw_launch","launch","20","yaw_launch","MC_NONE","","3","0.8","84100","85546","84101","85100","108175412","109621412","108176412","109175412","reliable_stationary","","0.7,-0.7","1000","logged_drive_command_bin","0.7"
"ofnis_001665","mmlog_decode_2026-06-08_23-37-25","TestResults/mmlog_decode_2026-06-08_23-37-25/open_floor_main.csv","compact_phase_battery","yaw_launch","launch","20","yaw_launch","MC_NONE","","3","0.8","85546","87019","85547","86546","109621412","111094412","109622412","110621412","reliable_stationary","","-0.7,0.7","1000","logged_drive_command_bin","-0.7"
"ofnis_001666","mmlog_decode_2026-06-08_23-37-25","TestResults/mmlog_decode_2026-06-08_23-37-25/open_floor_main.csv","compact_phase_battery","yaw_launch","launch","20","yaw_launch","MC_NONE","","1","0.8","87019","88577","87020","88019","111094412","112652412","111095412","112094412","reliable_stationary","","0.75,-0.75","1000","logged_drive_command_bin","0.75"
"ofnis_001667","mmlog_decode_2026-06-08_23-37-25","TestResults/mmlog_decode_2026-06-08_23-37-25/open_floor_main.csv","compact_phase_battery","yaw_launch","launch","20","yaw_launch","MC_NONE","","1","0.8","88577","90092","88578","89577","112652412","114167412","112653412","113652412","reliable_stationary","","-0.75,0.75","1000","logged_drive_command_bin","-0.75"
"ofnis_001668","mmlog_decode_2026-06-08_23-37-25","TestResults/mmlog_decode_2026-06-08_23-37-25/open_floor_main.csv","compact_phase_battery","yaw_launch","launch","20","yaw_launch","MC_NONE","","2","0.8","90092","91568","90093","91092","114167412","115643412","114168412","115167412","reliable_stationary","","0.75,-0.75","1000","logged_drive_command_bin","0.75"
"ofnis_001669","mmlog_decode_2026-06-08_23-37-25","TestResults/mmlog_decode_2026-06-08_23-37-25/open_floor_main.csv","compact_phase_battery","yaw_launch","launch","20","yaw_launch","MC_NONE","","2","0.8","91568","93111","91569","92568","115643412","117186412","115644412","116643412","reliable_stationary","","-0.75,0.75","1000","logged_drive_command_bin","-0.75"
"ofnis_001670","mmlog_decode_2026-06-08_23-37-25","TestResults/mmlog_decode_2026-06-08_23-37-25/open_floor_main.csv","compact_phase_battery","yaw_launch","launch","20","yaw_launch","MC_NONE","","3","0.8","93111","94549","93112","94111","117186412","118624412","117187412","118186412","reliable_stationary","","0.75,-0.75","1000","logged_drive_command_bin","0.75"
"ofnis_001671","mmlog_decode_2026-06-08_23-37-25","TestResults/mmlog_decode_2026-06-08_23-37-25/open_floor_main.csv","compact_phase_battery","yaw_launch","launch","20","yaw_launch","MC_NONE","","3","0.8","94549","95630","94550","95549","118624412","119705412","118625412","119624412","reliable_stationary","","-0.75,0.75","1000","logged_drive_command_bin","-0.75"
"ofnis_001672","mmlog_decode_2026-06-08_23-37-25","TestResults/mmlog_decode_2026-06-08_23-37-25/open_floor_main.csv","compact_phase_battery","yaw_launch","launch","20","yaw_launch","MC_NONE","","1","0.8","96038","97590","96039","97038","120113412","121665412","120114412","121113412","reliable_stationary","","0.8,-0.8","1000","logged_drive_command_bin","0.8"
"ofnis_001673","mmlog_decode_2026-06-08_23-37-25","TestResults/mmlog_decode_2026-06-08_23-37-25/open_floor_main.csv","compact_phase_battery","yaw_launch","launch","20","yaw_launch","MC_NONE","","1","0.8","97590","99168","97591","98590","121665412","123243412","121666412","122665412","reliable_stationary","","-0.8,0.8","1000","logged_drive_command_bin","-0.8"
"ofnis_001674","mmlog_decode_2026-06-08_23-37-25","TestResults/mmlog_decode_2026-06-08_23-37-25/open_floor_main.csv","compact_phase_battery","yaw_launch","launch","20","yaw_launch","MC_NONE","","2","0.8","99168","100749","99169","100168","123243412","124824412","123244412","124243412","reliable_stationary","","0.8,-0.8","1000","logged_drive_command_bin","0.8"
"ofnis_001675","mmlog_decode_2026-06-08_23-37-25","TestResults/mmlog_decode_2026-06-08_23-37-25/open_floor_main.csv","compact_phase_battery","yaw_launch","launch","20","yaw_launch","MC_NONE","","2","0.8","100749","102327","100750","101749","124824412","126402412","124825412","125824412","reliable_stationary","","-0.8,0.8","1000","logged_drive_command_bin","-0.8"
"ofnis_001676","mmlog_decode_2026-06-08_23-37-25","TestResults/mmlog_decode_2026-06-08_23-37-25/open_floor_main.csv","compact_phase_battery","yaw_launch","launch","20","yaw_launch","MC_NONE","","3","0.8","102327","103951","102328","103327","126402412","128026412","126403412","127402412","reliable_stationary","","0.8,-0.8","1000","logged_drive_command_bin","0.8"
"ofnis_001677","mmlog_decode_2026-06-08_23-37-25","TestResults/mmlog_decode_2026-06-08_23-37-25/open_floor_main.csv","compact_phase_battery","yaw_launch","launch","20","yaw_launch","MC_NONE","","3","0.8","103951","105572","103952","104951","128026412","129647412","128027412","129026412","reliable_stationary","","-0.8,0.8","1000","logged_drive_command_bin","-0.8"
"ofnis_001678","mmlog_decode_2026-06-08_23-37-25","TestResults/mmlog_decode_2026-06-08_23-37-25/open_floor_main.csv","compact_phase_battery","mixed_launch","launch","25","mixed_launch","MC_NONE","","1","0.8","105572","106667","105573","105922","129647412","130742412","129648412","129997412","reliable_stationary","","0.3,0.4","350","observed_drive_command_pair","[0.3, 0.4]"
"ofnis_001679","mmlog_decode_2026-06-08_23-37-25","TestResults/mmlog_decode_2026-06-08_23-37-25/open_floor_main.csv","compact_phase_battery","mixed_launch","launch","25","mixed_launch","MC_NONE","","1","0.8","106667","107764","106668","107017","130742412","131839412","130743412","131092412","reliable_stationary","","-0.3,-0.4","350","observed_drive_command_pair","[-0.3, -0.4]"
"ofnis_001680","mmlog_decode_2026-06-08_23-37-25","TestResults/mmlog_decode_2026-06-08_23-37-25/open_floor_main.csv","compact_phase_battery","mixed_launch","launch","25","mixed_launch","MC_NONE","","2","0.8","107764","108885","107765","108114","131839412","132960412","131840412","132189412","reliable_stationary","","0.3,0.4","350","observed_drive_command_pair","[0.3, 0.4]"
"ofnis_001681","mmlog_decode_2026-06-08_23-37-25","TestResults/mmlog_decode_2026-06-08_23-37-25/open_floor_main.csv","compact_phase_battery","mixed_launch","launch","25","mixed_launch","MC_NONE","","2","0.8","108885","110006","108886","109235","132960412","134081412","132961412","133310412","reliable_stationary","","-0.3,-0.4","350","observed_drive_command_pair","[-0.3, -0.4]"
"ofnis_001682","mmlog_decode_2026-06-08_23-37-25","TestResults/mmlog_decode_2026-06-08_23-37-25/open_floor_main.csv","compact_phase_battery","mixed_launch","launch","25","mixed_launch","MC_NONE","","1","0.8","110006","111153","110007","110356","134081412","135228412","134082412","134431412","reliable_stationary","","0.3,0.4","350","observed_drive_command_pair","[0.3, 0.4]"
"ofnis_001683","mmlog_decode_2026-06-08_23-37-25","TestResults/mmlog_decode_2026-06-08_23-37-25/open_floor_main.csv","compact_phase_battery","mixed_launch","launch","25","mixed_launch","MC_NONE","","1","0.8","111153","112266","111154","111503","135228412","136341412","135229412","135578412","reliable_stationary","","-0.3,-0.4","350","observed_drive_command_pair","[-0.3, -0.4]"
"ofnis_001684","mmlog_decode_2026-06-08_23-37-25","TestResults/mmlog_decode_2026-06-08_23-37-25/open_floor_main.csv","compact_phase_battery","mixed_launch","launch","25","mixed_launch","MC_NONE","","2","0.8","112266","113424","112267","112616","136341412","137499412","136342412","136691412","reliable_stationary","","0.3,0.4","350","observed_drive_command_pair","[0.3, 0.4]"
"ofnis_001685","mmlog_decode_2026-06-08_23-37-25","TestResults/mmlog_decode_2026-06-08_23-37-25/open_floor_main.csv","compact_phase_battery","mixed_launch","launch","25","mixed_launch","MC_NONE","","2","0.8","113424","114513","113425","113774","137499412","138588412","137500412","137849412","reliable_stationary","","-0.3,-0.4","350","observed_drive_command_pair","[-0.3, -0.4]"
"ofnis_001686","mmlog_decode_2026-06-08_23-37-25","TestResults/mmlog_decode_2026-06-08_23-37-25/open_floor_main.csv","compact_phase_battery","mixed_launch","launch","25","mixed_launch","MC_NONE","","1","0.8","114513","115653","114514","114863","138588412","139728412","138589412","138938412","reliable_stationary","","0.4,0.3","350","observed_drive_command_pair","[0.4, 0.3]"
"ofnis_001687","mmlog_decode_2026-06-08_23-37-25","TestResults/mmlog_decode_2026-06-08_23-37-25/open_floor_main.csv","compact_phase_battery","mixed_launch","launch","25","mixed_launch","MC_NONE","","1","0.8","115653","116740","115654","116003","139728412","140815412","139729412","140078412","reliable_stationary","","-0.4,-0.3","350","observed_drive_command_pair","[-0.4, -0.3]"
"ofnis_001688","mmlog_decode_2026-06-08_23-37-25","TestResults/mmlog_decode_2026-06-08_23-37-25/open_floor_main.csv","compact_phase_battery","mixed_launch","launch","25","mixed_launch","MC_NONE","","2","0.8","116740","117869","116741","117090","140815412","141944412","140816412","141165412","reliable_stationary","","0.4,0.3","350","observed_drive_command_pair","[0.4, 0.3]"
"ofnis_001689","mmlog_decode_2026-06-08_23-37-25","TestResults/mmlog_decode_2026-06-08_23-37-25/open_floor_main.csv","compact_phase_battery","mixed_launch","launch","25","mixed_launch","MC_NONE","","2","0.8","117869","118972","117870","118219","141944412","143047412","141945412","142294412","reliable_stationary","","-0.4,-0.3","350","observed_drive_command_pair","[-0.4, -0.3]"
"ofnis_001690","mmlog_decode_2026-06-08_23-37-25","TestResults/mmlog_decode_2026-06-08_23-37-25/open_floor_main.csv","compact_phase_battery","mixed_launch","launch","25","mixed_launch","MC_NONE","","1","0.8","118972","120090","118973","119322","143047412","144165412","143048412","143397412","reliable_stationary","","0.4,0.3","350","observed_drive_command_pair","[0.4, 0.3]"
