"stage","count","finite_count","accepted_count","rejected_count","rejected_rate","rms_nis","sqrt_mean_nis","physical_residual_rms"
"launch","67500","67500","67202","298","0.004414814814814815","6.9700498959185575","1.2188326882800247","2.3216377648315727"
"mixed_launch","140000","140000","136708","3292","0.023514285714285713","51.42680344266097","2.3755206144773666","4.166152813421131"
"SEC_20_LAUNCH","260835","260835","260423","412","0.0015795426227308452","5.457216723737177","0.9143819320207591","1.6473664009777356"
"SEC_30_STRAIGHT","164015","164015","160402","3613","0.022028473005517787","104.28669943427883","3.642164965444878","5.058665398616422"
"SEC_40_YAW","90435","90435","85623","4812","0.05320948747719356","2519.2933348903234","30.58855319420153","29.042299766162525"
"SEC_50_SMOOTH","1100","1100","979","121","0.11","1723.4927010749843","33.13346795472133","30.099561439011488"
"smooth","21220","21220","12991","8229","0.38779453345900095","1459.1092210794684","27.349438205450767","21.9194081433064"
"straight","5475","5475","4380","1095","0.2","588.1803605456237","12.910659151705108","12.856284058625985"
"yaw_launch","557500","557500","512773","44727","0.08022780269058295","239.90673457777805","7.049146381375727","7.542658010106048"
