role,k1_rad_per_m,k2_rad_per_m,k3_radps,stribeck_speed_mps,yaw_fade_mps,sliding_ratio,load_power,linear_gain_nm_per_radps,peak_yield_nm,weighted_train_rmse_nm,primary_corrected_rmse_nm,validation_corrected_rmse_nm,in_place_opposing_nm,in_place_left_command,in_place_right_command,in_place_max_abs_command,score
latest_weighted_shifted_peak,0.2,1.6,0.4,0.16,0.05,0.0,1.0,0.024257431428660863,0.011830131019831446,0.03131001213408094,0.036290383093250715,0.05321453092849518,0.011435776026989442,0.24206191130641563,-0.24206191130641563,0.24206191130641563,0.042048154794888465
latest_weighted_shifted_peak,0.2,1.6,0.4,0.16,0.05,0.15,1.0,0.024273717695907488,0.011822193763191765,0.0313098904002501,0.03628984511783596,0.053224157737040985,0.011433347952633136,0.2420476817696263,-0.2420476817696263,0.2420476817696263,0.042048459947161304
latest_weighted_shifted_peak,0.2,1.6,0.4,0.16,0.05,0.35,1.0,0.02429606283113862,0.011811303663558178,0.03130973459764651,0.03628914861630812,0.053236916604949946,0.011429802393625496,0.24202690330285198,-0.24202690330285198,0.24202690330285198,0.04204892749856095
latest_weighted_shifted_peak,0.35,1.6,0.4,0.16,0.05,0.0,1.0,0.02509612090573865,0.011836797921240864,0.031312247923106835,0.036292468107163016,0.05322079509306107,0.011442220688606826,0.24209967973362279,-0.24209967973362279,0.24209967973362279,0.04204925753109815
latest_weighted_shifted_peak,0.35,1.6,0.4,0.16,0.05,0.15,1.0,0.025109928929373977,0.01182899725247924,0.031312126372468656,0.036291926960413896,0.053230442564859176,0.011439927667183061,0.24208624166381093,-0.24208624166381093,0.24208624166381093,0.042049539122554325
latest_weighted_shifted_peak,0.2,1.6,0.4,0.16,0.05,0.6,1.0,0.024324996053484194,0.011797202801298815,0.031309550248916726,0.03628831125243629,0.05325274076373007,0.011424879499464679,0.24199805307287883,-0.24199805307287883,0.24199805307287883,0.04204960865673036
latest_weighted_shifted_peak,0.35,1.6,0.4,0.16,0.05,0.35,1.0,0.025128874785172204,0.01181829403013362,0.03131197082670299,0.036291226123355884,0.05324322990036447,0.011436566973632259,0.24206654658635393,-0.24206654658635393,0.24206654658635393,0.042049974429112374
latest_weighted_shifted_peak,0.35,1.6,0.4,0.16,0.05,0.6,1.0,0.0251534081188918,0.011804434232588918,0.031311786820112965,0.03629038317255914,0.05325909111844475,0.011431882704587929,0.2420390947999107,-0.2420390947999107,0.2420390947999107,0.04205061397611564
latest_weighted_shifted_peak,0.1,1.6,0.4,0.16,0.05,0.0,1.0,0.0235925349217602,0.011801457641814827,0.03130972542241865,0.03629006055963837,0.053204123849394123,0.01140805847015211,0.24189947476747545,-0.24189947476747545,0.24189947476747545,0.04205274117939439
latest_weighted_shifted_peak,0.1,1.6,0.4,0.16,0.05,0.15,1.0,0.023610673753327323,0.01179344400846028,0.031309602946652415,0.036289524873948334,0.05321371935046074,0.01140554381103453,0.2418847378075741,-0.2418847378075741,0.2418847378075741,0.042053060812425186
latest_weighted_shifted_peak,0.1,1.6,0.4,0.16,0.05,0.35,1.0,0.023635562396913785,0.011782448346272501,0.03130944612066745,0.0362888314567149,0.05322643584832613,0.011401879093710836,0.24186326102295894,-0.24186326102295894,0.24186326102295894,0.04205354828997868
latest_weighted_shifted_peak,0.1,1.6,0.4,0.16,0.05,0.6,1.0,0.023667791547386588,0.01176820968959508,0.031309260437492124,0.03628799799565414,0.05324220603677993,0.011396801419168117,0.24183350371485904,-0.24183350371485904,0.24183350371485904,0.042054255326046355
latest_weighted_shifted_peak,0.05,1.6,0.4,0.16,0.05,0.0,1.0,0.0232243510026449,0.011784046044895946,0.031309776326577825,0.03629005198964731,0.0531978839253791,0.01139122728524784,0.24180083694603405,-0.24180083694603405,0.24180083694603405,0.0420557512181968
latest_weighted_shifted_peak,0.05,1.6,0.4,0.16,0.05,0.15,1.0,0.02324346060918143,0.01177599648950531,0.031309653403751796,0.036289517483067094,0.05320746180543112,0.011388670161429545,0.24178585112512918,-0.24178585112512918,0.24178585112512918,0.04205607786999792
latest_weighted_shifted_peak,0.05,1.6,0.4,0.16,0.05,0.35,1.0,0.023269682554306524,0.011764950997839672,0.03130949596141452,0.03628882564930124,0.053220154500370015,0.011384946903946154,0.2417640312705606,-0.2417640312705606,0.2417640312705606,0.042056575023297696
latest_weighted_shifted_peak,0.05,1.6,0.4,0.16,0.05,0.6,1.0,0.023303640117735308,0.011750647025348048,0.03130930947506955,0.03628799418431691,0.05323589443956512,0.01137979303793644,0.24173382744842384,-0.24173382744842384,0.24173382744842384,0.04205729465161683
