dataset_split,count,run_count,baseline_rmse_nm,corrected_rmse_nm,baseline_mae_nm,corrected_mae_nm,baseline_median_abs_nm,corrected_median_abs_nm,baseline_signed_median_nm,corrected_signed_median_nm,rmse_improvement_pct,mae_improvement_pct,median_predicted_opposing_support_nm,median_residual_opposes_yaw_before_nm,median_residual_opposes_yaw_after_nm,variant_c_rmse_nm,force_domain_stribeck_rmse_nm,rational_residual_reference_rmse_nm,true_traction_testbed_rmse_nm,standalone_contact_traction_rmse_nm
primary_open_floor_fit_authoritative,47317,15,0.036866176895009706,0.036290383093250715,0.025480195736437217,0.02491586642279324,0.016044602,0.015491362649375572,0.001648731,0.001762124119355445,1.5618484211117953,2.2147762108317512,0.0030693541194931136,0.002239467,-0.000509574207011552,0.024120243843366647,0.027907821180421354,0.021083018384621146,0.01950812151012949,0.01668802365707484
open_floor_fit_downweighted,31165,9,0.043194073119807955,0.04501554138669221,0.027849684910123535,0.02891971664226022,0.013314394,0.013651039985038988,0.000637863,0.000683418211095036,-4.216940277505267,-3.842168181040068,0.0037977635696346884,-0.001947729,-0.004402839474009811,0.033092937468878494,0.04150718685740355,0.03282316561347566,0.035267314697039254,0.0279518364973881
open_floor_validation_only,14542,9,0.01693070910006944,0.017296170197939907,0.010368821404827396,0.010929434595618329,0.005201232,0.006012148969050541,-0.000858939,-0.0006269041231747036,-2.1585693529455727,-5.4067204834864775,0.0019577135905382605,0.0,-0.0021601317293187417,0.014417143137851248,0.01139376781450519,0.011206860684196811,0.009293772489079357,0.007665310996355701
diag_validation_only,11108,3,0.0846209251204878,0.09085220478222149,0.0738060716588945,0.08001782262568233,0.082360023,0.09053437213910956,-0.006359523000000001,-0.007999300858973933,-7.363757430991518,-8.416314304731383,0.006309055228311957,-0.0819618025,-0.09041425292840233,0.03876675590868194,0.08441017836709906,0.03848912769383371,0.02568541911037413,0.0200297483797947
aux_downweighted_validation,14448,13,0.05126637392308135,0.05430760403328708,0.03305637759772979,0.03585309405587119,0.016359514999999998,0.018960431393789196,-0.0012553224999999999,-0.001597228937721553,-5.932212242607021,-8.460444432766506,0.0030167075679015313,-0.009318223,-0.013198130973773889,0.028529439179585198,0.048819706958314515,0.027490242677710965,0.027446247485824863,0.019197677203604394
validation_non_authoritative,71263,34,0.05023383204822011,0.05321453092849518,0.032501511564374225,0.03461911908972157,0.014290832,0.015163869415298892,-0.000435785,-0.00043060180386657765,-5.9336482182244445,-6.515412432905148,0.003605717444847605,-0.004471726,-0.007458314501679211,0.03034172395599833,,0.029680153603611304,0.028585353044834484,0.022156916394299255
