vf_mps,yaw_rate_radps,predicted_opposing_support_nm,total_opposing_yaw_torque_nm,left_command,right_command,lr_delta_command,max_abs_command
0.0,0.2,0.00834080865278181,0.00834080865278181,0.2355362376976656,-0.2355362376976656,0.4710724753953312,0.2355362376976656
0.0,0.844444444,0.01161071516298248,0.01161071516298248,0.242282689321681,-0.242282689321681,0.484565378643362,0.242282689321681
0.0,1.488888889,0.010616648279217773,0.010616648279217773,0.23978971473957084,-0.23978971473957084,0.4795794294791417,0.23978971473957084
0.0,2.133333333,0.00914461991414373,0.00914461991414373,0.23449568487796357,-0.23449568487796357,0.46899136975592715,0.23449568487796357
0.0,2.777777778,0.007565401209226491,0.007565401209226491,0.22857347455403051,-0.22857347455403051,0.45714694910806103,0.22857347455403051
0.0,3.422222222,0.006116302029079422,0.006116302029079422,0.2234138193583477,-0.2234138193583477,0.4468276387166954,0.2234138193583477
0.0,4.066666667,0.004892642361077065,0.004892642361077065,0.21957533451153113,-0.21957533451153113,0.43915066902306227,0.21957533451153113
0.0,4.711111111,0.0039032480500861854,0.0039032480500861854,0.21710974316562906,-0.21710974316562906,0.4342194863312581,0.21710974316562906
0.0,5.355555556,0.0031198874714767643,0.0031198874714767643,0.21585159613860155,-0.21585159613860155,0.4317031922772031,0.21585159613860155
0.0,6.0,0.0025048114669057467,0.0025048114669057467,0.2155796674778217,-0.2155796674778217,0.4311593349556434,0.2155796674778217
0.03,0.2,0.007914511350020088,0.007914511350020088,0.22095484302749493,0.12612155397934857,0.09483328904814636,0.22095484302749493
0.03,0.844444444,0.011655978237838592,0.011655978237838592,0.24621408774312364,-0.31306362869273335,0.559277716435857,0.31306362869273335
0.03,1.488888889,0.0107187324870949,0.0107187324870949,0.2440541088951166,-0.23672183335788388,0.48077594225300047,0.2440541088951166
0.03,2.133333333,0.009276683324375047,0.009276683324375047,0.23893576976625264,-0.2316034942290199,0.47053926399527257,0.23893576976625264
0.03,2.777777778,0.007703676233890757,0.007703676233890757,0.23304996211502416,-0.22571768657779143,0.4587676486928156,0.23304996211502416
0.03,3.422222222,0.006247147527677028,0.006247147527677028,0.22784676677230328,-0.2205144912350705,0.4483612580073738,0.22784676677230328
0.03,4.066666667,0.005010711624664244,0.005010711624664244,0.2239334078156234,-0.21660113227839065,0.44053454009401405,0.2239334078156234
0.03,4.711111111,0.004007714993934816,0.004007714993934816,0.22138810115596352,-0.21405582561873077,0.4354439267746943,0.22138810115596352
