run_id,present,dataset_split,recommendation,family,count,run_count,baseline_rmse_nm,corrected_rmse_nm,baseline_mae_nm,corrected_mae_nm,baseline_median_abs_nm,corrected_median_abs_nm,baseline_signed_median_nm,corrected_signed_median_nm,rmse_improvement_pct,mae_improvement_pct,median_predicted_opposing_support_nm,median_residual_opposes_yaw_before_nm,median_residual_opposes_yaw_after_nm,variant_c_rmse_nm,force_domain_stribeck_rmse_nm,rational_residual_reference_rmse_nm,true_traction_testbed_rmse_nm,standalone_contact_traction_rmse_nm
2026-05-04_20-35-47,True,open_floor_fit_downweighted,fit_downweighted,open_floor,3456,1,0.035845955637305665,0.03392595668708503,0.028876796463541667,0.027181391570210427,0.025485003,0.02338171407097054,0.0093600005,0.00861446451070048,5.356249864412745,5.871166822371621,0.00429895898323676,0.014226537000000001,0.009904186087748446,0.028076443199331575,0.02095614161732105,0.020127808869544805,0.01647254388265974,0.011392976177542468
2026-05-04_16-57-53,True,open_floor_validation_only,validation_only,open_floor,1761,1,0.023277853453219116,0.022794213845553076,0.017940518580919933,0.017527365818279846,0.013238941,0.012683919376717867,-0.000686103,-0.0005384438528622358,2.077681297538872,2.302903122764143,0.003062207181455748,0.004123257,0.0012656600549237878,0.01934116142597289,0.015366476488899375,0.015838560861422477,0.010900274495035337,0.009662168929270618
2026-04-22_12-10-34,True,open_floor_fit_downweighted,fit_downweighted,open_floor,2187,1,0.016217132966177106,0.015745921640732418,0.013081637973022406,0.012674643163262294,0.011327229,0.011076563793353426,-0.003115615,-0.002603075744310469,2.905638909340257,3.111191508276233,0.0024819879960260817,0.003561073,0.0005382505959153519,0.014402919863369421,0.01348701867968651,0.013202689482483838,0.012118358812930297,0.01223235411387227
2026-04-22_01-06-32,True,primary_open_floor_fit_authoritative,fit_authoritative,open_floor,1031,1,0.04497527944035794,0.0430165682755017,0.033356145290009694,0.03005031267404489,0.026813516,0.021648057494862726,0.009991152,0.007306300737744327,4.3550839243893895,9.910715363609222,0.004240767381313674,0.021702158,0.016796320640793512,0.018608488843215733,0.033937937440801695,0.016861102635710126,0.01467238488490882,0.011282181897664011
2026-04-21_05-32-06,True,primary_open_floor_fit_authoritative,fit_authoritative,open_floor,8880,1,0.04258417382836224,0.04156656858299302,0.0365598928268018,0.03568460063472008,0.034704941,0.034150447868263836,0.0121550075,0.011896734014830927,2.389632471139946,2.394132270103505,0.002775142868440807,0.0153169765,0.012154763817921164,0.023754464601601764,0.027283610538090263,0.017657454789089182,0.016287485899994517,0.01543378604610258
2026-04-21_00-16-10,True,primary_open_floor_fit_authoritative,fit_authoritative,open_floor,3757,1,0.039823975586254654,0.04029975960965339,0.02832533189938781,0.028625603040364968,0.019252263,0.019196221413436427,0.008941154,0.008926207934839553,-1.1947175448825664,-1.060079867885495,0.0022927657712284977,-0.0029261,-0.00598488667796999,0.02774307957781035,0.03430247806398148,0.026878339329649562,0.026919442727042133,0.02047433384415106
2026-04-20_12-10-58,True,primary_open_floor_fit_authoritative,fit_authoritative,open_floor,2925,1,0.04035482301988178,0.04080471074516706,0.027066004325470086,0.027376709492401653,0.015359407,0.015615560781721926,0.003674954,0.0035019539009801042,-1.114830128392909,-1.147953584856197,0.0026535795085299743,-0.001905674,-0.004708970238475917,0.02933811998534102,0.0356483649477145,0.027977442201207736,0.02826572451210337,0.022853274606811566
2026-04-20_08-38-39,True,open_floor_fit_downweighted,fit_downweighted,open_floor,7284,1,0.05622535775152191,0.058999937732143445,0.04229161872130697,0.04428251336583387,0.036814327499999994,0.037215326205434385,0.0001673695,0.0001508573132653085,-4.934748468623896,-4.70753947170121,0.005453107293863323,-0.013760560500000001,-0.018548252901478587,0.04131229724660652,0.056141320109295866,0.04248692457048695,0.04376311762102966,0.03654920813713403
diag003,True,diag_validation_only,validation_only,competition_diag,5580,1,0.08523812922205401,0.09081635808141815,0.07495094215232975,0.08059736477960608,0.085086003,0.09261767528943976,-0.0124400895,-0.015733999290635375,-6.544288231423153,-7.533491194547732,0.005751591407927548,-0.0847313015,-0.0924119041233612,0.03897045903766876,0.08503230164347471,0.038712164739976,0.02623535386349149,0.019756627490912913
