vf_mps,yaw_rate_radps,predicted_opposing_support_nm,total_opposing_yaw_torque_nm,left_command,right_command,lr_delta_command,max_abs_command
0.0,0.2,0.007629153039825444,0.007629153039825444,0.2313656365381032,-0.2313656365381032,0.4627312730762064,0.2313656365381032
0.0,0.844444444,0.010130534118193313,0.010130534118193313,0.23360820594886653,-0.23360820594886653,0.46721641189773305,0.23360820594886653
0.0,1.488888889,0.009263194911229455,0.009263194911229455,0.23185790884472726,-0.23185790884472726,0.4637158176894545,0.23185790884472726
0.0,2.133333333,0.007978826690495298,0.007978826690495298,0.22766364634438102,-0.22766364634438102,0.45532729268876204,0.22766364634438102
0.0,2.777777778,0.006600933189045933,0.006600933189045933,0.22292128637467223,-0.22292128637467223,0.44584257274934447,0.22292128637467223
0.0,3.422222222,0.005336571047777547,0.005336571047777547,0.21884426791301434,-0.21884426791301434,0.4376885358260287,0.21884426791301434
0.0,4.066666667,0.004268908475597911,0.004268908475597911,0.21591999164810424,-0.21591999164810424,0.4318399832962085,0.21591999164810424
0.0,4.711111111,0.0034056461628856585,0.0034056461628856585,0.21419358685353626,-0.21419358685353626,0.4283871737070725,0.21419358685353626
0.0,5.355555556,0.002722151566984136,0.002722151566984136,0.2135206964811316,-0.2135206964811316,0.4270413929622632,0.2135206964811316
0.0,6.0,0.002185487945310367,0.002185487945310367,0.2137082973583494,-0.2137082973583494,0.4274165947166988,0.2137082973583494
0.03,0.2,0.007300165380873651,0.007300165380873651,0.21735451730161356,0.1297218797052299,0.08763263759638368,0.21735451730161356
0.03,0.844444444,0.010170026872746976,0.010170026872746976,0.2375057878667837,-0.3043553288163935,0.5418611166831772,0.3043553288163935
0.03,1.488888889,0.009352265010384511,0.009352265010384511,0.23604603485042822,-0.22871375931319546,0.4647597941636237,0.23604603485042822
0.03,2.133333333,0.008094054121737323,0.008094054121737323,0.2320050653158745,-0.22467278977864172,0.4566778550945162,0.2320050653158745
0.03,2.777777778,0.006721580352927915,0.006721580352927915,0.2272944672585587,-0.21996219172132594,0.44725665897988465,0.2272944672585587
0.03,3.422222222,0.005450735831698968,0.005450735831698968,0.22317945932434127,-0.21584718378710852,0.4390266431114498,0.22317945932434127
0.03,4.066666667,0.004371925790749464,0.004371925790749464,0.22018985420467138,-0.21285757866743862,0.43304743287211,0.22018985420467138
0.03,4.711111111,0.0034967952371697353,0.0034967952371697353,0.2183938965277504,-0.21106162099051762,0.42945551751826805,0.2183938965277504
0.03,5.355555556,0.00280234589176321,0.00280234589176321,0.21765680671652096,-0.2103245311792882,0.42798133789580917,0.21765680671652096
0.03,6.0,0.0022561082158952463,0.0022561082158952463,0.21778829961004964,-0.2104560240728169,0.4282443236828666,0.21778829961004964
0.06,0.2,0.0070282747536407645,0.0070282747536407645,0.21942726165835058,0.13498141330799138,0.0844458483503592,0.21942726165835058
0.06,0.844444444,0.010205962708829489,0.010205962708829489,0.24138252474669353,0.11302615020331445,0.12835637454337906,0.24138252474669353
0.06,1.488888889,0.009445635836815229,0.009445635836815229,0.24025936492651975,-0.4181863004441239,0.6584456653706436,0.4181863004441239
0.06,2.133333333,0.008225691380857252,0.008225691380857252,0.23644265277944446,-0.22177810170497894,0.4582207544844234,0.23644265277944446
0.06,2.777777778,0.006870870729114672,0.006870870729114672,0.23183550941168415,-0.21717095833721864,0.4490064677489028,0.23183550941168415
0.06,3.422222222,0.005603595086755198,0.005603595086755198,0.2277414166084379,-0.21307686553397237,0.44081828214241026,0.2277414166084379
0.06,4.066666667,0.0045208493934281,0.0045208493934281,0.22472874691080252,-0.210064195836337,0.43479294274713953,0.22472874691080252
