group,count,run_count,baseline_rmse_nm,corrected_rmse_nm,baseline_mae_nm,corrected_mae_nm,baseline_median_abs_nm,corrected_median_abs_nm,baseline_signed_median_nm,corrected_signed_median_nm,run_balanced_baseline_rmse_nm,run_balanced_corrected_rmse_nm,rmse_improvement_pct,run_balanced_rmse_improvement_pct,median_predicted_opposes_nm
straightish_abs_yaw_lt_0p05,35367,49,0.025841853669827997,0.022988918135955688,0.014403131442389798,0.012858533565366861,0.006082492,0.005914395148686655,0.000224911,0.00024716984351480823,0.03269181254921283,0.027521676581158137,11.039980220936284,15.814773072835267,0.002105755807567177
straightish_forward_abs_yaw_lt_0p05_vf_ge_0p05,21746,47,0.024100230475114524,0.01330649858068695,0.012090499429458291,0.008180534492119959,0.005326237,0.005060749740551601,0.000309861,0.00027443550164566924,0.027317452372534017,0.014051645543496243,44.786840962259646,48.561654462243006,0.0009478650411829698
low_speed_yaw_vf_lt_0p05_yaw_ge_0p2,19704,49,0.07350293824740096,0.050062868813025956,0.06093638546954933,0.03821575413871377,0.054369194499999995,0.028807147116421104,-0.007716965,-0.0033036167390987255,0.06444265861528606,0.045116028416622975,31.88997609249157,29.990429653190517,0.01146354761286727
high_forward_vf_ge_0p5,3120,35,0.0464149473391518,0.02996836451741786,0.027171509688461538,0.018430016508435332,0.0127547745,0.013076672180954187,0.0015737250000000002,-5.174280759608161e-05,0.059493070824705854,0.03133017487032285,35.43380691905034,47.33811108416968,-0.006916412652193486
limiter_active,31216,44,0.07460143692454368,0.04616233255154095,0.061413888111064845,0.03518018343410016,0.053156194000000004,0.02761798246457887,0.0026020225,-0.0021514292374030693,0.0782592041154691,0.049927692988875706,38.12138954075071,36.202145737121356,-0.018284490666432535
