group,count,run_count,baseline_rmse_nm,corrected_rmse_nm,baseline_mae_nm,corrected_mae_nm,baseline_median_abs_nm,corrected_median_abs_nm,baseline_signed_median_nm,corrected_signed_median_nm,run_balanced_baseline_rmse_nm,run_balanced_corrected_rmse_nm,rmse_improvement_pct,run_balanced_rmse_improvement_pct,median_predicted_opposes_nm,run_id,present,dataset_split
2026-05-04_20-35-47,3456,1,0.035845955637305665,0.034530682376903495,0.028876796463541667,0.02310314836754476,0.025485003,0.014124052146545184,0.0093600005,0.00024099508103953135,0.035845955637305665,0.034530682376903495,3.669237538846188,3.669237538846188,0.026752546330273633,2026-05-04_20-35-47,1,open_floor_fit_downweighted
2026-05-04_16-57-53,1761,1,0.023277853453219116,0.026700826690124125,0.017940518580919933,0.01865781586069352,0.013238941,0.011778543057898806,-0.000686103,-0.0005248716110860105,0.023277853453219116,0.026700826690124125,-14.704849155374516,-14.704849155374516,0.009084699642591303,2026-05-04_16-57-53,1,open_floor_validation_only
2026-04-22_12-10-34,2187,1,0.016217132966177106,0.01761823285918028,0.013081637973022406,0.01320931005702771,0.011327229,0.01125156173507531,-0.003115615,-0.001247475110577038,0.016217132966177106,0.01761823285918028,-8.639627583527535,-8.639627583527535,0.0015442074060121275,2026-04-22_12-10-34,1,open_floor_fit_downweighted
2026-04-22_01-06-32,1031,1,0.04497527944035794,0.018976872678118206,0.033356145290009694,0.015244932484663508,0.026813516,0.013738091075477667,0.009991152,0.002673200196156878,0.04497527944035794,0.018976872678118206,57.80599272699666,57.80599272699666,0.008955353660314183,2026-04-22_01-06-32,1,primary_open_floor_fit_authoritative
2026-04-21_05-32-06,8880,1,0.04258417382836225,0.02697532019794098,0.036559892826801804,0.02176952328597118,0.034704941,0.01899556979516428,0.0121550075,0.005116610585218219,0.04258417382836226,0.02697532019794098,36.65411871869013,36.65411871869014,0.015663265366123332,2026-04-21_05-32-06,1,primary_open_floor_fit_authoritative
2026-04-21_00-16-10,3757,1,0.039823975586254654,0.02852575395854002,0.02832533189938781,0.020442282150457968,0.019252263,0.014412902726442004,0.008941154,-0.0006559069379242118,0.039823975586254654,0.02852575395854002,28.370401150040493,28.370401150040493,0.0002733658004859473,2026-04-21_00-16-10,1,primary_open_floor_fit_authoritative
2026-04-20_12-10-58,2925,1,0.04035482301988178,0.030278981838700657,0.027066004325470086,0.020517735648134056,0.015359407,0.012670332663215322,0.003674954,0.0002730111399507837,0.04035482301988178,0.030278981838700657,24.968121347520263,24.968121347520263,0.0009508714354809727,2026-04-20_12-10-58,1,primary_open_floor_fit_authoritative
2026-04-20_08-38-39,7284,1,0.05622535775152191,0.042979737378658345,0.042291618721306976,0.030907836835038446,0.036814327499999994,0.02160940035759304,0.0001673695,-0.0011421438622403112,0.05622535775152192,0.042979737378658345,23.558089983882823,23.55808998388283,-0.001454288114123163,2026-04-20_08-38-39,1,open_floor_fit_downweighted
diag003,5580,1,0.08523812922205401,0.05925178572270133,0.07495094215232975,0.04543446908174867,0.085086003,0.03574268480869326,-0.0124400895,-0.003750681957525864,0.08523812922205401,0.05925178572270133,30.486759548248187,30.486759548248187,-0.023838015917222618,diag003,1,diag_validation_only
