split,count,current_baseline_rmse_nm,force_domain_stribeck_rmse_nm,rational_residual_reference_rmse_nm,standalone_contact_traction_rmse_nm,scalar_slip_angle_partition_rmse_nm
primary_open_floor_fit_authoritative,47317,0.0368661768981729,0.0279078211804213,0.0210830183846211,0.0166880236570748,0.03648751201478974
open_floor_fit_downweighted,31165,0.0431940731147556,0.0415071868574035,0.0328231656134756,0.0279518364973881,0.04534728838987143
open_floor_validation_only,14542,0.0169307091051598,0.0113937678145051,0.0112068606841968,0.0076653109963557,0.017999683768466623
diag_validation_only,11108,0.0846209251224713,0.084410178367099,0.0384891276938337,0.0200297483797947,0.09634588059629108
aux_downweighted_validation,14448,0.0512663739166604,0.0488197069583145,0.0274902426777109,0.0191976772036043,0.05576844462537931
validation_non_authoritative,71263,0.0502338320458626,,0.0296801536036113,0.0221569163942992,0.055162178121843694
