group,count,run_count,baseline_rmse_nm,corrected_rmse_nm,baseline_mae_nm,corrected_mae_nm,baseline_median_abs_nm,corrected_median_abs_nm,baseline_signed_median_nm,corrected_signed_median_nm,run_balanced_baseline_rmse_nm,run_balanced_corrected_rmse_nm,prediction_median_opposes_nm,improvement_fraction_rmse,run_id,present,dataset_split,family
2026-05-04_20-35-47,3456,1,0.035845955637305665,0.03348276460175218,0.028876796463541667,0.026269777192440072,0.025485003,0.021983737726265634,0.0093600005,0.00822790917933495,0.035845955637305665,0.03348276460175218,0.006542506467181755,0.06592629471130797,2026-05-04_20-35-47,True,open_floor_fit_downweighted,open_floor
2026-05-04_16-57-53,1761,1,0.023277853453219116,0.024582171294139858,0.017940518580919933,0.0181003572743527,0.013238941,0.012519651188363099,-0.000686103,0.00014130333179840143,0.023277853453219113,0.024582171294139858,0.003015075199242052,-0.056032565182266264,2026-05-04_16-57-53,True,open_floor_validation_only,open_floor
2026-04-22_12-10-34,2187,1,0.016217132966177106,0.0158407410014246,0.013081637973022406,0.012780839530089249,0.011327229,0.011097422406832914,-0.003115615,-0.0029219221845358857,0.01621713296617711,0.0158407410014246,0.00299336843822639,0.02320952572427695,2026-04-22_12-10-34,True,open_floor_fit_downweighted,open_floor
2026-04-22_01-06-32,1031,1,0.04497527944035794,0.04286089655597655,0.033356145290009694,0.029703596388406174,0.026813516,0.020891368967004213,0.009991152,0.007465649714155186,0.04497527944035793,0.04286089655597655,0.00593225056514414,0.04701211222456739,2026-04-22_01-06-32,True,primary_open_floor_fit_authoritative,open_floor
2026-04-21_05-32-06,8880,1,0.04258417382836224,0.041092187303207524,0.0365598928268018,0.03520063615448982,0.034704941,0.03377715015988421,0.0121550075,0.011880690878878265,0.04258417382836224,0.041092187303207524,0.005479388140604982,0.035036174029540866,2026-04-21_05-32-06,True,primary_open_floor_fit_authoritative,open_floor
2026-04-21_00-16-10,3757,1,0.039823975586254654,0.04176162372315057,0.02832533189938781,0.030115397079664732,0.019252263,0.02027879800830236,0.008941154,0.00836739258155787,0.039823975586254654,0.04176162372315057,0.009022284893719158,-0.04865531651151129,2026-04-21_00-16-10,True,primary_open_floor_fit_authoritative,open_floor
2026-04-20_12-10-58,2925,1,0.04035482301988178,0.04210531219942118,0.027066004325470086,0.028532647396470448,0.015359407,0.015867022442308826,0.003674954,0.0032833701409838685,0.040354823019881775,0.04210531219942118,0.00618301055295893,-0.043377446573783195,2026-04-20_12-10-58,True,primary_open_floor_fit_authoritative,open_floor
2026-04-20_08-38-39,7284,1,0.05622535775152191,0.05980626067154447,0.04229161872130697,0.04488073980482127,0.036814327499999994,0.037060546828366,0.0001673695,0.00019089371615582358,0.05622535775152191,0.05980626067154446,0.006716986619643289,-0.06368839725036048,2026-04-20_08-38-39,True,open_floor_fit_downweighted,open_floor
diag003,5580,1,0.08523812922205401,0.09709249189637781,0.07495094215232975,0.08534407997997724,0.085086003,0.09487396002429874,-0.0124400895,-0.015968878336737005,0.08523812922205401,0.09709249189637781,0.009181531441170128,-0.13907347313362517,diag003,True,diag_validation_only,competition_diag
