group,count,run_count,baseline_rmse_nm,corrected_rmse_nm,baseline_mae_nm,corrected_mae_nm,baseline_median_abs_nm,corrected_median_abs_nm,baseline_signed_median_nm,corrected_signed_median_nm,rmse_improvement_fraction,median_predicted_opposing_nm,run_id,present,dataset_split,force_domain_stribeck_rmse_nm,rational_residual_reference_rmse_nm,standalone_contact_traction_rmse_nm
2026-05-04_20-35-47,3456,1,0.035845955637305665,0.03432552678516554,0.028876796463541667,0.02751597108429684,0.025485003,0.023760116478931302,0.0093600005,0.008583294279834936,0.0424156316970326,0.003660301160929811,2026-05-04_20-35-47,True,open_floor_fit_downweighted,0.02095614161732105,0.020127808869544805,0.011392976177542468
2026-05-04_16-57-53,1761,1,0.023277853453219116,0.02343037038342629,0.017940518580919933,0.017809573444196123,0.013238941,0.012874982945239612,-0.000686103,-0.00044066795929335493,-0.006552018660727578,0.0028312532826580638,2026-05-04_16-57-53,True,open_floor_validation_only,0.015366476488899375,0.015838560861422477,0.009662168929270618
2026-04-22_12-10-34,2187,1,0.016217132966177106,0.015663608821995707,0.013081637973022406,0.012685358166927603,0.011327229,0.011128206424335454,-0.003115615,-0.0024570612826802793,0.03413205930640417,0.0013963426634961734,2026-04-22_12-10-34,True,open_floor_fit_downweighted,0.01348701867968651,0.013202689482483838,0.01223235411387227
2026-04-22_01-06-32,1031,1,0.04497527944035794,0.04400996038164398,0.033356145290009694,0.03163007236010076,0.026813516,0.023942834542449228,0.009991152,0.008124094260738506,0.02146332542511656,0.0023443939087133565,2026-04-22_01-06-32,True,primary_open_floor_fit_authoritative,0.033937937440801695,0.016861102635710126,0.011282181897664011
2026-04-21_05-32-06,8880,1,0.04258417382836224,0.04157838232003708,0.0365598928268018,0.03572264898203287,0.034704941,0.03410517380945331,0.0121550075,0.01201897068635284,0.023618903876803182,0.0024882081586120055,2026-04-21_05-32-06,True,primary_open_floor_fit_authoritative,0.027283610538090263,0.017657454789089182,0.01543378604610258
2026-04-21_00-16-10,3757,1,0.039823975586254654,0.04059063050974665,0.02832533189938781,0.028956761835139268,0.019252263,0.019425462266421913,0.008941154,0.008893713977711742,-0.019251089631458333,0.003144377398590599,2026-04-21_00-16-10,True,primary_open_floor_fit_authoritative,0.03430247806398148,0.026878339329649562,0.02047433384415106
2026-04-20_12-10-58,2925,1,0.04035482301988178,0.04095599864755838,0.027066004325470086,0.027532750585276728,0.015359407,0.015325960410649552,0.003674954,0.0033954744560560027,-0.014897243568145915,0.002341457178725324,2026-04-20_12-10-58,True,primary_open_floor_fit_authoritative,0.0356483649477145,0.027977442201207736,0.022853274606811566
2026-04-20_08-38-39,7284,1,0.05622535775152191,0.05885192614115432,0.04229161872130697,0.04408504954824475,0.036814327499999994,0.036713919099348416,0.0001673695,0.00020321657777445503,-0.04671501426882991,0.003651488118265656,2026-04-20_08-38-39,True,open_floor_fit_downweighted,0.056141320109295866,0.04248692457048695,0.03654920813713403
diag003,5580,1,0.08523812922205401,0.09049030160816694,0.07495094215232975,0.0801872823775544,0.085086003,0.09297864708056884,-0.0124400895,-0.014738046728411664,-0.06161764029839849,0.0036603607590331134,diag003,True,diag_validation_only,0.08503230164347471,0.038712164739976,0.019756627490912913
