group,count,run_count,baseline_rmse_nm,corrected_rmse_nm,baseline_mae_nm,corrected_mae_nm,baseline_median_abs_nm,corrected_median_abs_nm,baseline_signed_median_nm,corrected_signed_median_nm,rmse_improvement_fraction,median_predicted_opposing_nm,force_domain_stribeck_rmse_nm,rational_residual_reference_rmse_nm,standalone_contact_traction_rmse_nm,true_patch_corrected_rmse_nm,true_patch_run_balanced_rmse_nm,rational_residual_corrected_rmse_nm,cubic_force_only_partition_rmse_nm
aux_downweighted_validation,14448,13,0.05126637392308135,0.05363056555219238,0.03305637759772979,0.03511726664645229,0.016359514999999998,0.01789771665209386,-0.0012553224999999999,-0.001412389966025864,-0.046115834770334964,0.001666683369085607,0.048819706958314515,0.027490242677710965,0.019197677203604394,0.027446247485824863,0.02774458018521944,0.027490242677710965,0.029397120490599445
diag_validation_only,11108,3,0.0846209251204878,0.0897932122123302,0.0738060716588945,0.07893308885804964,0.082360023,0.09012531826783823,-0.006359523000000001,-0.007244130745774605,-0.061123027011082985,0.0036603978442433403,0.08441017836709906,0.03848912769383371,0.0200297483797947,0.02568541911037413,0.025487788313141295,0.03848912769383371,0.029430103867343255
open_floor_fit_downweighted,31165,9,0.043194073119807955,0.04457555538513471,0.027849684910123535,0.02861161232065726,0.013314394,0.013409419304766931,0.000637863,0.0006856076310692836,-0.031983144110881184,0.002737551488452546,0.04150718685740355,0.03282316561347566,0.0279518364973881,0.035267314697039254,0.03242178676581748,0.03282316561347566,0.03309252577361895
open_floor_validation_only,14542,9,0.01693070910006944,0.017473932194875842,0.010368821404827396,0.010874905853744702,0.005201232,0.005754562535380562,-0.000858939,-0.0005743074491048365,-0.0320850763896341,0.0014425096082312273,0.01139376781450519,0.011206860684196811,0.007665310996355701,0.009293772489079357,0.009341667788185879,0.011206860684196811,0.010491392588553741
primary_open_floor_fit_authoritative,47317,15,0.036866176895009706,0.03647888207901395,0.025480195736437217,0.025138384825103298,0.016044602,0.015726133500464885,0.001648731,0.0017367408277400836,0.01050542390383253,0.0022465822859782064,0.027907821180421354,0.021083018384621146,0.01668802365707484,0.01950812151012949,0.019442783671922283,0.021083018384621146,0.018340962145958675
validation_non_authoritative,71263,34,0.05023383204822011,0.052641939906321406,0.032501511564374225,0.034154986436742724,0.014290832,0.014811193416292681,-0.000435785,-0.00039272352624048715,-0.047937968494812896,0.002633415910665081,,0.029680153603611304,0.022156916394299255,0.028585353044834484,0.02555371256103397,0.029680153603611304,0.028488509193164188
