branch,interpretation,optimizer,seed,sample_nm_evaluations,sample_nm_converged,full_coordinate_evaluations,final_objective,k1,k2,k3,peak_frac,decay0,launch_max_abs_command,peak_extra_nm,total_optimizer_evaluations,boundary_hits
base,x1_shifted_stribeck_peak_slope,differential_evolution(sample objective),global,2210,,,0.028145352199552096,0.001601601740537872,22.8058338117087,1.0345926463755981,0.9864582197865871,0.04898099109486958,,,,
base,x1_shifted_stribeck_peak_slope,Nelder-Mead(sample objective) + coordinate descent(full objective),0,521,False,81,0.03132235398758297,0.0005868208805123769,18.67126940327877,1.0303323709452639,0.9691079136272001,0.030104295403042946,0.6460000000000001,0.06572257907955606,,
base,x1_shifted_stribeck_peak_slope,Nelder-Mead(sample objective) + coordinate descent(full objective),1,521,False,81,0.03129632229860085,0.42209500908757713,13.834310485388746,1.085177666072809,0.921509787976754,0.0008429951633878094,0.6460000000000001,0.06556829184334517,,
base,x1_shifted_stribeck_peak_slope,Nelder-Mead(sample objective) + coordinate descent(full objective),2,521,False,81,0.031303282236716024,0.18796079624306505,14.893116163952024,1.1323283225829974,0.8831707729962109,0.003112767248243599,0.6460000000000001,0.06557751660995628,,
base,x1_shifted_stribeck_peak_slope,Nelder-Mead(sample objective) + coordinate descent(full objective),3,520,False,81,0.03129723419492847,0.09334715314136431,12.04269545321178,1.1187022049264574,0.8938844918994653,0.0005853160586732627,0.6460000000000001,0.06558320119787052,,
base,x1_shifted_stribeck_peak_slope,Nelder-Mead(sample objective) + coordinate descent(full objective),4,520,False,81,0.03130158373242626,0.2717910337747309,16.830936810868117,1.0278056947410308,0.974788379007884,0.0233949336737091,0.646,0.06599038072076849,,
base,x1_shifted_stribeck_peak_slope,Nelder-Mead(sample objective) + coordinate descent(full objective),5,520,False,81,0.03129724766707879,0.37742201423099486,13.066560659135892,1.0074042366158447,0.9926274836087866,0.0015131425620768606,0.6460000000000001,0.06558285005287236,,
base,x1_shifted_stribeck_peak_slope,Nelder-Mead(sample objective) + coordinate descent(full objective),6,521,False,81,0.03133483916715511,0.12030476684703935,2.449420787076602,1.0843401433517805,0.9222452781304206,0.0010514706591068328,0.6460000000000001,0.06560974094248802,,
base,x1_shifted_stribeck_peak_slope,Nelder-Mead(sample objective) + coordinate descent(full objective),7,521,False,81,0.031328203171656355,0.0044941681684843365,0.8507837896812688,1.0100326920533793,0.9900445072552719,0.0019892141695715643,0.6460000000000002,0.06557641954944457,,
base,x1_shifted_stribeck_peak_slope,Nelder-Mead(sample objective) + coordinate descent(full objective),8,520,False,81,0.031335892186255807,0.10192531654158894,0.8820384430736802,1.0170937488909453,0.9830968372205005,0.0024128010139716194,0.6460000000000002,0.0656750881624576,,
base,x1_shifted_stribeck_peak_slope,Nelder-Mead(sample objective) + coordinate descent(full objective),9,521,False,81,0.03133336704310476,0.23782620151797682,3.850379642351848,1.06883706720803,0.9356728712745634,0.0016055413700547829,0.6460000000000001,0.06572794445108196,,
base,x1_shifted_stribeck_peak_slope,Nelder-Mead(sample objective) + coordinate descent(full objective),10,520,False,81,0.03128217274454708,0.2552416542787582,12.910692258678948,1.009832182439528,0.9902914244039872,0.0008515779826374308,0.6460000000000001,0.06563899256979584,,
base,x1_shifted_stribeck_peak_slope,Nelder-Mead(sample objective) + coordinate descent(full objective),11,520,False,81,0.031303308216551605,0.02236312594445513,3.6792295788542346,1.0103043950191204,0.9897985295649016,0.0010351134970391883,0.646,0.06556828467446243,,
base,x1_shifted_stribeck_peak_slope,Nelder-Mead(sample objective) + coordinate descent(full objective),12,520,False,81,0.0312900652627657,0.22407467189045632,10.080183097659917,1.0175816913576579,0.9827537147041785,0.0010349346295852266,0.6460000000000001,0.06563030669158877,,
base,x1_shifted_stribeck_peak_slope,final coordinate polish(full objective),best,,,121,0.03128125861735749,0.24037753749310675,12.895828141893295,1.009832182439528,0.990248528290484,0.0008943914819282103,0.6460000000000002,0.06558665697801078,10150,k1:low;peak_frac:high;decay0:low
base,line_reaches_x2,differential_evolution(sample objective),global,2210,,,0.027944680691242334,0.005089746170956098,0.7699067439682019,1.0166056450907588,0.991202730716394,0.013982839166863438,,,,
base,line_reaches_x2,Nelder-Mead(sample objective) + coordinate descent(full objective),0,520,False,81,0.031241903415270562,0.0015977001863693903,0.9681937470086438,1.0164417965664043,0.9900085637740688,0.012465276222004273,0.646,0.08370534318121337,,
base,line_reaches_x2,Nelder-Mead(sample objective) + coordinate descent(full objective),1,520,False,81,0.031356253007558704,7.053371483080077,7.053371489602221,1.013839498775739,0.9911522913632629,0.007022914071661957,0.6460000000000001,0.10280108293203767,,
base,line_reaches_x2,Nelder-Mead(sample objective) + coordinate descent(full objective),2,520,False,81,0.03135800546804214,0.10608441181408805,2.58800536364482,1.02338227995012,0.9768420281969001,0.0005111576270305608,0.6460000000000001,0.09206241946973734,,
base,line_reaches_x2,Nelder-Mead(sample objective) + coordinate descent(full objective),3,521,False,81,0.03126931271403076,0.028853365987731836,32.65388306881091,1.044617534840956,0.9850123183379577,0.08145665816581675,0.6460000000000001,0.07411707888814534,,
base,line_reaches_x2,Nelder-Mead(sample objective) + coordinate descent(full objective),4,521,False,81,0.03123450771388158,0.18155844909978688,1.4205695715046678,1.0151360371855396,0.990466806323559,0.012709706418036164,0.6460000000000001,0.07825240555938898,,
base,line_reaches_x2,Nelder-Mead(sample objective) + coordinate descent(full objective),5,520,False,81,0.031400571889635666,0.28887643646640143,1.2842243540342844,1.394355613380351,0.7158215357824885,0.005557956774266267,0.646,0.07320270891558033,,
base,line_reaches_x2,Nelder-Mead(sample objective) + coordinate descent(full objective),6,521,False,81,0.03137822505336084,0.11016165317043562,5.435005130161045,1.1771172688747116,0.8503807945327142,0.0017437165405477105,0.646,0.08775580494275909,,
base,line_reaches_x2,Nelder-Mead(sample objective) + coordinate descent(full objective),7,521,False,81,0.031232932914105452,0.0005013360379153973,6.105220786220355,1.0184569878779146,0.9899782256213978,0.021346972989038596,0.6460000000000001,0.07558925914549694,,
base,line_reaches_x2,Nelder-Mead(sample objective) + coordinate descent(full objective),8,520,False,81,0.031256905554222295,0.013019909384762872,2.451943147799103,1.0002277807164612,0.9907987055246129,0.01477139298754369,0.646,0.09374584858428248,,
base,line_reaches_x2,Nelder-Mead(sample objective) + coordinate descent(full objective),9,520,False,81,0.03126125859714389,0.009984449547897014,2.4510336518563234,1.0001585721768531,0.9907773867094726,0.016199647465683028,0.6460000000000001,0.08890068220892297,,
base,line_reaches_x2,Nelder-Mead(sample objective) + coordinate descent(full objective),10,520,False,81,0.031237314331349755,0.031922449526324705,0.9843242247156396,1.0164096216825023,0.9900106898969305,0.012446482219784543,0.6460000000000001,0.08357966365817368,,
base,line_reaches_x2,Nelder-Mead(sample objective) + coordinate descent(full objective),11,520,False,81,0.03122957074919516,0.05890458961876881,6.199705665401055,1.0183990817001274,0.9904425969674683,0.019093893008330764,0.646,0.07975098738268885,,
base,line_reaches_x2,Nelder-Mead(sample objective) + coordinate descent(full objective),12,521,False,81,0.031233865982900587,0.7766549684977313,6.002378015082288,1.0181507751428351,0.9900850654203862,0.021016272750845066,0.6460000000000001,0.07553594036012895,,
base,line_reaches_x2,final coordinate polish(full objective),best,,,121,0.031227887535383508,0.05561090887738511,6.1964119846596715,1.0154800222791405,0.9904063985682378,0.019658967757622183,0.6460000000000001,0.07109393886699353,10149,k1:low;peak_frac:high;decay0:low
base,line_meets_x1,differential_evolution(sample objective),global,2210,,,0.028446232478948574,0.0005000000000000001,60.00049999999999,1.012683538196718,0.9819797593933403,0.03332755199562422,,,,
base,line_meets_x1,Nelder-Mead(sample objective) + coordinate descent(full objective),0,493,True,81,0.031368235389796315,0.0004999968769316207,60.00049999687686,1.0098977049667324,0.9903382099051209,0.009741094834729768,0.646,0.06387069144770327,,
base,line_meets_x1,Nelder-Mead(sample objective) + coordinate descent(full objective),1,520,False,81,0.031533495572416026,3.058676362303741,8.169322960718912,1.7409293589693873,0.5781946362373287,0.02085152710504941,0.6460000000000001,0.039985971766740534,,
base,line_meets_x1,Nelder-Mead(sample objective) + coordinate descent(full objective),2,520,False,81,0.031536847069082184,0.3295465781551028,1.190102624763698,1.304915128462987,0.7681638058194812,0.009988910499736896,0.646,0.052257022274384834,,
base,line_meets_x1,Nelder-Mead(sample objective) + coordinate descent(full objective),3,521,False,81,0.03354558262216329,0.007254604860575645,0.08408887499410717,1.940909261022283,0.4981442898877351,0.33777223962682157,0.6460000000000001,0.018867015044272434,,
base,line_meets_x1,Nelder-Mead(sample objective) + coordinate descent(full objective),4,521,False,81,0.03286225098957645,2.183396123115136,39.56026315795428,2.7283801867939412,0.14486152410084854,0.16036425443650762,0.646,0.023238879704194776,,
base,line_meets_x1,Nelder-Mead(sample objective) + coordinate descent(full objective),5,520,False,81,0.03153705238551576,0.1010290205948636,13.910223149933627,1.7225811858337368,0.5789012844373184,0.005066501902174721,0.6460000000000002,0.05832351786654064,,
base,line_meets_x1,Nelder-Mead(sample objective) + coordinate descent(full objective),6,520,False,81,0.03153690424086985,0.7937923242750754,1.0487670748150588,1.290347753469779,0.7766567493325852,0.00973215021183482,0.6460000000000001,0.05278198916706794,,
base,line_meets_x1,Nelder-Mead(sample objective) + coordinate descent(full objective),7,520,False,81,0.03280072906759674,0.0024124756237374,0.8484029240077975,1.6639642479451755,0.43657016821166705,0.011937565813071779,0.6460000000000001,0.02396158000972913,,
base,line_meets_x1,Nelder-Mead(sample objective) + coordinate descent(full objective),8,520,False,81,0.033007747339864085,17.04297182287526,17.04297183431221,1.5769027567024243,0.7643425096483675,0.8544039909237879,0.646,0.022061215372294968,,
base,line_meets_x1,Nelder-Mead(sample objective) + coordinate descent(full objective),9,520,False,81,0.0335941553261455,0.022482532696129872,0.04068239507330194,1.9410138547385893,0.5110995849044608,0.3787698140191752,0.6460000000000002,0.018609480748769888,,
base,line_meets_x1,Nelder-Mead(sample objective) + coordinate descent(full objective),10,520,False,81,0.033262279467964145,0.031151045825714853,0.031499002111914524,6.027405021805396,0.66486530062801,1.4011321397364571,0.6460000000000001,0.02117974422005017,,
base,line_meets_x1,Nelder-Mead(sample objective) + coordinate descent(full objective),11,521,False,81,0.033546555333118816,0.007339602754439467,0.08409128166578785,1.940939495245715,0.4975708641753154,0.33758829900075116,0.6460000000000001,0.01886334754076042,,
base,line_meets_x1,Nelder-Mead(sample objective) + coordinate descent(full objective),12,521,False,81,0.031535032482809124,5.832249339466473,6.351659333934717,1.5503468588365488,0.6418067989818823,0.02153694637992597,0.6460000000000001,0.04056572785361973,,
base,line_meets_x1,final coordinate polish(full objective),best,,,121,0.03136761985747153,0.0004999968769316207,60.00049999687686,1.012800717675244,0.989957751714787,0.008874676574318296,0.646,0.06935053454088538,10121,k1:low;k2:high;peak_frac:high;decay0:low
base,line_maintains_peak,differential_evolution(sample objective),global,2210,,,0.028251954729326536,0.0005000000000000001,54.431648444818734,1.0386004342187407,0.9671430718094717,0.010255834928071517,,,,
base,line_maintains_peak,Nelder-Mead(sample objective) + coordinate descent(full objective),0,520,False,81,0.03136501999395632,0.000688591051116598,44.6233611222766,1.0387024208048161,0.9672196064964218,0.02459994498956013,0.6460000000000001,0.06787662328015484,,
base,line_maintains_peak,Nelder-Mead(sample objective) + coordinate descent(full objective),1,520,False,81,0.031295688749879015,0.2651784586147213,10.578570482734602,1.0774186828885932,0.9281440840724864,0.0008580078006524286,0.6460000000000001,0.0655679972724892,,
base,line_maintains_peak,Nelder-Mead(sample objective) + coordinate descent(full objective),2,521,False,81,0.031310122829787436,0.04747524958847895,8.54591707918356,1.1320901284585505,0.8832820964323005,0.0013095678250990104,0.6460000000000001,0.06563624424016695,,
base,line_maintains_peak,Nelder-Mead(sample objective) + coordinate descent(full objective),3,520,False,81,0.03129129939582005,0.07847555277454767,12.6118629253812,1.0833572097381816,0.9230511792396477,0.0005587573695297269,0.6460000000000001,0.06557459917503665,,
base,line_maintains_peak,Nelder-Mead(sample objective) + coordinate descent(full objective),4,520,False,81,0.03129751956035034,0.15536102431811774,16.89524242905644,1.0256416620463837,0.9749540860088244,0.018363268793647088,0.6460000000000002,0.06556832723721498,,
base,line_maintains_peak,Nelder-Mead(sample objective) + coordinate descent(full objective),5,520,False,81,0.03129487392961096,0.30328288264999553,8.10105611769187,1.0119187330268429,0.98822202614124,0.0007166630827889374,0.6460000000000001,0.06556801255342923,,
base,line_maintains_peak,Nelder-Mead(sample objective) + coordinate descent(full objective),6,521,False,81,0.03137345247480862,0.31614428527470073,3.2335799467078497,1.1223950770395688,0.8901143760116366,0.006877025933855318,0.646,0.06666049529206076,,
