objective,role,scenario,score,rms_early_norm,rms_late_norm,late_p2p_norm,heading_late_abs_rad,sign_changes,saturation_fraction,accel_cmd_rms_over_limit,first_cross_s,final_yaw_rate_error,final_heading_error
balanced,current,launch_0_to_1_radps,68.15089331033117,0.25563179588073703,0.00346312555489169,0.014926715097097865,0.0,9.0,0.008571428571428572,0.22109542608028918,0.029,-0.0013528673623903753,0.0
balanced,current,yaw_rate_0_to_9_radps,40.08627584409599,0.2491220469027362,0.0001553164033786731,0.0007365367981828383,0.0,8.0,0.02181818181818182,0.3000253445702706,0.036000000000000004,-0.0003814534626123134,0.0
balanced,current,yaw_rate_9_to_minus9_radps,43.807607187104146,0.25392578312329955,3.9596156217168445e-05,0.00021045746625356386,0.0,7.0,0.0512,0.5734082057780271,0.054,-0.00013786575756569164,0.0
balanced,current,combined_3mps_5p5radps,40.322241652522166,0.2557237217026937,0.0005650720008566967,0.002751710384995705,0.0,8.0,0.010526315789473684,0.20236329817638724,0.029,0.0010509718607210061,0.0
balanced,current,heading_correction_15deg_at_3mps,11801.923538710129,25.981837916057806,53.53556977012567,60.6566333657966,3.4164058411049956,4.0,0.9776470588235294,42.38943109144388,nan,-14.449119796445652,-6.715499905860048
balanced,selected,launch_0_to_1_radps,36.521689092669064,0.23335198147251485,0.00019148665484189085,0.0007037418031768938,0.0,3.0,0.0,0.096387663522005,0.045,5.423696524842203e-05,0.0
balanced,selected,yaw_rate_0_to_9_radps,23.542220753292007,0.23335198147251487,2.93370269331738e-06,1.0780008500669661e-05,0.0,3.0,0.0,0.13411178374414295,0.045,2.765606854637781e-07,0.0
balanced,selected,yaw_rate_9_to_minus9_radps,25.51127668059684,0.2501221686774946,5.148605906488165e-07,3.0479940588258437e-06,0.0,2.0,0.0264,0.26907890130163864,0.056,-4.2661017829459524e-08,0.0
balanced,selected,combined_3mps_5p5radps,23.520150483722855,0.23335198147251493,1.4729341492333501e-05,7.25815975916336e-05,0.0,3.0,0.0,0.08819047034821317,0.045,-3.1207209918449053e-06,0.0
balanced,selected,heading_correction_15deg_at_3mps,62.44282029386374,0.6355557364131534,0.049330473754648906,0.05891566190849602,0.010593544516673253,0.0,0.0,0.059121914639987054,nan,-0.034245266551989416,0.006473461641145095
launch_focused,current,launch_0_to_1_radps,136.00527888506403,0.25563179588073703,0.00346312555489169,0.014926715097097865,0.0,9.0,0.008571428571428572,0.22109542608028918,0.029,-0.0013528673623903753,0.0
launch_focused,current,yaw_rate_0_to_9_radps,43.88489785270013,0.2491220469027362,0.0001553164033786731,0.0007365367981828383,0.0,8.0,0.02181818181818182,0.3000253445702706,0.036000000000000004,-0.0003814534626123134,0.0
launch_focused,current,yaw_rate_9_to_minus9_radps,32.02093635200776,0.25392578312329955,3.9596156217168445e-05,0.00021045746625356386,0.0,7.0,0.0512,0.5734082057780271,0.054,-0.00013786575756569164,0.0
launch_focused,current,combined_3mps_5p5radps,30.163958323612537,0.2557237217026937,0.0005650720008566967,0.002751710384995705,0.0,8.0,0.010526315789473684,0.20236329817638724,0.029,0.0010509718607210061,0.0
launch_focused,current,heading_correction_15deg_at_3mps,6545.866361743871,25.981837916057806,53.53556977012567,60.6566333657966,3.4164058411049956,4.0,0.9776470588235294,42.38943109144388,nan,-14.449119796445652,-6.715499905860048
launch_focused,selected,launch_0_to_1_radps,72.98361783395448,0.23335198147251485,0.00019148665484189085,0.0007037418031768938,0.0,3.0,0.0,0.096387663522005,0.045,5.423696524842203e-05,0.0
launch_focused,selected,yaw_rate_0_to_9_radps,25.866938236197498,0.23335198147251487,2.93370269331738e-06,1.0780008500669661e-05,0.0,3.0,0.0,0.13411178374414295,0.045,2.765606854637781e-07,0.0
launch_focused,selected,yaw_rate_9_to_minus9_radps,18.675777611567693,0.2501221686774946,5.148605906488165e-07,3.0479940588258437e-06,0.0,2.0,0.0264,0.26907890130163864,0.056,-4.2661017829459524e-08,0.0
launch_focused,selected,combined_3mps_5p5radps,17.626884292239907,0.23335198147251493,1.4729341492333501e-05,7.25815975916336e-05,0.0,3.0,0.0,0.08819047034821317,0.045,-3.1207209918449053e-06,0.0
launch_focused,selected,heading_correction_15deg_at_3mps,27.556365478931436,0.3469697235896509,0.1258495278660092,0.052181402079837486,0.07178203666044862,0.0,0.0,0.03154453845114584,nan,-0.11131983041877519,0.05924138244495414
broad_envelope,current,launch_0_to_1_radps,44.04682306423156,0.25563179588073703,0.00346312555489169,0.014926715097097865,0.0,9.0,0.008571428571428572,0.22109542608028918,0.029,-0.0013528673623903753,0.0
broad_envelope,current,yaw_rate_0_to_9_radps,42.2452313222969,0.2491220469027362,0.0001553164033786731,0.0007365367981828383,0.0,8.0,0.02181818181818182,0.3000253445702706,0.036000000000000004,-0.0003814534626123134,0.0
broad_envelope,current,yaw_rate_9_to_minus9_radps,53.77827435148377,0.25392578312329955,3.9596156217168445e-05,0.00021045746625356386,0.0,7.0,0.0512,0.5734082057780271,0.054,-0.00013786575756569164,0.0
broad_envelope,current,combined_3mps_5p5radps,50.50602446914418,0.2557237217026937,0.0005650720008566967,0.002751710384995705,0.0,8.0,0.010526315789473684,0.20236329817638724,0.029,0.0010509718607210061,0.0
broad_envelope,current,heading_correction_15deg_at_3mps,14445.014196827458,25.981837916057806,53.53556977012567,60.6566333657966,3.4164058411049956,4.0,0.9776470588235294,42.38943109144388,nan,-14.449119796445652,-6.715499905860048
broad_envelope,selected,launch_0_to_1_radps,20.804859756839996,0.2374755328568958,0.00011805015993941793,0.00034404313169500433,0.0,2.0,0.0,0.07842485136053139,0.052000000000000005,-1.064953934104551e-05,0.0
broad_envelope,selected,yaw_rate_0_to_9_radps,21.845922034073222,0.23747553285689577,1.1069771718218143e-06,6.3566832960838665e-06,0.0,2.0,0.0,0.10911870158836144,0.052000000000000005,2.637244289616092e-07,0.0
broad_envelope,selected,yaw_rate_9_to_minus9_radps,30.886779978480813,0.24842506731327335,2.139850069068061e-07,7.624190402961201e-07,0.0,2.0,0.0208,0.21384788883188105,0.058,4.2292821689216e-08,0.0
broad_envelope,selected,combined_3mps_5p5radps,25.973835635816933,0.2374755328568958,8.488810297264419e-06,2.905986051857858e-05,0.0,2.0,0.0,0.07175528762803461,0.052000000000000005,2.9533853265206744e-06,0.0
broad_envelope,selected,heading_correction_15deg_at_3mps,76.78570497978491,0.6647476482058147,0.037727417176621106,0.04730742205741021,0.007709872167923712,0.0,0.0,0.05680706868230604,nan,-0.016448938239254522,0.004402462829218412
