objective,role,score,current_score,score_delta_vs_current_pct,velocity_kp,velocity_kd,heading_kp,heading_kd,yawrate_kp,yawrate_kd
balanced,selected,173.2281573041445,12001.78180670418,-98.55664633723487,5.5,0.01,600.0,80.0,60.0,5.0
balanced,current,12001.78180670418,12001.78180670418,0.0,5.5,0.01,9718.0,0.0,126.0,5.0
launch_focused,selected,163.412983452891,6790.937933157255,-97.59366106624219,5.5,0.01,300.0,112.0,60.0,5.0
launch_focused,current,6790.937933157255,6790.937933157255,0.0,5.5,0.01,9718.0,0.0,126.0,5.0
broad_envelope,selected,178.47410238499586,14646.078300034615,-98.78142053641366,5.5,0.01,600.0,80.0,48.0,5.0
broad_envelope,current,14646.078300034615,14646.078300034615,0.0,5.5,0.01,9718.0,0.0,126.0,5.0
