group,count,run_count,baseline_rmse_nm,brush_rmse_nm,baseline_mae_nm,brush_mae_nm,baseline_median_abs_nm,brush_median_abs_nm,baseline_signed_median_nm,brush_signed_median_nm,run_balanced_baseline_rmse_nm,run_balanced_brush_rmse_nm,rmse_improvement_fraction,run_id,dataset_split,variant_c_rmse_nm,force_domain_stribeck_rmse_nm,rational_residual_rmse_nm,true_traction_testbed_rmse_nm,standalone_contact_rmse_nm
2026-05-04_20-35-47,3456,1,0.03584595564794367,0.011243561851598164,0.028876796461805552,0.008316872933830483,0.025485003500000002,0.006405304910027917,-0.009360000500000002,-0.001067810047712224,0.03584595564794367,0.011243561851598164,0.6863366689948142,2026-05-04_20-35-47,open_floor_fit_downweighted,0.028076443199331575,0.02095614161732105,0.020127808869544805,0.016964678124879697,0.011589046852084053
2026-05-04_16-57-53,1761,1,0.023277853459827615,0.009480214632965117,0.01794051859681999,0.007799482962586904,0.013238941,0.007304038064759099,0.000686103,0.0003116767561906962,0.02327785345982761,0.009480214632965115,0.5927367336801113,2026-05-04_16-57-53,open_floor_validation_only,0.01934116142597289,0.015366476488899375,0.015838560861422477,0.011275094881834886,0.00983796163679149
2026-04-22_12-10-34,2187,1,0.016217132975038465,0.012138981239889827,0.013081637976680384,0.010310657203539382,0.011327229,0.009916213050751745,0.003115614,0.0011246870421561125,0.01621713297503847,0.012138981239889827,0.2514718070959744,2026-04-22_12-10-34,open_floor_fit_downweighted,0.014402919863369421,0.01348701867968651,0.013202689482483838,0.012159883749152972,0.012330360089918665
2026-04-22_01-06-32,1031,1,0.04497527945188074,0.01302376520313288,0.03335614529679923,0.010307711057362206,0.026813516,0.009322726701266732,-0.009991152,-0.0013496726783751457,0.04497527945188073,0.013023765203132876,0.7104239181644871,2026-04-22_01-06-32,primary_open_floor_fit_authoritative,0.018608488843215733,0.033937937440801695,0.016861102635710126,0.01511997085818717,0.01230667486040885
2026-04-21_05-32-06,8880,1,0.042584173842427964,0.01595171205907868,0.03655989283671171,0.013454988007804747,0.034704941,0.012454804024839408,-0.012155007499999999,-0.0008397687356029086,0.042584173842427964,0.01595171205907868,0.6254075019019042,2026-04-21_05-32-06,primary_open_floor_fit_authoritative,0.023754464601601764,0.027283610538090263,0.017657454789089182,0.016411486644547828,0.016517464699137962
2026-04-21_00-16-10,3757,1,0.039823975581998204,0.0205599893000639,0.02832533189193506,0.015705314640805042,0.019252262000000006,0.012567572938339305,-0.008941154,-0.0023758943391232797,0.039823975581998204,0.0205599893000639,0.48372835711164613,2026-04-21_00-16-10,primary_open_floor_fit_authoritative,0.02774307957781035,0.03430247806398148,0.026878339329649562,0.02694791897779314,0.020650381351574418
2026-04-20_12-10-58,2925,1,0.040354823027093784,0.02212948961881994,0.02706600433162393,0.01691729858978116,0.015359406999999999,0.013264239661407651,-0.0036749550000000006,-0.0008369161204833149,0.040354823027093784,0.022129489618819942,0.4516271424616968,2026-04-20_12-10-58,primary_open_floor_fit_authoritative,0.02933811998534102,0.0356483649477145,0.027977442201207736,0.02831442123611043,0.02238198379643325
2026-04-20_08-38-39,7284,1,0.056225357740350174,0.03409657025461384,0.042291618711285006,0.026933430593299168,0.0368143275,0.026022361388450967,-0.00016737000000000013,0.00010173421271551342,0.05622535774035016,0.03409657025461383,0.3935730847267797,2026-04-20_08-38-39,open_floor_fit_downweighted,0.04131229724660652,0.056141320109295866,0.04248692457048695,0.044026014881039896,0.0342756822673276
diag003,5580,1,0.08523812922561612,0.028346510881097818,0.07495094215143369,0.02144517511083325,0.085086003,0.01536032114477252,0.012440089500000001,0.002625653802160005,0.08523812922561612,0.028346510881097818,0.6674433010364684,diag003,diag_validation_only,0.03897045903766876,0.08503230164347471,0.038712164739976,0.026234051082609632,0.023743327476242724
