dataset_split,axis,bin,rows,raw_row_share,final_weight_sum,final_weight_share
open_floor_validation_only,Af,"[2,4)",10,0.0056785917092561046,3.5835058190531575,0.008139706573658508
open_floor_validation_only,Af,"[4,8)",5,0.0028392958546280523,2.1894672888248667,0.004973236317603332
open_floor_validation_only,Af,"[8,inf)",4,0.002271436683702442,0.3048338752669265,0.0006924108467164714
open_floor_validation_only,YawAccel,"[-10,10)",282,0.16013628620102216,57.234873126083976,0.1300053904056422
open_floor_validation_only,YawAccel,"[-100,-40)",262,0.14877910278250994,63.356642124844726,0.14391060107857975
open_floor_validation_only,YawAccel,"[-200,-100)",8,0.004542873367404884,1.093867813925005,0.0024846514796706535
open_floor_validation_only,YawAccel,"[-40,-10)",479,0.2720045428733674,97.61912460290948,0.2217356606539682
open_floor_validation_only,YawAccel,"[10,40)",443,0.2515616127200454,124.89137509110012,0.28368285085996625
open_floor_validation_only,YawAccel,"[100,200)",9,0.005110732538330494,1.3324156988969327,0.0030264978964155203
open_floor_validation_only,YawAccel,"[40,100)",278,0.15786484951731972,94.72170154223971,0.21515434762575747
primary_open_floor_fit_authoritative,Vf,"[-0.05,0.05)",13883,0.29340406196504426,13168.641112138854,0.2783067631535992
primary_open_floor_fit_authoritative,Vf,"[-0.15,-0.05)",9109,0.1925100915104508,7139.128407421514,0.15087872027857882
primary_open_floor_fit_authoritative,Vf,"[-0.3,-0.15)",1952,0.04125367204176089,2803.6461722618205,0.05925240763915338
primary_open_floor_fit_authoritative,Vf,"[-0.5,-0.3)",1656,0.034997992264936495,2152.2940312312967,0.045486696773491486
primary_open_floor_fit_authoritative,Vf,"[-0.75,-0.5)",930,0.019654669569076653,1392.8122857609228,0.02943576908428097
primary_open_floor_fit_authoritative,Vf,"[-inf,-0.75)",1,2.1134053300082424e-05,18.02160073997497,0.00038086947059143587
primary_open_floor_fit_authoritative,Vf,"[0.05,0.15)",10104,0.2135384745440328,7139.128407421514,0.15087872027857882
primary_open_floor_fit_authoritative,Vf,"[0.15,0.3)",1891,0.039964494790455864,2852.561945698895,0.060286196202187274
primary_open_floor_fit_authoritative,Vf,"[0.3,0.5)",6907,0.14597290614366928,9165.271233472984,0.19369933075793022
primary_open_floor_fit_authoritative,Vf,"[0.5,0.75)",881,0.018619100957372615,1431.4300016322977,0.030251917949834048
primary_open_floor_fit_authoritative,Vf,"[0.75,1)",1,2.1134053300082424e-05,18.02160073997497,0.00038086947059143587
primary_open_floor_fit_authoritative,Vf,"[1,inf)",2,4.226810660016485e-05,36.04320147994994,0.0007617389411828717
primary_open_floor_fit_authoritative,YawRate,"[-0.1,0.1)",23988,0.5069636705623771,11430.843897926981,0.24158006420371075
primary_open_floor_fit_authoritative,YawRate,"[-0.5,-0.1)",5846,0.12354967559228185,7749.2883181892375,0.16377387235431742
primary_open_floor_fit_authoritative,YawRate,"[-1.5,-0.5)",1816,0.03837944079294968,3339.1451656782197,0.07056967190815605
primary_open_floor_fit_authoritative,YawRate,"[-12,-8)",490,0.010355686117040387,921.6761521301486,0.019478752924533434
primary_open_floor_fit_authoritative,YawRate,"[-3,-1.5)",1086,0.022951581883889512,1714.6265846890471,0.03623700963055661
primary_open_floor_fit_authoritative,YawRate,"[-5,-3)",1013,0.021408795992983495,2077.6331138799715,0.04390880896675553
primary_open_floor_fit_authoritative,YawRate,"[-8,-5)",975,0.020605701967580364,1815.032645954622,0.038358996680994614
primary_open_floor_fit_authoritative,YawRate,"[-inf,-12)",105,0.0022190755965086546,123.5766907883998,0.002611676369769846
primary_open_floor_fit_authoritative,YawRate,"[0.1,0.5)",6192,0.13086205803411036,7749.2883181892375,0.16377387235431742
primary_open_floor_fit_authoritative,YawRate,"[0.5,1.5)",1555,0.03286345288162817,2492.129930899396,0.05266880679035856
primary_open_floor_fit_authoritative,YawRate,"[1.5,3)",1051,0.022211890018386627,2149.7195168398716,0.04543228684912128
primary_open_floor_fit_authoritative,YawRate,"[12,inf)",720,0.015216518376059345,1400.5358289351977,0.029598998857391586
primary_open_floor_fit_authoritative,YawRate,"[3,5)",820,0.017329923706067587,1704.3285271233474,0.03601936993307579
primary_open_floor_fit_authoritative,YawRate,"[5,8)",801,0.01692837669336602,1333.598454758148,0.028184340823766255
primary_open_floor_fit_authoritative,YawRate,"[8,12)",859,0.0181541517847708,1315.576854018173,0.02780347135317482
primary_open_floor_fit_authoritative,Af,"[-0.25,0.25)",20423,0.4316207705475833,11934.935276293565,0.25223355826222216
primary_open_floor_fit_authoritative,Af,"[-1,-0.25)",8446,0.17849821417249614,9056.47960311339,0.1914001226433077
primary_open_floor_fit_authoritative,Af,"[-2,-1)",2671,0.056449056364520155,4232.2758644214355,0.08944514369933503
primary_open_floor_fit_authoritative,Af,"[-4,-2)",1243,0.02626962825200245,2287.3973796338546,0.04834197813965075
primary_open_floor_fit_authoritative,Af,"[-8,-4)",702,0.014836105416657861,1297.7174385308815,0.027426029514358085
primary_open_floor_fit_authoritative,Af,"[-inf,-8)",374,0.007904135934230826,859.6418194737645,0.01816771603173837
primary_open_floor_fit_authoritative,Af,"[0.25,1)",8368,0.1768497580150897,8925.759296316035,0.18863747271204925
primary_open_floor_fit_authoritative,Af,"[1,2)",2746,0.05803411036202633,4382.517162271127,0.09262035129596397
primary_open_floor_fit_authoritative,Af,"[2,4)",1308,0.02764334171650781,2419.752988205173,0.05113918862576184
primary_open_floor_fit_authoritative,Af,"[4,8)",659,0.013927341124754317,1149.8547785168205,0.024301092176528954
primary_open_floor_fit_authoritative,Af,"[8,inf)",377,0.007967538094131074,770.6683932239512,0.016287346899083864
primary_open_floor_fit_authoritative,YawAccel,"[-10,10)",9056,0.1913899866855464,6480.761423162878,0.13696475734224228
primary_open_floor_fit_authoritative,YawAccel,"[-100,-40)",8843,0.18688843333262886,7744.372123290761,0.16366997322929944
primary_open_floor_fit_authoritative,YawAccel,"[-200,-100)",1742,0.03681552084874358,3147.613291754699,0.06652182707599169
primary_open_floor_fit_authoritative,YawAccel,"[-40,-10)",7961,0.16824819832195617,7652.333917403038,0.16172483288042433
primary_open_floor_fit_authoritative,YawAccel,"[-400,-200)",524,0.01107424392924319,1503.0460200042194,0.031765454699245924
primary_open_floor_fit_authoritative,YawAccel,"[-800,-400)",32,0.0006762897056026376,109.41379629872189,0.0023123570027415493
primary_open_floor_fit_authoritative,YawAccel,"[10,40)",7895,0.16685335080415073,7527.645294170805,0.15908965687112042
primary_open_floor_fit_authoritative,YawAccel,"[100,200)",1947,0.04114800177526048,3523.9549853689095,0.07447545248787771
primary_open_floor_fit_authoritative,YawAccel,"[200,400)",486,0.010271149903840057,1426.5753472489664,0.030149319425343248
primary_open_floor_fit_authoritative,YawAccel,"[40,100)",8799,0.18595853498742523,8124.900748326724,0.17171208547301656
primary_open_floor_fit_authoritative,YawAccel,"[400,800)",32,0.0006762897056026376,76.38305297027694,0.0016142835126968518
