group,count,run_count,baseline_rmse_nm,brush_rmse_nm,baseline_mae_nm,brush_mae_nm,baseline_median_abs_nm,brush_median_abs_nm,baseline_signed_median_nm,brush_signed_median_nm,run_balanced_baseline_rmse_nm,run_balanced_brush_rmse_nm,rmse_improvement_fraction,variant_c_rmse_nm,force_domain_stribeck_rmse_nm,rational_residual_rmse_nm,true_traction_testbed_rmse_nm,standalone_contact_rmse_nm
primary_open_floor_fit_authoritative,47317,15,0.03686617689817292,0.016671848220291205,0.02548019573497897,0.011974000070774702,0.016044601999999998,0.00912888719631252,-0.001648731,-0.0003277335052722321,0.03636331610413756,0.01642545679597719,0.5477738777649749,0.024120243843366647,0.027907821180421354,0.021083018384621146,0.019519867783538924,0.016887630899899024
open_floor_fit_downweighted,31165,9,0.04319407311475569,0.02673770378330386,0.02784968490046526,0.01725497252076653,0.013314393999999993,0.00862908678164634,-0.000637863,-0.00015098732371502912,0.04144061576044249,0.024346379667866472,0.38098674528172954,0.033092937468878494,0.04150718685740355,0.03282316561347566,0.034836888756372,0.02663246465575232
open_floor_validation_only,14542,9,0.01693070910515983,0.006963848525099515,0.010368821407646818,0.00478020195153174,0.005201232,0.00355143715467728,0.0008589390000000001,0.00037204221242347687,0.013964777509564468,0.007314910654068325,0.588685359730314,0.014417143137851248,0.01139376781450519,0.011206860684196811,0.008849476125192358,0.007711279672300156
diag_validation_only,11108,3,0.08462092512247131,0.02861219540478924,0.07380607165700397,0.02130213014856557,0.0823600235,0.014824988563798436,0.006359523000000001,0.0017894660866262378,0.08439010276450123,0.028682237853581163,0.661878012283853,0.03876675590868194,0.08441017836709906,0.03848912769383371,0.02570299117809136,0.023947153628180864
aux_downweighted_validation,14448,13,0.0512663739166604,0.022071318374248257,0.033056377596483943,0.010622644210244687,0.016359514999999998,0.004775965960142082,0.0012553225,0.0007355916639635577,0.05745404365918576,0.021508413014791766,0.5694776773148065,0.028529439179585198,0.048819706958314515,0.027490242677710965,0.027895852240170986,0.020687366391557327
validation_non_authoritative,71263,34,0.050233832045862625,0.023428871916633842,0.03250151156017849,0.013995550855685913,0.014290832,0.006340534759075135,0.00043578499999999973,0.00036770640080723504,0.04895637249560505,0.02050699535419817,0.5336037295493665,0.03034172395599833,,0.029680153603611304,0.028415959824015274,0.022326615396330518
