restart,seed_name,objective,iterations,evaluations,converged,drive_scale,mu_peak,mu_longitudinal,mu_low_speed_lateral,mu_cornering,alpha_knee,long_speed_floor_mps,speed_gate_knee_mps,static_slip_knee_mps,longitudinal_slip_knee_mps,longitudinal_envelope_shape,launch_static_opposing_nm
1,standalone_like,0.0017529721208582403,260,363,False,0.0912733135238201,3.8423894955411444,0.3651613591344872,0.22194455288700515,0.12724418325315562,0.020355684975993896,0.028663529531490546,0.08008796936771108,0.03511570033957063,0.5319003498894423,0.9902476659321522,0.0073107595541877035
2,brush_high_corner,0.0017523135008164765,260,377,False,0.12087799133812009,3.564193514601329,0.36703003323895445,0.1823525528342873,0.16098095151801758,0.16184810027111954,0.5014963294758833,0.10330508448567642,0.021331594225489758,0.6052134339584841,0.7192350321743235,0.009713363776234277
3,soft_envelope,0.001759068545949472,260,378,False,0.09669120643207217,1.8624364390598602,0.29193238801168725,0.00441174197029154,0.21414681116109147,0.19144627190845273,0.39353333777622906,0.06889222628639144,0.04244159274827124,0.3429929108218624,0.7346954393770933,0.0077486644675461335
4,fast_gate,0.0017531587244247334,260,364,False,0.12969396428306873,3.8252771080791192,0.2861451006632066,0.0,0.17239372210832038,0.12031051347727806,0.7204107773797581,0.10545001652561527,0.020837267512867706,0.3866069367164144,1.540505158769207,0.01040445008499183
99,full_primary_polish,0.002018526823740998,360,513,False,0.11638357594342617,4.644782238496251,0.4763870794662478,0.042427306039006955,0.12800745458226762,0.040951100330669316,0.9965179559166014,0.09266762033809472,0.021326050406651517,0.6582863995112515,1.8051377536183806,0.009341084053676967
100,coordinate_stability_polish,0.002018388004951534,74,1179,True,0.11630427906842616,5.0,0.49648473571624796,0.042427306039006955,0.1334762045822676,0.04383860033066932,1.0,0.09186371408809471,0.021219956656651516,0.7,2.5,0.009341084053676967
