family,forward_velocity_bin_mps,yaw_rate_bin_radps,dataset,samples,old_rmse_radps,new_rmse_radps,delta_rmse_radps,relative_delta_pct,worsened_sample_fraction,mean_patch_delta_yaw_moment_nm,rmse_patch_delta_yaw_moment_nm
competition_aux,0.00,-2.00,competition_aux:0.00:-2.00,955,0.619716912,0.609831816,-0.009885096,-1.595099,0.041884817,-0.002442342,0.004103714
competition_aux,0.00,-2.50,competition_aux:0.00:-2.50,1544,0.666031111,0.658593453,-0.007437657,-1.116713,0.009067358,-0.001460749,0.002469232
competition_aux,0.00,-3.00,competition_aux:0.00:-3.00,1401,0.658315837,0.649294288,-0.009021548,-1.370398,0.000713776,-0.001646766,0.002244709
competition_aux,0.00,-3.50,competition_aux:0.00:-3.50,1455,0.649241434,0.638633548,-0.010607886,-1.633889,0.002061856,-0.001898166,0.002244986
competition_aux,0.00,-4.00,competition_aux:0.00:-4.00,945,0.661557166,0.645618984,-0.015938182,-2.409192,0.002116402,-0.002729773,0.003221922
competition_aux,0.00,-4.50,competition_aux:0.00:-4.50,318,0.750494496,0.732250494,-0.018244002,-2.430931,0.003144654,-0.003150522,0.003428546
competition_aux,0.00,-5.00,competition_aux:0.00:-5.00,273,0.750541133,0.731212109,-0.019329024,-2.575345,0.007326007,-0.003416048,0.003715772
competition_aux,0.00,-5.50,competition_aux:0.00:-5.50,269,0.761251756,0.742488905,-0.018762852,-2.464737,0.014869888,-0.003438146,0.003679741
competition_aux,0.00,-6.00,competition_aux:0.00:-6.00,1408,0.745262555,0.724968503,-0.020294051,-2.723074,0.002130682,-0.003077744,0.003180729
competition_aux,0.00,-6.50,competition_aux:0.00:-6.50,1353,0.718123361,0.696597321,-0.021526040,-2.997541,0.001478197,-0.003281869,0.003396044
competition_aux,0.00,-7.00,competition_aux:0.00:-7.00,368,0.653310307,0.632367445,-0.020942862,-3.205653,0.005434783,-0.003740234,0.003986091
competition_aux,0.00,-7.50,competition_aux:0.00:-7.50,924,0.699964926,0.676881267,-0.023083659,-3.297831,0.001082251,-0.003637844,0.003678966
competition_aux,0.00,-8.00,competition_aux:0.00:-8.00,1661,0.731768864,0.705332150,-0.026436714,-3.612714,0.001204094,-0.003793679,0.003821876
competition_aux,0.00,-8.50,competition_aux:0.00:-8.50,262,0.757232528,0.726370804,-0.030861723,-4.075594,0.003816794,-0.004233070,0.004349104
competition_aux,0.00,0.00,competition_aux:0.00:0.00,140554,0.228658623,0.216800262,-0.011858362,-5.186055,0.236236607,-0.000579318,0.003269872
competition_aux,0.00,0.50,competition_aux:0.00:0.50,8776,0.373842993,0.342672345,-0.031170648,-8.337898,0.254899727,-0.000077783,0.007844974
competition_aux,0.00,1.00,competition_aux:0.00:1.00,2476,0.416058894,0.377439479,-0.038619415,-9.282199,0.088045234,0.000191830,0.009487763
competition_aux,0.00,1.50,competition_aux:0.00:1.50,807,0.557037788,0.527812331,-0.029225457,-5.246584,0.048327138,-0.002854930,0.011089997
competition_aux,0.00,12.00,competition_aux:0.00:12.00,171,0.602975680,0.579996699,-0.022978982,-3.810930,0.023391813,0.004550994,0.004669553
competition_aux,0.00,12.50,competition_aux:0.00:12.50,215,0.597100860,0.573508046,-0.023592815,-3.951228,0.018604651,0.004546802,0.004619334
competition_aux,0.00,19.50,competition_aux:0.00:19.50,108,0.740934390,0.702780860,-0.038153530,-5.149380,0.000000000,0.005313165,0.005316043
competition_aux,0.00,2.00,competition_aux:0.00:2.00,441,0.569185538,0.549570079,-0.019615458,-3.446233,0.074829932,-0.002169878,0.010565411
competition_aux,0.00,2.50,competition_aux:0.00:2.50,494,0.624508751,0.612873331,-0.011635420,-1.863132,0.022267206,-0.001630035,0.008464811
competition_aux,0.00,3.00,competition_aux:0.00:3.00,791,0.630468877,0.622645394,-0.007823483,-1.240899,0.006321113,0.000274668,0.004831791
competition_aux,0.00,3.50,competition_aux:0.00:3.50,633,0.641534663,0.632603642,-0.008931021,-1.392134,0.004739336,0.000758421,0.004163320
competition_aux,0.00,4.00,competition_aux:0.00:4.00,1043,0.629666328,0.619204771,-0.010461557,-1.661445,0.000958773,0.001958363,0.002195937
competition_aux,0.00,4.50,competition_aux:0.00:4.50,1016,0.640361611,0.628358669,-0.012002942,-1.874401,0.002952756,0.002281051,0.002410019
competition_aux,0.00,5.00,competition_aux:0.00:5.00,1288,0.618834635,0.605417987,-0.013416648,-2.168051,0.001552795,0.002479335,0.002579203
competition_aux,0.00,5.50,competition_aux:0.00:5.50,337,0.642364989,0.626786606,-0.015578383,-2.425161,0.008902077,0.003070686,0.003304261
competition_aux,0.00,6.00,competition_aux:0.00:6.00,117,0.706070203,0.686555597,-0.019514606,-2.763834,0.034188034,0.003933930,0.004404808
competition_aux,0.00,6.50,competition_aux:0.00:6.50,249,0.874380876,0.850887116,-0.023493760,-2.686902,0.012048193,0.003341374,0.003600496
competition_aux,0.00,7.00,competition_aux:0.00:7.00,544,0.878304737,0.851515660,-0.026789077,-3.050089,0.005514706,0.003382047,0.003510155
competition_aux,0.00,7.50,competition_aux:0.00:7.50,959,0.723752883,0.700973446,-0.022779436,-3.147405,0.004171011,0.003467967,0.003527900
competition_aux,0.00,8.00,competition_aux:0.00:8.00,1107,0.699049575,0.675263174,-0.023786402,-3.402677,0.001806685,0.003631754,0.003683982
competition_aux,0.00,8.50,competition_aux:0.00:8.50,138,0.754551633,0.729920864,-0.024630769,-3.264292,0.028985507,0.004015984,0.004200881
competition_aux,0.10,-0.50,competition_aux:0.10:-0.50,1788,0.370585609,0.341821969,-0.028763640,-7.761672,0.109060403,-0.003574346,0.006453869
competition_aux,0.10,-1.00,competition_aux:0.10:-1.00,480,0.333641155,0.318537278,-0.015103876,-4.526982,0.137500000,-0.002506647,0.004083848
competition_aux,0.10,-1.50,competition_aux:0.10:-1.50,155,0.461538273,0.427969997,-0.033568276,-7.273129,0.129032258,-0.005535284,0.007890430
competition_aux,0.10,-2.00,competition_aux:0.10:-2.00,87,0.631628986,0.594945751,-0.036683235,-5.807719,0.080459770,-0.008009663,0.008964257
competition_aux,0.10,0.00,competition_aux:0.10:0.00,20024,0.217967260,0.201639959,-0.016327301,-7.490713,0.250349581,-0.000832024,0.003363447
competition_aux,0.10,0.50,competition_aux:0.10:0.50,2636,0.384374644,0.354197229,-0.030177414,-7.851042,0.089150228,0.000057126,0.006381491
competition_aux,0.10,1.00,competition_aux:0.10:1.00,929,0.399595354,0.360760998,-0.038834356,-9.718420,0.068891281,0.000416561,0.007828516
competition_aux,0.10,1.50,competition_aux:0.10:1.50,470,0.431315495,0.361758549,-0.069556946,-16.126698,0.144680851,-0.001642762,0.011945297
competition_aux,0.10,2.00,competition_aux:0.10:2.00,138,0.530034162,0.478611478,-0.051422684,-9.701768,0.130434783,0.001584042,0.013171365
competition_aux,0.10,2.50,competition_aux:0.10:2.50,111,0.476444814,0.458843266,-0.017601548,-3.694352,0.378378378,-0.000922570,0.011277551
competition_aux,0.20,-0.50,competition_aux:0.20:-0.50,1877,0.285213984,0.273866896,-0.011347088,-3.978447,0.306872669,-0.002068627,0.003865220
competition_aux,0.20,-1.00,competition_aux:0.20:-1.00,481,0.378727455,0.364773158,-0.013954297,-3.684522,0.336798337,-0.002292679,0.004556826
competition_aux,0.20,-1.50,competition_aux:0.20:-1.50,159,0.398554332,0.378419156,-0.020135176,-5.052053,0.245283019,-0.004060574,0.006514291
competition_aux,0.20,0.00,competition_aux:0.20:0.00,9469,0.205624543,0.192954184,-0.012670359,-6.161890,0.297497096,-0.000517600,0.002815387
competition_aux,0.20,0.50,competition_aux:0.20:0.50,2857,0.326528468,0.307554752,-0.018973716,-5.810739,0.124606230,0.001417676,0.004104463
competition_aux,0.20,1.00,competition_aux:0.20:1.00,701,0.349231482,0.327636135,-0.021595347,-6.183677,0.285306705,0.003323114,0.006027471
competition_aux,0.20,1.50,competition_aux:0.20:1.50,251,0.520160804,0.484350876,-0.035809927,-6.884396,0.131474104,0.006447622,0.009049563
competition_aux,0.20,2.00,competition_aux:0.20:2.00,178,0.485594004,0.444242794,-0.041351210,-8.515593,0.061797753,0.008397956,0.010025586
competition_aux,0.20,2.50,competition_aux:0.20:2.50,123,0.584678542,0.540390093,-0.044288449,-7.574837,0.056910569,0.009294691,0.010536656
competition_aux,0.20,3.00,competition_aux:0.20:3.00,165,0.612774746,0.575434402,-0.037340344,-6.093649,0.072727273,0.008387755,0.009221020
competition_aux,0.20,3.50,competition_aux:0.20:3.50,106,0.637048372,0.580189906,-0.056858467,-8.925298,0.037735849,0.009126492,0.009626787
competition_aux,0.20,4.00,competition_aux:0.20:4.00,158,0.594030617,0.552111137,-0.041919479,-7.056788,0.037974684,0.006820434,0.007464671
competition_aux,0.20,4.50,competition_aux:0.20:4.50,108,0.599959314,0.569059658,-0.030899657,-5.150292,0.046296296,0.005936828,0.006552074
competition_aux,0.30,-0.50,competition_aux:0.30:-0.50,5951,0.298764750,0.281818067,-0.016946684,-5.672250,0.121492186,-0.002731655,0.003384430
competition_aux,0.30,-1.00,competition_aux:0.30:-1.00,1405,0.533048920,0.499481799,-0.033567120,-6.297193,0.108185053,-0.005498293,0.006210131
competition_aux,0.30,-1.50,competition_aux:0.30:-1.50,542,0.668404340,0.637378315,-0.031026025,-4.641805,0.066420664,-0.004832149,0.006279668
competition_aux,0.30,-2.00,competition_aux:0.30:-2.00,791,0.770829726,0.760908402,-0.009921324,-1.287097,0.025284450,-0.001708893,0.002931957
competition_aux,0.30,-2.50,competition_aux:0.30:-2.50,822,0.739194457,0.729657287,-0.009537170,-1.290211,0.013381995,-0.001566644,0.002156476
competition_aux,0.30,-3.00,competition_aux:0.30:-3.00,132,0.776172820,0.764909421,-0.011263399,-1.451146,0.075757576,-0.002825667,0.003906484
competition_aux,0.30,-3.50,competition_aux:0.30:-3.50,367,0.688047372,0.677184295,-0.010863076,-1.578827,0.046321526,-0.002313241,0.003145561
competition_aux,0.30,-4.00,competition_aux:0.30:-4.00,248,0.859013901,0.844332400,-0.014681501,-1.709111,0.028225806,-0.002520478,0.003389610
competition_aux,0.30,-4.50,competition_aux:0.30:-4.50,254,0.746527008,0.729894318,-0.016632690,-2.228009,0.055118110,-0.003160848,0.004129359
competition_aux,0.30,-5.00,competition_aux:0.30:-5.00,471,0.693862593,0.676875193,-0.016987400,-2.448237,0.044585987,-0.003222060,0.003960443
competition_aux,0.30,-5.50,competition_aux:0.30:-5.50,209,0.791819284,0.767864651,-0.023954632,-3.025265,0.090909091,-0.004794240,0.005866367
competition_aux,0.30,0.00,competition_aux:0.30:0.00,49364,0.123347871,0.117428544,-0.005919327,-4.798888,0.322866867,-0.000117283,0.001697180
competition_aux,0.30,0.50,competition_aux:0.30:0.50,5058,0.301573325,0.282860804,-0.018712521,-6.204966,0.091735864,0.001707306,0.003875503
competition_aux,0.30,1.00,competition_aux:0.30:1.00,755,0.498228383,0.465948098,-0.032280284,-6.479014,0.172185430,0.004482721,0.006366305
competition_aux,0.30,1.50,competition_aux:0.30:1.50,263,0.657564416,0.633928977,-0.023635440,-3.594392,0.102661597,0.004325531,0.006501505
competition_aux,0.30,2.00,competition_aux:0.30:2.00,559,0.773279318,0.763245187,-0.010034130,-1.297607,0.028622540,0.001996473,0.003858532
competition_aux,0.30,2.50,competition_aux:0.30:2.50,333,0.718641380,0.705659924,-0.012981457,-1.806389,0.027027027,0.002695627,0.004560523
competition_aux,0.30,3.00,competition_aux:0.30:3.00,97,0.729761381,0.712139306,-0.017622075,-2.414772,0.051546392,0.005635376,0.007473103
competition_aux,0.30,3.50,competition_aux:0.30:3.50,99,0.700776225,0.665734221,-0.035042003,-5.000456,0.050505051,0.006725896,0.007547478
competition_aux,0.30,4.00,competition_aux:0.30:4.00,117,0.743349351,0.717474280,-0.025875070,-3.480876,0.034188034,0.005301040,0.006353175
competition_aux,0.30,4.50,competition_aux:0.30:4.50,228,0.712497491,0.685430076,-0.027067414,-3.798949,0.008771930,0.005089462,0.005962195
competition_aux,0.30,5.00,competition_aux:0.30:5.00,155,0.731103523,0.711072616,-0.020030908,-2.739818,0.000000000,0.002923575,0.003313006
competition_aux,0.30,5.50,competition_aux:0.30:5.50,107,0.816719927,0.799105237,-0.017614690,-2.156760,0.018691589,0.003087741,0.003332389
competition_aux,0.40,-0.50,competition_aux:0.40:-0.50,1765,0.263594885,0.244994992,-0.018599893,-7.056242,0.122379603,-0.002593901,0.003369180
competition_aux,0.40,-1.00,competition_aux:0.40:-1.00,289,0.518981354,0.481402159,-0.037579195,-7.240953,0.107266436,-0.005263148,0.006903295
competition_aux,0.40,-1.50,competition_aux:0.40:-1.50,260,0.714899737,0.690314599,-0.024585137,-3.438963,0.088461538,-0.003494556,0.006271868
competition_aux,0.40,-2.00,competition_aux:0.40:-2.00,264,0.741797852,0.732407773,-0.009390079,-1.265854,0.075757576,-0.001844847,0.003940860
competition_aux,0.40,-2.50,competition_aux:0.40:-2.50,125,0.715073851,0.706725133,-0.008348718,-1.167532,0.088000000,-0.001730523,0.002693986
