name,gate_scope,reserve_yield,speed_knee_mps,util_knee,rel_weight,speed_fade_mps,force_sliding_nm,primary_rmse_nm,primary_regime_rmse_nm,validation_rmse_nm,validation_rb_rmse_nm,validation_regime_rmse_nm,forward_ge_0p5_rmse_nm,straight_rmse_nm,low_speed_yaw_rmse_nm,in_place_max_abs_command,in_place_extra_opposing_nm,score
per_patch_full_yaw,per_patch,full_yaw,0.5,0.16,1.0,0.64,0.064,0.019519867783538924,0.025468960334891207,0.028415959824015274,0.025616913915422836,0.033947273692536105,0.03139396275873249,0.01285662263094117,0.03648620354012467,0.6188342543836367,0.06093253408534723,0.03357278211795469
per_patch_full_yaw,per_patch,full_yaw,0.5,0.16,1.0,0.64,0.06741675635026155,0.01948355521260933,0.025484780442074945,0.028475399935612784,0.02557842610307953,0.03393763720836483,0.03138544943197411,0.012913121574158064,0.036526578270621696,0.6378440902940935,0.0641763006095179,0.033586361577707544
per_patch_longitudinal,per_patch,longitudinal,0.5,0.16,1.0,0.64,0.064,0.019560898454504393,0.025510000792136032,0.028466860740286145,0.02565802733987369,0.03398132504056965,0.03139133476254149,0.01299660739856221,0.03651888534335102,0.6188342543836367,0.06093253408534723,0.03361683351057422
per_patch_full_yaw,per_patch,full_yaw,0.5,0.16,0.75,0.64,0.064,0.019583834001199122,0.02551628554163853,0.028438123199266918,0.02565239267601289,0.03394685648730699,0.031398704825386294,0.012937646730130358,0.03650394468063974,0.6190379614038729,0.060967293881070535,0.03362077691417717
per_patch_full_yaw,per_patch,full_yaw,0.5,0.16,0.75,0.64,0.06741675635026155,0.019552052570269447,0.025542176580053772,0.02850304756860397,0.02560042718081984,0.03393593423154596,0.03138747490835703,0.012987000334398563,0.03655532673321331,0.6380594493724917,0.06421304866838991,0.03364389123946192
per_patch_longitudinal,per_patch,longitudinal,0.5,0.16,1.0,0.64,0.06741675635026155,0.019544746063710795,0.025540327762106112,0.028537379881025254,0.025628941151791127,0.0339791547369983,0.03138279571540611,0.013079868815538518,0.036570353363393385,0.6378440902940935,0.0641763006095179,0.03364566259311686
per_patch_full_yaw,per_patch,full_yaw,0.5,0.16,1.0,0.64,0.072,0.01950812151012949,0.025558070870838875,0.028585353044834484,0.02555371256103397,0.033945114959790336,0.03137562576121555,0.013030297515841062,0.0366295332255877,0.6633439213582842,0.06852749536825489,0.033658926231000245
per_patch_longitudinal,per_patch,longitudinal,0.5,0.16,0.75,0.64,0.064,0.019630112997786754,0.025564714841028856,0.028491160726978642,0.02569382701969779,0.03398174980098836,0.03139648200717768,0.013077190004134596,0.03654230669543394,0.6190379614038729,0.060967293881070535,0.03367236212220434
per_patch_full_yaw,per_patch,full_yaw,0.65,0.16,1.0,0.64,0.06741675635026155,0.019682618678795064,0.025577207666707274,0.02851454179448888,0.02578180808883915,0.03400935665374365,0.03154781623454287,0.013279235340340556,0.03652367347703364,0.6379637154185348,0.06419671298845377,0.03371031576726307
per_patch_longitudinal,per_patch,longitudinal,0.5,0.16,0.75,0.64,0.06741675635026155,0.019619612510630432,0.02560656511539083,0.028567502641536065,0.025651430879797484,0.033978468552182846,0.03138519962150423,0.013153283096759456,0.0366059722346346,0.6380594493724917,0.06421304866838991,0.033712191913834746
per_patch_full_yaw,per_patch,full_yaw,0.65,0.16,1.0,0.64,0.064,0.0197327618802105,0.025574361889925307,0.02846094412870824,0.02583636592110803,0.034026434539161966,0.031573675701344915,0.01323959939575007,0.036485156501889625,0.6189471286153388,0.060951794517470986,0.03371305669904324
per_patch_full_yaw,per_patch,full_yaw,0.5,0.16,0.75,0.64,0.072,0.01958620427948527,0.025633349026599153,0.028623032190094534,0.025560240734246207,0.03394297591217783,0.03137427203748326,0.013095596037951804,0.03667724748726877,0.6635749105302867,0.0685669104872026,0.033733787423439424
per_patch_longitudinal,per_patch,longitudinal,0.5,0.16,1.0,0.64,0.072,0.019600992157912382,0.0256361852387465,0.02866397218417367,0.02561861988844155,0.0339980166090253,0.0313730369439378,0.013236002218344643,0.036690684850538176,0.6633439213582842,0.06852749536825489,0.0337419424412397
per_patch_longitudinal,per_patch,longitudinal,0.65,0.16,1.0,0.64,0.064,0.019777715713880553,0.025619668997184562,0.028514418881322796,0.02587923753755101,0.03406211895028525,0.031572716985530325,0.013384711175709699,0.03651969383788436,0.6189471286153388,0.060951794517470986,0.033761788440042635
per_patch_full_yaw,per_patch,full_yaw,0.65,0.16,1.0,0.64,0.072,0.019691897325103062,0.025637278394883608,0.028618954822571548,0.025737376546335098,0.03400822044381135,0.03151584127596151,0.013376068420013728,0.03662649744642607,0.6634726021434476,0.06854945297089717,0.03376547663065897
per_patch_longitudinal,per_patch,longitudinal,0.65,0.16,1.0,0.64,0.06741675635026155,0.019748529465419724,0.025637938489989777,0.028579521681740407,0.025834334571264463,0.03405278949419052,0.03154680166851485,0.013451933115776487,0.036569793286131004,0.6379637154185348,0.06419671298845377,0.03377523768968606
per_patch_full_yaw,per_patch,full_yaw,0.65,0.16,0.75,0.64,0.064,0.019817032512912645,0.025641681067799994,0.028488420489957686,0.025834202346238774,0.03401771625030486,0.03165059938178663,0.013344248982876682,0.036491147351085794,0.6191015081602886,0.06097813725931704,0.03379104260009848
per_patch_full_yaw,per_patch,full_yaw,0.65,0.16,0.75,0.64,0.06741675635026155,0.019771179357188758,0.025655442326810864,0.028547348623835626,0.02576539858851452,0.03399947839093531,0.03161842183934317,0.013374539910387347,0.03654157846335422,0.6381267966894463,0.06422454055991694,0.03379815344180587
