group,count,run_count,baseline_rmse_nm,corrected_rmse_nm,rmse_delta_vs_baseline_pct,corrected_mae_nm,corrected_median_abs_nm,run_balanced_corrected_rmse_nm,median_pred_opposes_nm,mean_blend,run_id,dataset_split
2026-05-04_20-35-47,3456,1,0.035845955637305665,0.015602242066314734,-56.47419133087042,0.010885996401277142,0.007550958358040502,0.015602242066314734,0.02078715380184305,0.3986030271935493,2026-05-04_20-35-47,open_floor_fit_downweighted
2026-05-04_16-57-53,1761,1,0.023277853453219116,0.01014360504287235,-56.42379541886161,0.008030701201565611,0.006962599490426024,0.010143605042872348,0.0018723575491477712,0.23527249604372075,2026-05-04_16-57-53,open_floor_validation_only
2026-04-22_12-10-34,2187,1,0.016217132966177106,0.012097343220894962,-25.40393393748753,0.010195641146149893,0.00945105292452454,0.012097343220894962,0.00046463937912883356,0.14528023861260073,2026-04-22_12-10-34,open_floor_fit_downweighted
2026-04-22_01-06-32,1031,1,0.04497527944035794,0.013782370391656997,-69.3556759109548,0.010752664505421823,0.009015895919214654,0.013782370391656992,0.02226445339928163,0.3959315580255545,2026-04-22_01-06-32,primary_open_floor_fit_authoritative
2026-04-21_05-32-06,8880,1,0.04258417382836224,0.016372638287973088,-61.552293220566234,0.01361972972222494,0.012841693412798085,0.016372638287973088,0.013848785711916538,0.3546913734829726,2026-04-21_05-32-06,primary_open_floor_fit_authoritative
2026-04-21_00-16-10,3757,1,0.039823975586254654,0.026887847291071503,-32.4832669384422,0.01958060496980929,0.01389365409041813,0.026887847291071507,0.000764031573245605,0.1537077274479616,2026-04-21_00-16-10,primary_open_floor_fit_authoritative
2026-04-20_12-10-58,2925,1,0.04035482301988178,0.02818192262657356,-30.1646729743083,0.020355939448653725,0.013780520833196594,0.028181922626573562,-0.00031948631098282793,0.14907509565344793,2026-04-20_12-10-58,primary_open_floor_fit_authoritative
2026-04-20_08-38-39,7284,1,0.05622535775152191,0.04314470942081007,-23.264677814091403,0.03304664904043124,0.02563474442545957,0.04314470942081006,-0.016540711956834448,0.2562074944677233,2026-04-20_08-38-39,open_floor_fit_downweighted
diag003,5580,1,0.08523812922205401,0.02625386650679142,-69.19938676927386,0.020008183002510938,0.015057809413267176,0.026253866506791415,-0.08596667447453332,0.037405980268965126,diag003,diag_validation_only
