"stage","count","finite_count","accepted_count","rejected_count","rejected_rate","rms_nis","sqrt_mean_nis","physical_residual_rms"
"launch","131000","131000","130677","323","0.002465648854961832","7.587017388596707","1.0886582168343781","1.2576571938916548"
"mixed_launch","386315","386315","384483","1832","0.004742244023659449","11.413161307492862","1.3535558048677434","1.5444465893182788"
"SEC_20_LAUNCH","260835","260835","260084","751","0.0028792148292982153","6.255482250702006","0.9636630494082548","1.172924162950811"
"SEC_30_STRAIGHT","164015","164015","161981","2034","0.012401304758711094","39.994567228828394","2.2686143006054245","2.392928779875641"
"SEC_40_YAW","56270","56270","56256","14","0.00024880042651501686","5.5226643956145605","1.7591447124215294","1.4020487331899052"
"straight","5475","5475","4896","579","0.10575342465753425","394.44903922740724","9.675468015041984","9.12181347850987"
"yaw_launch","873125","873125","823610","49515","0.05671009305654975","182.6557326208522","5.827667621221612","5.833160895462591"
