"stage","candidate_rms_nis","baseline_rms_nis","delta_rms_nis","percent_delta","candidate_sqrt_mean_nis","baseline_sqrt_mean_nis","candidate_rejected_rate","baseline_rejected_rate"
"launch","7.587017388596707","25.275352273289762","-17.688334884693056","-69.98254541989336","1.0886582168343781","3.3210001329104197","0.002465648854961832","0.04300763358778626"
"mixed_launch","11.413161307492862","17.733588960763022","-6.32042765327016","-35.640995555127674","1.3535558048677434","3.098725939113232","0.004742244023659449","0.01955399091415037"
"SEC_20_LAUNCH","6.255482250702006","17.624539494146507","-11.369057243444502","-64.50697476220819","0.9636630494082548","2.7709232338504663","0.0028792148292982153","0.03190139360131884"
"SEC_30_STRAIGHT","39.994567228828394","39.195800539928975","0.7987666888994198","2.037888441864357","2.2686143006054245","3.9168411027731995","0.012401304758711094","0.015053501204158156"
"SEC_40_YAW","5.5226643956145605","9.54245119430538","-4.01978679869082","-42.12530634780396","1.7591447124215294","1.9368067510008806","0.00024880042651501686","0.002878976363959481"
"straight","394.44903922740724","397.5153194930206","-3.0662802656133863","-0.7713615338206412","9.675468015041984","9.537259858794055","0.10575342465753425","0.0445662100456621"
"yaw_launch","182.6557326208522","184.40019957259491","-1.7444669517427087","-0.9460222688403028","5.827667621221612","6.244199445218454","0.05671009305654975","0.05490279169649248"
