"stage","channel","count","finite_count","accepted_count","rejected_count","rejected_rate","rms_nis","sqrt_mean_nis","physical_residual_rms"
"launch","forward_accel","26200","26200","26147","53","0.0020229007633587788","4.128271438683046","1.1332661753450775","1.6457936177528978"
"launch","left_encoder","26200","26200","26200","0","0","1.1684206556172538","0.7898143580010306","0.8260703073770398"
"launch","right_accel","26200","26200","25930","270","0.010305343511450382","14.621949373893683","1.3807736738440248","1.9500020912057963"
"launch","right_encoder","26200","26200","26200","0","0","1.2296533278991113","0.8040058269798055","0.842701146970746"
"launch","yaw_rate","26200","26200","26200","0","0","7.354786303822942","1.210298852730594","0.06946886322805709"
"mixed_launch","forward_accel","77263","77263","76758","505","0.006536116899421456","9.49238748082512","1.4585413840150232","2.2019211534353516"
"mixed_launch","left_encoder","77263","77263","77263","0","0","3.0051032928640993","0.8805023334729576","0.924242558010893"
"mixed_launch","right_accel","77263","77263","75936","1327","0.01717510321887579","14.86581501090058","1.6350142023798988","2.2482612847999857"
"mixed_launch","right_encoder","77263","77263","77263","0","0","6.904717322579755","1.0246278337507666","1.0770461262780375"
"mixed_launch","yaw_rate","77263","77263","77263","0","0","16.837387327738906","1.592107288042885","0.0958545848601915"
"SEC_20_LAUNCH","forward_accel","52167","52167","52131","36","0.0006900914371154177","2.8083113757431977","0.9312779211599255","1.3012242619776866"
"SEC_20_LAUNCH","left_encoder","52167","52167","52167","0","0","0.9342415366568333","0.8026870873324315","0.8342099574141689"
"SEC_20_LAUNCH","right_accel","52167","52167","51452","715","0.01370598270937566","13.5395947705846","1.3401590818381002","1.9328515839517548"
"SEC_20_LAUNCH","right_encoder","52167","52167","52167","0","0","1.0211901983721103","0.8320918914801902","0.8668856118893491"
"SEC_20_LAUNCH","yaw_rate","52167","52167","52167","0","0","1.5913563206907502","0.8020249103760355","0.047525966327925585"
"SEC_30_STRAIGHT","forward_accel","32803","32803","31447","1356","0.04133768252903698","41.127001249800536","2.8825319166812213","3.821723119217085"
"SEC_30_STRAIGHT","left_encoder","32803","32803","32803","0","0","15.36644339730136","1.5516131253652499","1.6115978273730787"
"SEC_30_STRAIGHT","right_accel","32803","32803","32125","678","0.02066884126451849","12.583575520631184","1.583324857720632","2.0434458350803615"
"SEC_30_STRAIGHT","right_encoder","32803","32803","32803","0","0","60.79360668643691","2.627524904107945","2.689875492839397"
"SEC_30_STRAIGHT","yaw_rate","32803","32803","32803","0","0","47.075048994071075","2.3676477686265005","0.1289361188664707"
"SEC_40_YAW","forward_accel","11254","11254","11251","3","0.0002665718855518038","3.0251372201045785","1.437649358142725","1.76503540793"
"SEC_40_YAW","left_encoder","11254","11254","11254","0","0","0.2733633359296789","0.45454007889457415","0.465998713786"
"SEC_40_YAW","right_accel","11254","11254","11243","11","0.0009774302470232806","5.120443674364432","1.9971131553226045","2.46591691369"
"SEC_40_YAW","right_encoder","11254","11254","11254","0","0","0.8249281608112176","0.6099796266681698","0.627757512253"
"SEC_40_YAW","yaw_rate","11254","11254","11254","0","0","10.787653939861665","2.9730408903680763","0.146194183495"
"straight","forward_accel","1095","1095","733","362","0.33059360730593607","78.45698874330232","6.079420464516628","7.98650969368"
"straight","left_encoder","1095","1095","1095","0","0","541.7258643299378","11.841024253642185","12.1310447178"
"straight","right_accel","1095","1095","878","217","0.19817351598173516","55.804161754016995","5.133475260408269","6.603641886350001"
"straight","right_encoder","1095","1095","1095","0","0","613.2029074945889","12.386337901312052","12.698914591"
"straight","yaw_rate","1095","1095","1095","0","0","314.9538082664703","10.541833955060811","0.469366273229"
"yaw_launch","forward_accel","174625","174625","151595","23030","0.131882605583393","110.091004131917","5.71011549991824","7.056279748104884"
"yaw_launch","left_encoder","174625","174625","174625","0","0","236.19310632170001","6.172483260950086","6.320529347526941"
"yaw_launch","right_accel","174625","174625","148140","26485","0.15166785969935576","62.24546146600811","4.725127615128963","5.951289530552934"
"yaw_launch","right_encoder","174625","174625","174625","0","0","265.24975181179195","6.548670862920821","6.701071362161263"
"yaw_launch","yaw_rate","174625","174625","174625","0","0","157.08737161942744","5.821654390114189","0.25778007692320504"
