vf_mps,yaw_rate_radps,variant,baseline_opposing_yaw_torque_nm,extra_opposing_yaw_torque_nm,total_opposing_yaw_torque_nm,left_command,right_command,lr_delta_command,left_surface_mps,right_surface_mps,left_command_torque_nm,right_command_torque_nm,max_abs_command,command_outside_unit,contact_utilization_raw,limiter_activity_proxy,contact_projection_sensitive,low_speed_launch_sensitive,caveat
0.0,0.2,Baseline,0.00295885,0.0,0.00295885,0.20399569675432425,-0.20399569675432425,0.4079913935086485,0.0084635,-0.0084635,0.004561249124841082,-0.004561249124841082,0.20399569675432425,False,0.08099765281844126,0.0,False,True,current raw right-contact scrub approximation
0.0,0.2,B_stribeck,0.00295885,0.0007180364186693447,0.0036768864186693447,0.20820369211864106,-0.20820369211864106,0.41640738423728213,0.0084635,-0.0084635,0.004668231333613108,-0.004668231333613108,0.20820369211864106,False,0.08099765281844126,0.0,False,True,request-activated Stribeck scrub
0.0,0.2,C_combined_slip,0.00295885,0.0037932800915820683,0.006752130091582069,0.22622591325297123,-0.22622591325297123,0.45245182650594246,0.0084635,-0.0084635,0.005126420294627221,-0.005126420294627221,0.22622591325297123,False,0.08099765281844126,0.0,False,True,prior combined-slip surface
0.0,0.2,Round2_static_yield_contact,0.00295885,0.004713440056692305,0.0076722900566923045,0.2316184375970559,-0.2316184375970559,0.4632368751941118,0.0084635,-0.0084635,0.005263517443088733,-0.005263517443088733,0.2316184375970559,False,0.08099765281844126,0.0,False,True,static-yield plus sliding combined-slip residual
0.0,0.844444444,Baseline,0.012492922215646997,0.0,0.012492922215646997,0.24745279363875658,-0.24745279363875658,0.49490558727751316,0.03573477775897,-0.03573477775897,0.005581354630345704,-0.005581354630345704,0.24745279363875658,False,0.3419900894978683,0.0,False,False,current raw right-contact scrub approximation
0.0,0.844444444,B_stribeck,0.012492922215646997,0.06489582296612374,0.07738874518177075,0.6277696064141375,-0.6277696064141375,1.255539212828275,0.03573477775897,-0.03573477775897,0.015250360686974999,-0.015250360686974999,0.6277696064141375,False,0.3419900894978683,0.0,False,False,request-activated Stribeck scrub
0.0,0.844444444,C_combined_slip,0.012492922215646997,0.015787638062156814,0.02828056027780381,0.339974991749798,-0.339974991749798,0.679949983499596,0.03573477775897,-0.03573477775897,0.007933597980777527,-0.007933597980777527,0.339974991749798,False,0.3419900894978683,0.0,False,False,prior combined-slip surface
0.0,0.844444444,Round2_static_yield_contact,0.012492922215646997,0.05697172388174693,0.06946464609739392,0.5813310535128258,-0.5813310535128258,1.1626621070256515,0.03573477775897,-0.03573477775897,0.014069727503847548,-0.014069727503847548,0.5813310535128258,False,0.3419900894978683,0.0,False,False,static-yield plus sliding combined-slip residual
0.0,1.488888889,Baseline,0.022026994446088247,0.0,0.022026994446088247,0.30665914159179297,-0.30665914159179297,0.6133182831835859,0.0630060555602575,-0.0630060555602575,0.007001862113371215,-0.007001862113371215,0.30665914159179297,False,0.6029825265822837,0.0,False,False,current raw right-contact scrub approximation
0.0,1.488888889,B_stribeck,0.022026994446088247,0.06518418665555997,0.08721118110164822,0.6886658868508683,-0.6886658868508683,1.3773317737017365,0.0630060555602575,-0.0630060555602575,0.016713832264332533,-0.016713832264332533,0.6886658868508683,False,0.6029825265822837,0.0,False,False,request-activated Stribeck scrub
0.0,1.488888889,C_combined_slip,0.022026994446088247,0.024369356811008186,0.04639635125709643,0.4494738203822396,-0.4494738203822396,0.8989476407644792,0.0630060555602575,-0.0630060555602575,0.010632719198345672,-0.010632719198345672,0.4494738203822396,False,0.6029825265822837,0.0,False,False,prior combined-slip surface
0.0,1.488888889,Round2_static_yield_contact,0.022026994446088247,0.06905391298768568,0.09108090743377392,0.7113441104665127,-0.7113441104665127,1.4226882209330254,0.0630060555602575,-0.0630060555602575,0.017290393368463275,-0.017290393368463275,0.7113441104665127,False,0.6029825265822837,0.0,False,False,static-yield plus sliding combined-slip residual
0.0,2.133333333,Baseline,0.03156106666173525,0.0,0.03156106666173525,0.3658654894529572,-0.3658654894529572,0.7317309789059144,0.09027733331922749,-0.09027733331922749,0.008422369594192491,-0.008422369594192491,0.3658654894529572,False,0.8639749632617107,0.0,False,False,current raw right-contact scrub approximation
0.0,2.133333333,B_stribeck,0.03156106666173525,0.06517324235302697,0.09673430901476222,0.7478080964968571,-0.7478080964968571,1.4956161929937142,0.09027733331922749,-0.09027733331922749,0.01813270912360314,-0.01813270912360314,0.7478080964968571,False,0.8639749632617107,0.0,False,False,request-activated Stribeck scrub
0.0,2.133333333,C_combined_slip,0.03156106666173525,0.028608635658695637,0.06016970232043088,0.5335241250056164,-0.5335241250056164,1.0670482500112328,0.09027733331922749,-0.09027733331922749,0.012684848422764027,-0.012684848422764027,0.5335241250056164,False,0.8639749632617107,0.0,False,False,prior combined-slip surface
0.0,2.133333333,Round2_static_yield_contact,0.03156106666173525,0.052324159038893085,0.08388522570062834,0.6725070649394386,-0.6725070649394386,1.3450141298788771,0.09027733331922749,-0.09027733331922749,0.01621828907762655,-0.01621828907762655,0.6725070649394386,False,0.8639749632617107,0.0,False,False,static-yield plus sliding combined-slip residual
0.0,2.777777778,Baseline,0.041095138892176496,0.0,0.041095138892176496,0.4250718374059936,-0.4250718374059936,0.8501436748119872,0.117548611120515,-0.117548611120515,0.009842877077218003,-0.009842877077218003,0.4250718374059936,False,1.124967400346126,0.12496740034612608,True,False,current raw right-contact scrub approximation
0.0,2.777777778,B_stribeck,0.041095138892176496,0.06505079771562462,0.10614593660780111,0.8062968673839146,-0.8062968673839146,1.6125937347678292,0.117548611120515,-0.117548611120515,0.019534973245399326,-0.019534973245399326,0.8062968673839146,False,1.124967400346126,0.12496740034612608,True,False,request-activated Stribeck scrub
0.0,2.777777778,C_combined_slip,0.041095138892176496,0.04594735808035159,0.08704249697252808,0.694342677683192,-0.694342677683192,1.388685355366384,0.117548611120515,-0.117548611120515,0.016688699554836404,-0.016688699554836404,0.694342677683192,False,1.124967400346126,0.12496740034612608,True,False,prior combined-slip surface
0.0,2.777777778,Round2_static_yield_contact,0.041095138892176496,0.04457640462670093,0.08567154351887743,0.6863083139271767,-0.6863083139271767,1.3726166278543535,0.117548611120515,-0.117548611120515,0.016484437452272044,-0.016484437452272044,0.6863083139271767,False,1.124967400346126,0.12496740034612608,True,False,static-yield plus sliding combined-slip residual
