split,count,baseline_rmse_nm,b_stribeck_corrected_rmse_nm,c_combined_slip_corrected_rmse_nm,round2_static_yield_contact_corrected_rmse_nm,b_stribeck_corrected_mae_nm,c_combined_slip_corrected_mae_nm,round2_static_yield_contact_corrected_mae_nm
primary_open_floor_fit_authoritative,47317,0.036866176895009706,0.028527902105821207,0.024120243843366647,0.02811048451878521,0.01837154350352887,0.01669606586387381,0.018567225162899926
open_floor_fit_downweighted,31165,0.043194073119807955,0.041880095058734225,0.033092937468878494,0.03685502226139693,0.026067556659536712,0.021125958685861815,0.02439766808048896
open_floor_validation_only,14542,0.016930709100069437,0.011371864567424441,0.014417143137851248,0.025701409330535538,0.007184395958611261,0.009193881856653647,0.0153721632418785
diag_validation_only,11108,0.0846209251204878,0.08441199698509007,0.03876675590868194,0.08853177376335526,0.07330765758440137,0.03102652010118408,0.07734022288272506
aux_downweighted_validation,14448,0.05126637392308136,0.048945040795565886,0.028529439179585198,0.06126619171260363,0.030609917627105278,0.0179203984053372,0.04327287806070207
validation_non_authoritative,71263,0.05023383204822011,,0.03034172395599833,0.05207231023906409,,0.019584418756558176,0.03463504289174142
