group,count,run_count,baseline_rmse_nm,corrected_rmse_nm,baseline_mae_nm,corrected_mae_nm,baseline_median_abs_nm,corrected_median_abs_nm,baseline_signed_median_nm,corrected_signed_median_nm,run_balanced_baseline_rmse_nm,run_balanced_corrected_rmse_nm,run_balanced_baseline_mae_nm,run_balanced_corrected_mae_nm,prediction_rmse_nm,improvement_fraction_rmse,run_balanced_improvement_fraction_rmse,dataset_split,physics_phase
primary_open_floor_fit_authoritative:entry,9719,15,0.045837011822076036,0.03439344470113461,0.033563032683506536,0.02328319790281116,0.024289024,0.014886592208982113,0.002079796,0.0012710495688471341,0.04444032551655561,0.03353792423296342,0.03276459267597492,0.02266427622160245,0.030988701805543473,0.2496577910741985,0.2453267647540217,primary_open_floor_fit_authoritative,entry
primary_open_floor_fit_authoritative:plateau,26778,15,0.02877127129678063,0.022298064940173726,0.01901283047434461,0.014774402388332029,0.011055656,0.009694914128930532,0.001152246,0.000872764123895659,0.027360804754732918,0.020726433411828556,0.017221749651449555,0.013325499632647281,0.02198975948616462,0.22498854116784284,0.24247720059318567,primary_open_floor_fit_authoritative,plateau
primary_open_floor_fit_authoritative:exit,10820,15,0.044806900200245255,0.03409653651378933,0.03422566844436229,0.023717841539811373,0.0273970075,0.015648845551162367,0.004929683,0.0016960807793185615,0.046870907374884654,0.03434704233700263,0.03530335997391631,0.023627340824517836,0.03283568105947168,0.23903380145893915,0.26719911645219874,primary_open_floor_fit_authoritative,exit
open_floor_fit_downweighted:entry,8341,9,0.05617769021464853,0.04662769970852305,0.04154216224553411,0.03435941988916885,0.030788281,0.025133664140709396,0.001756669,0.0006611210157623024,0.05045155520528007,0.042989479662831294,0.03529574227022102,0.030496973940072662,0.03177053227499962,0.16999614027625665,0.14790575854573118,open_floor_fit_downweighted,entry
open_floor_fit_downweighted:plateau,14651,9,0.024365235700422493,0.0238819669670603,0.013101952217527814,0.014163232168916526,0.005601714,0.007505087624141987,0.000276839,-6.607806603717552e-05,0.0300316955801011,0.02603703983317712,0.016295480966661127,0.015664581337894425,0.02245819418040157,0.019834354951625333,0.13301465900482912,open_floor_fit_downweighted,plateau
open_floor_fit_downweighted:exit,8173,9,0.053191308370772995,0.044024419160080555,0.04031268236816346,0.032577497849759586,0.031938671,0.023575564359539065,0.002346486,0.0007973523403876012,0.04883560305667177,0.04141238145662526,0.035128827980906926,0.02959684731642041,0.03307632931272662,0.17233810356372747,0.1520042988192889,open_floor_fit_downweighted,exit
open_floor_validation_only:entry,2104,9,0.022224834525144614,0.03207442807804123,0.014874971672053231,0.021374764223784818,0.008434416,0.011727017372624583,-0.0029512495,0.0019400361968843038,0.01824042718705866,0.026267204139094214,0.011469998868770138,0.01688176415700674,0.03333798879489131,-0.44317961250748716,-0.4400542196583228,open_floor_validation_only,entry
open_floor_validation_only:plateau,10533,9,0.013256838243914581,0.020469278503661377,0.007978205793411184,0.01207056694903469,0.004279471,0.006325421094705963,-0.000330051,0.0002594418761928519,0.01156851501424637,0.019278612877561576,0.007267384669839376,0.0117797832888732,0.02011567937035264,-0.5440543308324362,-0.6664725640084654,open_floor_validation_only,plateau
open_floor_validation_only:exit,1905,9,0.025901922754757487,0.03986942705529675,0.01860998364776903,0.026997486751901043,0.012153925,0.014042137343914053,-0.004435259,0.002004088512349775,0.02057822921555085,0.03106996263248363,0.012631491629640652,0.01971695847033583,0.03779137243606046,-0.539245847993034,-0.5098462703974662,open_floor_validation_only,exit
diag_validation_only:entry,3215,3,0.10590823322237675,0.09051769655743948,0.10058718607029549,0.08585805210216756,0.110339143,0.08898623986430286,-0.026745843,-0.02531648963132587,0.10646405756718443,0.09029506656263199,0.10108682037947934,0.08562428241253595,0.028357743616183515,0.14531954878920117,0.15187276696033258,diag_validation_only,entry
diag_validation_only:plateau,4712,3,0.06448450059620303,0.08414188340556779,0.05078566537882004,0.06657052836074835,0.0456507775,0.06582675219694777,-0.0027473784999999997,-0.0044945800399714825,0.06450444400934474,0.08407422168877418,0.0507981318775319,0.06640606485307875,0.0416452618428718,-0.30483887798802645,-0.30338650274381673,diag_validation_only,plateau
diag_validation_only:exit,3181,3,0.08665455675983384,0.09274343641526425,0.08083872540270355,0.08468444785821912,0.087034652,0.08464960150024686,-0.03620564,-0.031090002827193697,0.08588159039467541,0.0922726010098454,0.07977528568108279,0.08414999057130258,0.03901151160785007,-0.0702661219802434,-0.07441653776786872,diag_validation_only,exit
aux_downweighted_validation:entry,2710,13,0.07408321980038726,0.06639084885372877,0.05146439698413284,0.04826313670275373,0.027799833,0.033899268262196774,-0.0034258485,-0.003089186692479528,0.07680196933800228,0.06674883288562161,0.05570042632598336,0.05029169459524548,0.03098404636240529,0.10383418765254959,0.13089685771125514,aux_downweighted_validation,entry
aux_downweighted_validation:plateau,8708,13,0.03722139915039368,0.058733110880992555,0.023270042604501606,0.039457303410287005,0.011437506,0.018111426452034958,-0.000406586,-0.00028533477927176695,0.04668534957696826,0.06019863415079032,0.029686732108730834,0.04189572647321026,0.04001033652049288,-0.5779393634205003,-0.28945450117157745,aux_downweighted_validation,plateau
aux_downweighted_validation:exit,3030,13,0.06034861345329037,0.0635768804646273,0.04471765567821782,0.049775327940521995,0.030535899,0.04137378886420123,-0.0065930465,-0.00755772035567937,0.0649163270772011,0.06451803658246426,0.049237146996194296,0.05138466039411866,0.03796295425749058,-0.05349364014528013,0.006135444081165953,aux_downweighted_validation,exit
