run_id,present,dataset_split,count,baseline_rmse_nm,b_stribeck_corrected_rmse_nm,c_combined_slip_corrected_rmse_nm,round2_static_yield_contact_corrected_rmse_nm,baseline_signed_median_nm,round2_signed_median_nm
2026-05-04_20-35-47,1,open_floor_fit_downweighted,3456,0.035845955637305665,0.021128580068950017,0.028076443199331575,0.04515548980719602,0.0093600005,-0.0035855060998000064
2026-05-04_16-57-53,1,open_floor_validation_only,1761,0.023277853453219116,0.015289065666438393,0.01934116142597289,0.039548115554105756,-0.000686103,-0.0004331266103778835
2026-04-22_12-10-34,1,open_floor_fit_downweighted,2187,0.016217132966177106,0.013498658585659703,0.014402919863369421,0.02271426472621542,-0.003115615,-0.0005400853853896658
2026-04-22_01-06-32,1,primary_open_floor_fit_authoritative,1031,0.04497527944035794,0.03404458889504844,0.018608488843215733,0.027210947543938567,0.009991152,0.0016509278304651862
2026-04-21_05-32-06,1,primary_open_floor_fit_authoritative,8880,0.04258417382836225,0.02783508710487629,0.023754464601601764,0.03134324986754633,0.0121550075,0.003865929450222731
2026-04-21_00-16-10,1,primary_open_floor_fit_authoritative,3757,0.039823975586254654,0.03514600677652352,0.02774307957781035,0.028640781733095175,0.008941154,0.0044199785743187295
2026-04-20_12-10-58,1,primary_open_floor_fit_authoritative,2925,0.04035482301988178,0.036503583837767924,0.02933811998534102,0.030143895454507953,0.003674954,0.0013885218162022657
2026-04-20_08-38-39,1,open_floor_fit_downweighted,7284,0.05622535775152191,0.05625959776146966,0.04131229724660652,0.04262191907565028,0.0001673695,0.00031385453510716715
diag003,1,diag_validation_only,5580,0.08523812922205401,0.08503396826948129,0.03897045903766876,0.08913685536024427,-0.0124400895,-0.014927149997540367
